company,date,form,instrument,principal_bn,accession,url,notes
Alphabet,2026-02-09/2026-02-12,424B5+424B5+FWP+FWP+424B2+424B2 (2 tranches),"Notes (debt) — confirmed by full-text-search hits for ""aggregate principal amount"" and ""notes due"" in all filings of this cluster",,0001193125-26-041936,https://www.sec.gov/Archives/edgar/data/1652044/000119312526041936/d108033d424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Alphabet,2026-05-05/2026-05-18,424B5 x4 + FWP x3 + 424B2 x2 (multi-tranche),Notes (debt) — same full-text-search signature,,0001193125-26-204938,https://www.sec.gov/Archives/edgar/data/1652044/000119312526204938/d152073d424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Alphabet,2026-06-01/2026-06-04,S-3ASR (new shelf) + 424B5 x4(re-filed x3) + FWP x3,"Notes (debt) — same signature; this is the round contemporaneous with the ""xAIr Supply"" post (2026-06-07)",,0001193125-26-251560,https://www.sec.gov/Archives/edgar/data/1652044/000119312526251560/d135361ds3asr.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Alphabet,2026-06-05,"8-K (items 1.01, 3.03, 5.03, 9.01)","Convertible preferred stock — INFERRED: not read from the 8-K text (blocked); inferred from (a) XBRL tag ProceedsFromIssuanceOfConvertiblePreferredStock carrying an instant value dated 2026-06-05, and (b) item 3.03/5.03 co-occurrence (rights modification + certificate-of-incorporation amendment, i.e. a new preferred series/Certificate of Designations) on the same date. No item 3.02 (unregistered equity sales) appears on this 8-K, which is unexplained.",19.06 (XBRL H1-2026 cash proceeds; balance-sheet instant value dated 2026-06-05 = $19.00bn),0001193125-26-259830,https://www.sec.gov/Archives/edgar/data/1652044/000119312526259830/d36818d8k.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Alphabet,2026-08-06/2026-08-07,424B5 x2 + 424B2 + FWP,"Notes (debt) — same full-text-search signature; NOT YET reflected in any XBRL filing (next 10-Q, covering Q3 2026, not yet due/filed as of 2026-09-11)",,0001193125-26-336798,https://www.sec.gov/Archives/edgar/data/1652044/000119312526336798/d32286d424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Alphabet,H1 2026 (2026-01-01 to 2026-06-30),"10-Q (XBRL fact, not a single offering)","AGGREGATE — ProceedsFromDebtNetOfIssuanceCosts, all debt tranches priced in the period combined",56.226,0001652044-26-000071,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"XBRL structured data (data.sec.gov), not read as prose. Understates true 2026-YTD debt because it excludes the Aug 6-7 tranche above."
Alphabet,H1 2026 (2026-01-01 to 2026-06-30),"10-Q (XBRL fact, not a single offering)",AGGREGATE — ProceedsFromIssuanceOfCommonStock. Could NOT be matched to any specific registered-offering filing (no 424B4/424B7 found; no item-3.02 8-K found under this CIK in 2026) — origin of this cash unresolved from filing metadata alone.,30.499,0001652044-26-000071,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"XBRL structured data (data.sec.gov), not read as prose."
Alphabet,H1 2026 (2026-01-01 to 2026-06-30),"10-Q (XBRL fact, not a single offering)",AGGREGATE — ProceedsFromIssuanceOfConvertiblePreferredStock (see 2026-06-05 8-K row above for likely link),19.063,0001652044-26-000071,https://www.sec.gov/Archives/edgar/data/1652044/000165204426000071/goog-20260630.htm,"XBRL structured data (data.sec.gov), not read as prose."
Amazon,2026-03-10/2026-03-16,S-3ASR(2026-02-06)+424B5 x3+FWP x2,Notes (debt) — form-type pattern consistent with senior notes shelf takedown (not full-text-search-tested; verified indirectly via matching XBRL debt-proceeds jump in Q1 2026),,0001104659-26-025560,https://www.sec.gov/Archives/edgar/data/1018724/000110465926025560/tm266670-3_424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
Amazon,2026-06-08/2026-06-12,424B5 x2 + FWP,Notes (debt),,0001104659-26-071190,https://www.sec.gov/Archives/edgar/data/1018724/000110465926071190/tm2613616-1_424b5.htm,"NOT VERIFIED: primary document text on www.sec.gov returned HTTP 403; not fetched (rule: stop, do not work around). Row built from data.sec.gov filing-index metadata + EDGAR full-text-search keyword hits only."
