rank,issuer,ticker,domicile_type,pricing_date,listing_date,shares_offered_base,offer_price_usd,gross_proceeds_usd_million_base,proceeds_basis,greenshoe_shares,greenshoe_status,lead_underwriters,edgar_cik,edgar_424b4_filed,edgar_424b4_accession,source_note,confidence
1,Space Exploration Technologies Corp (SpaceX),SPCX,US domestic,2026-06-11,2026-06-12,555555555,135.00,75000,"shares_offered_base x offer_price, from issuer's own pricing press release",83333333,"CONFIRMED fully exercised 2026-06-15 per CNBC/Yahoo Finance/Wikipedia; final total reported as $85.7bn (638,888,888 shares x $135 = $86.25bn by this agent's arithmetic -- small gap vs the widely-reported $85.7bn is unresolved, possibly press rounding)",Goldman Sachs & Co. LLC (lead-left); Morgan Stanley; BofA Securities; Citigroup; J.P. Morgan; Barclays; Deutsche Bank Securities; RBC Capital Markets; UBS Investment Bank; Wells Fargo Securities (book-runners); plus 12 co-managers,0001181412,2026-06-12,0001628280-26-042639,"content.spacex.com official pricing announcement PDF (company primary source, fetched directly by this agent) + EDGAR full-text-search metadata confirms 424B4 filed same day","high -- figures are from the issuer's own press release; EDGAR confirms the filing exists on the matching date; the 424B4 body text itself was not read by this agent (www.sec.gov blocked, see caveats)"
2,SK hynix Inc.,SKHY,foreign private issuer (South Korea) -- ADS/ADR,2026-07-09,2026-07-10,177900000,149.00,26507,"ADS count x offer price, per Renaissance Capital and press (CNBC/TechCrunch/Fortune); no issuer press-release PDF located by this agent",,not determined,BofA Securities; Citigroup; Goldman Sachs; J.P. Morgan (global lead coordinators),0002120882,2026-07-10,0001193125-26-299963,"WebSearch (CNBC, TechCrunch, Fortune, Al Jazeera, Renaissance Capital) cross-checked against EDGAR full-text-search filing metadata (date match)",medium-high -- multiple independent reputable outlets agree on USD26.5bn and USD149/ADS; underlying 424B4 not read directly by this agent
3,Medline Inc.,MDLN,US domestic,2025-12-16,2025-12-18,216034482,29.00,6265,"shares x price, base offering before over-allotment",32405172,"reported fully exercised, taking the total to approximately 248.4M shares / USD7.20bn per press reports of the closing announcement -- not independently confirmed by this agent against the 424B4 text",Goldman Sachs & Co. LLC; Morgan Stanley; BofA Securities; J.P. Morgan (global coordinators / lead bookrunners),0002046386,2025-12-18,0001193125-25-323742,"WebSearch (Medline/Yahoo Finance press releases, Barchart) cross-checked against EDGAR full-text-search filing metadata (date match)",medium-high
4,Cerebras Systems Inc.,CBRS,US domestic,2026-05-13,2026-05-14,30000000,185.00,5550,"shares x price, per company press release reported via WebSearch",4500000,not determined by this agent,Morgan Stanley; Citigroup; Barclays; UBS,0002021728,2026-05-14,0001628280-26-035214,"WebSearch (cerebras.ai press release, CNBC, Quartz) cross-checked against EDGAR full-text-search filing metadata (date match)",medium-high
5,Venture Global Inc.,VG,US domestic,2025-01-23,2025-01-24,70000000,25.00,1750,"shares x price, per company press release",10500000,not determined by this agent,Goldman Sachs & Co. LLC; J.P. Morgan; BofA Securities (plus numerous co-managers),0002007855,2025-01-24,0001193125-25-012218,"WebSearch (Businesswire company release) cross-checked against EDGAR full-text-search filing metadata (date match, filed day after pricing)",medium-high
6,CoreWeave Inc.,CRWV,US domestic,2025-03-27,2025-03-28,37500000,40.00,1500,"shares x price, per company press release",,not determined by this agent,"Morgan Stanley; J.P. Morgan; Goldman Sachs (joint leads); Barclays, Citigroup, MUFG, Deutsche Bank, Jefferies, Mizuho, Wells Fargo, BofA (bookrunners)",0001769628,2025-03-31,0001193125-25-067651,"WebSearch (coreweave.com press release, CNBC, Capital.com) cross-checked against EDGAR full-text-search filing metadata",medium-high
7,Klarna Group plc,KLAR,foreign private issuer (Sweden / UK-domiciled),2025-09-09,2025-09-10,34311274,40.00,1372,"shares x price -- 5,000,000 sold by Klarna; 29,311,274 sold by selling shareholders",,not determined by this agent,Goldman Sachs & Co. LLC; J.P. Morgan; Morgan Stanley (joint book-runners); 5 further bookrunners; 7 co-managers,0002003292,2025-09-10,0002003292-25-000052,WebSearch (Businesswire company release) cross-checked against EDGAR full-text-search filing metadata,medium-high
8,Figma Inc.,FIG,US domestic,2025-07-30,2025-07-31,36937080,33.00,1219,"shares x price -- 12,472,657 sold by Figma; 24,464,423 sold by selling stockholders",,not determined by this agent,Morgan Stanley; Goldman Sachs; Allen & Company; J.P. Morgan,0001579878,2025-07-31,0001628280-25-037014,WebSearch (company release via Yahoo/Barchart/Seeking Alpha) cross-checked against EDGAR full-text-search filing metadata,medium-high
9,Bullish,BLSH,foreign private issuer (Cayman Islands domicile),2025-08-13,2025-08-13,30000000,37.00,1110,shares x price (this agent's calc); one press source instead states aggregate gross proceeds of approximately USD1034.5mn at closing -- discrepancy not resolved,,not determined by this agent,J.P. Morgan; Jefferies (lead book-runners); Citigroup (joint book-runner),0001872195,2025-08-13,0001104659-25-077583,"WebSearch (CNBC, Blockonomi, TipRanks, company closing-announcement PDF) cross-checked against EDGAR full-text-search filing metadata",medium -- gross proceeds has an unresolved approximately 7% discrepancy between shares x price and one press figure; rank 9 vs 10 (Circle) is within that noise band
10,Circle Internet Group Inc.,CRCL,US domestic,2025-06-04,2025-06-05,34000000,31.00,1054,"shares x price, base upsized offering, before additional shares closed 2025-06-11 that brought the total to approximately USD1.2bn per company release",,additional shares closed 2025-06-11 raising the deal to approximately USD1.2bn total per Circle's own release,"J.P. Morgan; Citigroup; Goldman Sachs & Co. LLC (joint lead active bookrunners) plus Barclays, Deutsche Bank, Societe Generale (bookrunners)",0001876042,2025-06-05,0001193125-25-135795,"WebSearch (Circle investor-relations releases, CNBC, Bloomberg) cross-checked against EDGAR full-text-search filing metadata",medium-high
