"paper","year","version read","quantity","estimate","range","sample","identification","critique","free_url"
"Gabaix & Koijen - In Search of the Origins of Financial Fluctuations: The Inelastic Markets Hypothesis","2021 (NBER WP; SSRN metadata shows a Feb-2023 revision I could not reach - see notes)","NBER w28967 PDF as currently hosted (file ModDate 2021-06-23); this is the only version NBER's own site links to, no rev1/rev2 present","AGGREGATE MARKET multiplier M (=1/aggregate demand elasticity), US equities","Headline M~5 per $1 of net flow. Benchmark GIV (Table 2, Flow-of-Funds sectors): M=7.1 (SE 1.9) with 1 principal component; M=5.3 (SE 1.10) with 2 PCs; implied aggregate elasticity zeta=0.13-0.17","Author-stated range $3-$8 per $1 across specifications; benchmark GIV point estimates 5.3-7.1","US Flow of Funds, 12 continuously-held equity sectors, quarterly 1993Q1-2018Q4 (N=104); robustness with FactSet 13F and Morningstar mutual-fund flows, Jan1993-Dec2019","Granular Instrumental Variables (GIV): size-weighted sum of sector-level idiosyncratic demand shocks (extracted via factor model on holdings changes) instruments the aggregate price change","Self-stated: postpones what determines flows in the first place to future work (scope limitation, not a magnitude critique). External, from later papers I read at source: van Binsbergen-David-Opp (2026) show the paper's 'frictionless benchmark' macro-elasticity of 20 rests on an indeterminate equity/human-wealth allocation choice and 'can justify any value between -inf and +inf'; Hahn-He-Liao-Zhou (2026) replicate the exact design and find the original (FIV) estimator flips sign (-7.1) on a 6-sector subsample, though their corrected GIV estimator instead confirms/exceeds the headline (8.7-9.4) on that same subsample","https://www.nber.org/system/files/working_papers/w28967/w28967.pdf"
"Haddad, Huebner & Loualiche - How Competitive is the Stock Market? Theory, Evidence from Portfolios, and Implications for the Rise of Passive Investing","2022 (WP draft read); published AER 2025, 115(3):975-1018","Author-hosted PDF (loualiche.com); content matches the AER-published framework (strategic-response/reflection model)","SINGLE-STOCK (cross-sectional) demand elasticity and its strategic-complementarity response to the aggregate elasticity of other investors","Strategic-response coefficient ~ -3 (a 1-unit rise in the market-wide aggregate elasticity for a stock lowers an individual investor's own elasticity by 3 units, i.e. 2/3 of a direct shock is offset). Average aggregate stock-level elasticity Eagg=0.438 (fixed-elasticity variant 0.39) -> implied single-stock multiplier ~2.3. A 32-percentage-point fall in active share over 20 years is estimated to make individual-stock demand 11% more inelastic","Eagg interquartile range 0.386 (25th pct) to 0.512 (75th pct) across stocks/dates","US 13F institutional holdings, 2001-2020","Koijen-Yogo(2019)-style demand-system IV using variation in each institution's investment universe/AUM, plus a newly constructed instrument to identify the strategic-reaction (reflection) parameter separately from the direct elasticity","Self-stated: assumes one constant strategic-response coefficient (chi) shared by all investors (functional-form restriction), tested but not fully relaxed. Paper explicitly frames itself as the single-stock analogue of, and contrast to, Gabaix-Koijen's aggregate-market estimate - it does not itself estimate the aggregate multiplier","https://loualiche.com/docs/competitive_stockmkt_HHL.pdf"
"Chinco & Sammon - The Passive-Ownership Share Is Double What You Think It Is","2024 (JFE), draft dated 2023","Author-hosted PDF (alexchinco.com / HBS mirror), matches JFE 2024 published version","(a) Passive ownership share of the US stock market (a measurement input, not an elasticity/multiplier). (b) SINGLE-STOCK price multiplier from index-reconstitution events, measured at varying horizons","(a) Overall passive ownership = 33.5% of US stock market cap in 2021, vs. ICI's commonly-cited 16% (i.e. ~2x). (b) At the shortest window (reconstitution day only): elasticity ~-39.2 (implied multiplier ~0.03, market looks 'too elastic'). At the longest window (full quarter before reconstitution): elasticity ~-1.1 (implied multiplier ~0.91), matching the ~1 micro-multiplier literature consensus","(a) 33.5% (38.5% if $2.25t of unmeasured direct indexing is added). (b) Across 6 indices, full-quarter-horizon elasticities range -0.7 to -3.3 (vs -0.6 to -88 at the reconstitution-day-only horizon)","CRSP, US index reconstitutions (Russell 1000/2000, S&P500/MidCap400, Nasdaq100), 2000-2021","(a) Abnormal reconstitution-day trading VOLUME (not returns) around index adds/deletes, cross-checked against known index-fund AUM. (b) Direct-addition natural experiment (a stock migrating between two adjacent indices has an offsetting buyer/seller base), price impact measured over trading windows from 1 to 60 days before reconstitution","Self-stated central point: prior single-stock elasticity estimates using only reconstitution-day price/volume (e.g. Wurgler & Zhuravskaya 2002, range -11.72 to -1.00) are biased toward looking 'too elastic' because passive trades are prescheduled and priced in days/weeks before execution; excludes index deletions as confounded by bankruptcy/M&A","https://www.alexchinco.com/double-what-you-think-it-is.pdf"
"Jiang, Vayanos & Zheng - Passive Investing and the Rise of Mega-Firms","2025 (RFS 38(12):3461-, published); LSE-hosted draft dated 2025-06-19; first circulated as NBER w28253 (2020)","personal.lse.ac.uk/vayanos hosted PDF, dated 19 June 2025 (post-NBER, matches RFS-published framing)","FACTOR/SIZE-LEVEL: differential sensitivity of large-cap ('mega-firm') stock returns to passive (S&P500 index-fund) flow. Not a single aggregate-market dollar multiplier - the paper's claim is that pure active-to-passive SWITCHING (zero net new money) can still raise the aggregate market via this size channel","A 1-standard-deviation rise in standardized quarterly S&P500 passive flow raises the top-50 (by size) portfolio's quarterly excess return by 0.53pp (range 0.53-0.56pp across specs); sensitivity rises monotonically with concentration: +0.145pp (top200) to +0.687pp (top10) per 1-SD flow. Cumulated over the 99-quarter sample, a hypothetical always-top-50 firm is implied to have outperformed the index by ~29% purely from the rise in indexing","0.145pp (top-200 portfolio) to 0.687pp (top-10 portfolio) per 1-SD flow shock; theory-calibration illustrations (distinct from the empirical estimate) show pure active-to-passive switching raising the aggregate market by 0.09%-3.6% in various scenarios","CRSP + S&P500 index-fund/ETF/mutual-fund holdings (CRSP), quarterly, ~1996-2020 (99 quarters)","OLS time-series regression of size-sorted portfolio excess returns on realized (standardized) S&P500 passive fund flow, controlling for contemporaneous/lagged S&P500 return and VIX. No instrument is used for flow/return endogeneity in this main test; the causal reading rests on the theoretical model plus the monotonic size pattern, which is harder to explain via reverse causality alone","No explicit IV for the core empirical test (unlike GK/Haddad et al./Pavlova-Sikorskaya), a fair identification caveat I infer from the absence of any instrument/endogeneity discussion around the main regressions. The paper's headline contribution is conceptual/compositional (why the aggregate market can rise from switching alone), not a new re-estimate of the net-flow multiplier","https://personal.lse.ac.uk/vayanos/Papers/PIRMF_RFSf.pdf"
"van der Beck - On the Estimation of Demand-Based Asset Pricing Models (Ch.1 of PhD thesis 'Demand-based Asset Pricing: Theory, Estimation and Applications')","2023 (EPFL thesis); underlying paper first circulated 2022","EPFL Infoscience thesis PDF, Chapter 1 (pp.1-33 of thesis)","SINGLE-STOCK/institutional demand elasticity, re-estimated from trades (holdings changes) rather than holdings levels as in Koijen & Yogo (2019, 'KY')","AUM-weighted average institutional elasticity ~0.7 (changes + flow-instrument) vs. KY(2019)'s constrained levels-based estimate, ~4x smaller in this magnitude (so multiplier roughly 4x lower than KY's constrained estimate would imply)","'4 times larger' than KY(2019) is the paper's own headline ratio; KY(2019) diagonal multiplier-matrix elements elsewhere cited (by van der Beck and others) as 2-4","US institutional 13F holdings (Thomson/Refinitiv Institutional Holdings), quarterly, 2000-2021","Estimation-in-changes (trades, not levels) instrumented by flow-induced mutual-fund demand shocks, orthogonalized against fund-specific characteristics to strip fundamental information; exogeneity supported by price-pressure reverting after ~1.5 years","Self-stated: identifies an omitted-variable bias in the standard KY(2019) cross-sectional-LEVELS approach (unobserved static portfolio mandates correlate with price levels, biasing elasticities toward zero / multipliers too large); also notes KY(2019)'s unconstrained levels estimates are frequently upward-sloping (economically implausible), which is why KY impose an artificial positivity constraint","https://infoscience.epfl.ch/bitstreams/ad99b852-4939-498e-bdb9-ade2402e64ff/download"
"van der Beck - Flow-Driven ESG Returns (Ch.2 of the same PhD thesis)","2022 (circulated)/2023 (thesis)","EPFL Infoscience thesis PDF, Chapter 2 (pp.33-)","FACTOR/BASKET-LEVEL price multiplier for a green/ESG stock basket vs. the market","Structural ESG multiplier ~1.11 (1% green-basket demand shock -> 1.11% price change); cross-sectional reduced-form estimate 1.17 (close to structural); every $1 flowing from the market portfolio into the representative ESG portfolio raises the aggregate value of green stocks by $0.4; flow-driven price pressure is estimated to explain virtually all of the ESG portfolio's realized outperformance (counterfactual without ESG flows: annualized 5-factor alpha of -0.3% instead of the actual positive alpha)","0.87 to 1.69 across identification approaches (structural model / cross-sectional regression / Vanguard-4Good index-inclusion event study)","US institutional 13F + mutual-fund holdings, 2010-2021; ESG-fund return sample 2016-2021 (551 identified ESG mutual funds)","Same trades+flow-instrument estimator as Ch.1, applied to a green-vs-market demand system; robustness check re-instruments using changes in Pavlova & Sikorskaya's Benchmarking Intensity as an alternative, supply-side instrument","Self-addresses the 'Wardlaw (2020) critique' of flow-induced-trade instruments, claiming immunity by construction (self-stated, not independently re-derived by me here). This is a factor/basket-level estimate, not the aggregate US equity multiplier","https://infoscience.epfl.ch/bitstreams/ad99b852-4939-498e-bdb9-ade2402e64ff/download"
"Hartzmark & Solomon - Predictable Price Pressure","2022 (NBER WP w30688, Nov 2022); published as 'Market-Wide Predictable Price Pressure', AER 2025, 115(9):3171-3213","NBER w30688 PDF","AGGREGATE MARKET-level price multiplier, identified from predictable (pre-announced) dividend-reinvestment flows","Market-level price multiplier of 1.5 to 2.3 per $1 (preferred estimate, scaling by investor-group reinvestment rates); simple back-of-envelope lower bound of 0.67 assuming 100% reinvestment","0.67 (conservative lower bound) to 1.5-2.3 (preferred)","CRSP US equities, 1926-2018 (main dividend/reinvestment sample); international cross-check 1986-2017; sub-tests on FOMC/macro announcement windows 1988-2019 and 1994-2019","Scheduled/pre-announced timing of dividend payments and reinvestment as a source of uninformed, non-fundamental demand shocks; effect scaled to a market-wide multiplier using estimated reinvestment rates by investor type (retail, mutual fund, institutional)","Self-stated, direct comparison at source: 'somewhat lower than that in Gabaix and Koijen (2021), showing... the multiplier estimated may be sensitive to methodology and which flows are used for estimation.' Also flags their own puzzle: because the dividend flow is announced weeks in advance, its large price effect at execution is 'puzzlingly large' under standard models (including Gabaix-Koijen's), which predict most of the price move should occur at announcement, not execution","https://www.nber.org/system/files/working_papers/w30688/w30688.pdf"
"Parker, Schoar & Sun - Retail Financial Innovation and Stock Market Dynamics: The Case of Target Date Funds","2021 (NBER w28028, revised Aug 2021); published Journal of Finance 2023, 78(5):2673-2723","NBER w28028 rev1 PDF","SINGLE-STOCK-level demand elasticity for stocks with high indirect ownership by target-date/balanced funds ('TDBFs'), from contrarian rebalancing flows. (A separate aggregate-market figure is an illustrative calibration using Gabaix-Koijen's own M=5, not a new estimate.)","Demand elasticity -0.3 -> 'an additional dollar of [TDBF] demand ... the price ... rises by three dollars' (implied single-stock multiplier ~3). Illustrative calibration: at TDBFs' current ~4% of US equity market, contrarian rebalancing dampens a 10-percentage-point equity-minus-bond return gap to 9.4pp (using GK's M=5); would dampen it to 7pp if TDBF equity share grew to 20%","Authors flag their point estimate (multiplier ~3) as much higher than typical single-stock index-inclusion estimates (elasticity ~-1, multiplier ~1; e.g. Shleifer 1986, Chang-Hong-Liskovich 2015)","US mutual funds/TDFs; monthly individual stock returns 2010-2018; TDF asset data 2000-2019","TDF glide-path-implied contrarian rebalancing demand (mechanical function of the equity-vs-bond return gap and fund mandate) as an instrument for indirect institutional demand, scaled by each stock's estimated indirect TDF/balanced-fund ownership","Self-stated: authors interrogate why their single-stock estimate is so much larger than the idiosyncratic index-inclusion literature and conclude the likely reason is that arbitrage capital does not trade against TDF flows (unlike one-off idiosyncratic events), because doing so requires bearing undiversifiable systematic risk - i.e. systematic demand shocks plausibly command a structurally larger multiplier than idiosyncratic ones","https://www.nber.org/system/files/working_papers/w28028/revisions/w28028.rev1.pdf"
"Pavlova & Sikorskaya - Benchmarking Intensity","2022 (WP dated 7 March 2022); published Review of Financial Studies 2023, 36(3):859-903","Author-hosted PDF (sikorskaya.net), dated 7 March 2022","SINGLE-STOCK-level price impact / demand elasticity of benchmarked institutional investors","Price impact (multiplier) = 1.47 per $1 (2SLS; essentially identical with 1 or 2 instruments). Implied household/residual-investor demand elasticity ~2.26. Using mutual-fund/ETF ownership alone instead of all institutional ownership raises the estimate to ~2.6, which the authors flag as attributing too much impact to funds specifically","1.47 (baseline, preferred) to 2.6 (fund-only alternative, authors' own caveat); compare to Koijen & Yogo (2019) institution-level range of 2-4 cited by the authors as consistent","US 13F institutional holdings + CRSP returns, 1998-2018; Russell 1000/2000 cutoff, bandwidth of 300 stocks around the cutoff (N=12,862 stock-year observations)","Change in Benchmarking Intensity (BMI - a stock's cumulative weight across all benchmarks it belongs to, asset-weighted) instruments for the change in institutional ownership, exploiting the Russell 1000/2000 index-assignment discontinuity; over-identified with a second instrument (index-membership dummy), Hansen J-test does not reject (p=0.19)","Self-stated upper-bound caveat: anticipatory arbitrage trading ahead of the (May-determined, predictable) Russell reassignment is not fully captured in their measurement window, so 'our baseline estimate of elasticity is an upper bound' (true elasticity may be lower / multiplier higher). This is a single-stock, local-to-cutoff estimate, not an aggregate-market one","https://www.sikorskaya.net/files/Pavlova_and_Sikorskaya_2022.pdf"
"Li & Lin - Price Multipliers are Larger at More Aggregate Levels","2023 (draft dated 31 Dec 2023)","Rutgers-hosted PDF mirror (business.rutgers.edu); also circulated as SSRN 4038664, not accessed directly","Price multiplier estimated simultaneously at three levels of aggregation (idiosyncratic stock / granular style / coarse style) with one unified demand instrument; a secondary diagnostic exercise attempts literal market-level (aggregate) estimation","Multiplier rises with aggregation: 1.73 (idiosyncratic stock) -> 3.12 (granular style) -> 6.98 (coarse style); differences are statistically significant. A naive extension of the same instrument to the literal whole market gives an implausible 25.7-32.9, which the authors attribute to omitted-variable bias from correlated S&P futures order flow (estimated bias ~27.9 per $1, 95% CI [11.5, 44.2]); they explicitly conclude 'our measure should not be used to estimate market-level price multipliers'","1.73-6.98 across the three validated aggregation levels; [C-076] the paper reports NO bias-corrected market-level figure; it concludes the measure should not be used for market-level multipliers (naive ~32.85, estimated bias ~27.9, roughly ~5) is coincidentally close to Gabaix-Koijen's own aggregate estimate","US equities, weekly Lee-Ready signed order-flow imbalance (TAQ-based), 1993-2022","Demand decomposed into coarse-style / granular-style / idiosyncratic components via size and book-to-market sorts (and, as a robustness check, a data-driven alternative), each regressed on contemporaneous stock returns; robust across sub-periods within 1993-2022","Self-stated: an explicit methodological critique of naively extending microstructure order-flow measures to the aggregate/market level (severe omitted-variable bias from correlated index-futures flow). Their positive finding (multipliers rise with aggregation) favors risk-averse-liquidity-provider explanations over information-based ones for why single-stock and aggregate multipliers differ so much","https://www.business.rutgers.edu/sites/default/files/documents/jiacui-li.pdf"
