company,date,form,accession,instrument,amount_bn,use_of_proceeds_short,url
Alphabet,2026-06-05,8-K,0001193125-26-259830,"Series A + Series B 6.25% Mandatory Convertible Preferred Stock (depositary shares), closing","19.25 USDbn gross (both series, full over-allotment)",Not stated in this 8-K (item 1.01/3.03/5.03); see 424B5,https://www.sec.gov/Archives/edgar/data/1652044/000119312526259830/d36818d8k.htm
Alphabet,2026-06-04,8-K,0001193125-26-257724,ATM equity distribution agreement (Class A/C common stock),40.0 USDbn authorized capacity,Primarily to fund employee equity-award tax withholding administration for 2026; residual for general corporate purposes,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257724/d83560d8k.htm
Alphabet,2026-06-04,8-K,0001193125-26-257724,Underwritten public Stock Offering (Class A + Class C common),20.5 USDbn net (incl. full over-allotment),General corporate purposes incl. capex to scale AI infrastructure/global compute,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257724/d83560d8k.htm
Alphabet,2026-06-04,8-K,0001193125-26-257724,Private placement of common stock to Berkshire Hathaway affiliate (Sec 4(a)(2) exempt),10.0 USDbn gross,General corporate purposes (per 424B5); named investor: Berkshire Hathaway affiliate,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257724/d83560d8k.htm
Alphabet,2026-06-04 (dated 2026-06-02),424B5,0001193125-26-257702,6.25% Series B Mandatory Convertible Preferred Stock (depositary shares),9.5 USDbn net (incl. full over-allotment),~0.44bn USD to fund capped-call transactions; remainder for general corporate purposes incl. AI infra/global compute capex,https://www.sec.gov/Archives/edgar/data/1652044/000119312526257702/d152175d424b5.htm
Alphabet,2026-02-13,8-K,0001193125-26-051423,"Senior Notes, USD tranches (7)",20.0 USDbn face,Not stated in 8-K; base prospectus boilerplate is general corporate purposes/debt repayment,https://www.sec.gov/Archives/edgar/data/1652044/000119312526051423/d946885d8k.htm
Alphabet,2026-02-13,8-K,0001193125-26-051423,"Senior Notes, GBP tranches (5)",5.5 GBPbn face,Not stated in 8-K; base prospectus boilerplate is general corporate purposes/debt repayment,https://www.sec.gov/Archives/edgar/data/1652044/000119312526051423/d946885d8k.htm
Alphabet,2026-05-11,8-K,0001193125-26-216986,"Senior Notes, EUR tranches (6)",9.0 EURbn face,Not stated in 8-K; base prospectus boilerplate is general corporate purposes/debt repayment,https://www.sec.gov/Archives/edgar/data/1652044/000119312526216986/d109021d8k.htm
Alphabet,2026-05-11,8-K,0001193125-26-216986,"Senior Notes, CAD tranches (4)","DISCREPANCY: 8-K intro sentence says 9.5 CADbn, but the 4 itemized tranches it lists sum to only 8.5 CADbn (1.5+2.0+2.25+2.75); exhibit count (4 CAD note forms) matches 4 tranches, not a 5th missing one",Not stated in 8-K; base prospectus boilerplate is general corporate purposes/debt repayment,https://www.sec.gov/Archives/edgar/data/1652044/000119312526216986/d109021d8k.htm
Alphabet,2026-08-07 priced / 2026-08-10 closed,424B2 / 8-K,0001193125-26-340264,"Senior Notes, USD tranches (10)",24.8 USDbn net / 25.0 USDbn face,"General corporate purposes, which may include repayment of outstanding debt (generic; no AI-specific language)",https://www.sec.gov/Archives/edgar/data/1652044/000119312526340264/d32286d424b2.htm
