company,deal_rank_by_usd_equiv,deal_date,currency,principal_amount_bn,coupon,maturity,accession,source_form
Alphabet,1,2026-02-13,USD,2.5,3.700%,2029,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,USD,3.0,4.100%,2031,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,USD,3.0,4.400%,2033,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,USD,4.25,4.800%,2036,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,USD,1.5,5.500%,2046,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,USD,4.0,5.650%,2056,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,USD,1.75,5.750%,2066,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,GBP,0.75,4.125%,2029,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,GBP,1.25,4.625%,2032,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,GBP,1.25,5.500%,2041,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,GBP,1.25,5.875%,2058,0001193125-26-051423,8-K
Alphabet,1,2026-02-13,GBP,1.0,6.125%,2126,0001193125-26-051423,8-K
Alphabet,2,2026-08-10,USD,0.75,floating,2028,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,1.25,4.500%,2028,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,0.5,floating,2029,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,2.0,4.625%,2029,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,3.5,4.875%,2031,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,2.5,5.200%,2033,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,4.5,5.450%,2036,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,3.0,6.250%,2046,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,4.5,6.375%,2056,0001193125-26-340264,424B2/8-K
Alphabet,2,2026-08-10,USD,2.5,6.500%,2066,0001193125-26-340264,424B2/8-K
Alphabet,3,2026-05-11,EUR,1.5,3.200%,2030,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,EUR,1.75,3.450%,2032,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,EUR,1.5,3.625%,2034,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,EUR,1.75,4.100%,2039,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,EUR,1.25,4.500%,2045,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,EUR,1.25,4.800%,2063,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,CAD,1.5,3.650%,2031,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,CAD,2.0,4.000%,2033,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,CAD,2.25,4.350%,2036,0001193125-26-216986,8-K
Alphabet,3,2026-05-11,CAD,2.75,5.000%,2056,0001193125-26-216986,8-K
Amazon,1,2026-03-13,USD,1.75,floating,2028,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,1.0,floating,2029,0001104659-26-027729,8-K
Amazon,1,2026-03-13,USD,2.25,3.850%,2028,0001104659-26-027729,8-K
