deal,investor,amount,source_line
SK hynix Inc. (SKHY),Baillie Gifford Overseas Limited,Part of an aggregate US$7 billion (3 named investors jointly; no individual split disclosed),"""have, severally and not jointly, indicated an interest in purchasing up to an aggregate of US$7 billion of the ADSs"""
SK hynix Inc. (SKHY),"Investment funds managed by Coatue Management, L.L.C.",Part of an aggregate US$7 billion (3 named investors jointly; no individual split disclosed),"""have, severally and not jointly, indicated an interest in purchasing up to an aggregate of US$7 billion of the ADSs"""
SK hynix Inc. (SKHY),Situational Awareness Partners LP,Part of an aggregate US$7 billion (3 named investors jointly; no individual split disclosed),"""have, severally and not jointly, indicated an interest in purchasing up to an aggregate of US$7 billion of the ADSs"""
Medline Inc. (MDLN),Members of the Mills Family and their affiliates (Medline's founding family),$250 million aggregate; shares purchased ARE subject to lock-up,"""have indicated an interest in purchasing up to an aggregate of $250 million in shares...Any shares so purchased...will be subject to a lock-up agreement"""
Medline Inc. (MDLN),Baillie Gifford Overseas Limited,"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),Funds/accounts managed by Capital Research Global Investors,"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),Counterpoint Global (Morgan Stanley Investment Management),"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),Funds managed by Durable Capital Partners LP,"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),GIC Private Limited,"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),Janus Henderson Investors,"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),Viking Global Investors LP,"Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Medline Inc. (MDLN),"Funds/accounts managed by WCM Investment Management, LLC","Part of an aggregate $2,350 million across 8 named 'cornerstone investors'; no individual split disclosed; NOT subject to lock-up","""(collectively, the 'cornerstone investors') have...indicated an interest in purchasing up to an aggregate of $2,350 million...will not be subject to a lock-up agreement"""
Fervo Energy Company (FRVO),"Atlas Point Energy Infrastructure Fund, LLC",Part of an aggregate $350 million (4 named investors jointly; no individual split disclosed),"""(collectively, the 'Cornerstone Investors') have...indicated an interest in purchasing up to an aggregate of $350 million"""
Fervo Energy Company (FRVO),"Norges Bank Investment Management, a division of Norges Bank (Norway's sovereign wealth fund)",Part of an aggregate $350 million (4 named investors jointly; no individual split disclosed),"""(collectively, the 'Cornerstone Investors') have...indicated an interest in purchasing up to an aggregate of $350 million"""
Fervo Energy Company (FRVO),Wellington Management,Part of an aggregate $350 million (4 named investors jointly; no individual split disclosed),"""(collectively, the 'Cornerstone Investors') have...indicated an interest in purchasing up to an aggregate of $350 million"""
Fervo Energy Company (FRVO),Funds/accounts managed by Capital Research Global Investors,Part of an aggregate $350 million (4 named investors jointly; no individual split disclosed),"""(collectively, the 'Cornerstone Investors') have...indicated an interest in purchasing up to an aggregate of $350 million"""
"Pershing Square USA, Ltd. (PSUS) -- closed-end fund, not an operating company","Pershing Square Capital Management, L.P. (the Manager / Bill Ackman's firm) -- self-investment, not a third-party cornerstone",$250 million (the 'Pershing Square Investment'); $100 million of it locked up for 25 years,"""The Manager will have an aggregate investment in the Company of $250 million upon the completion of the Pershing Square Investment"""
