deal,cik,form_type,accession_number,filing_date_edgar,prospectus_date,filing_url,shares_offered_by_company_primary,shares_offered_by_selling_holders_secondary,price_per_unit,total_base_gross_proceeds_at_offer_price,over_allotment_shares_and_source,over_allotment_exercise_disclosed_in_filing,proceeds_to_company_base,proceeds_to_company_full_exercise,proceeds_to_selling_holders_base,proceeds_to_selling_holders_full_exercise,use_of_proceeds_one_line,cornerstone_or_anchor_investors_summary,directed_share_program_size,retail_allocation_statement,lockup_length,notes_and_caveats
Space Exploration Technologies Corp. (SpaceX) - Nasdaq: SPCX,1181412,424B4,0001628280-26-042639,2026-06-12,2026-06-11,https://www.sec.gov/Archives/edgar/data/1181412/000162828026042639/spaceexplorationtechnologi.htm,"555,555,555",0 (no selling stockholders named or referenced),$135.00 per share,"$74,999,999,925 (matches press ~$75.0bn base)","Up to 83,333,333 add'l shares (15% of base), ALL from the company; underwriters receive NO discount on these shares (footnote 1); 30-day window",No - filing predates the 30-day exercise window/settlement; exercise not disclosed here,"$74,499,999,925 (before expenses, i.e. gross less $500,000,000 underwriting discount)","$85,749,999,880 (before expenses, full exercise) / Use-of-Proceeds section states 'approximately $85.7 billion' net-of-discount-and-expenses basis if option exercised in full -- matches press '$85.7bn after over-allotment' basis, but this is the FULL-EXERCISE SCENARIO, not confirmation the greenshoe was actually exercised",$0 / N/A - no selling holders in this offering,$0 / N/A,"Fund growth strategy: AI compute infrastructure, launch infrastructure/vehicles, satellite constellation scale/capacity, remainder general corporate purposes",None found / not disclosed in prospectus (no 'cornerstone' or 'anchor investor' language present),"Up to 5% of offered shares (~27.78M shares, ~$3.75bn at IPO price) reserved for employees/persons selected by executive officers; shares purchased NOT subject to lock-up","Yes, explicit: underwriters allocate to retail investors directly, PLUS shares offered to retail via Charles Schwab, Fidelity Brokerage/Fidelity Capital Markets, Robinhood Financial, SoFi Securities (selling group members), and E*TRADE by Morgan Stanley","180 days standard, with scheduled early releases starting day 70 (70/90/105/... days); founder Elon Musk: 366 days; certain other affiliated holders: 'extended lock-up period' with releases at 280/340/366 days","100% primary offering (no secondary component at all). Denominator for all $ figures: USD. Greenshoe exercise status not knowable from this filing (would appear later in an 8-K, press release, or Form 3/4 filings)."
SK hynix Inc. - Nasdaq: SKHY (ADSs),2120882,"424B4 (filed under F-1 registration, Reg. No. 333-296987) -- foreign private issuer form family, as expected",0001193125-26-299963,2026-07-10,2026-07-09,https://www.sec.gov/Archives/edgar/data/2120882/000119312526299963/d32785d424b4.htm,"177,900,000 ADSs (=17,790,000 common shares; 1 ADS = 1/10 common share)",0 (no selling shareholders named or referenced),US$149.00 per ADS,"US$26,507,100,000 (matches press $26.5bn exactly)",NONE GRANTED -- prospectus explicitly states: 'We will not grant the underwriters any over-allotment option to purchase additional ADSs from us due to restrictions under Korean law',N/A - no over-allotment option exists for this deal,"US$26,249,554,170 (before expenses, i.e. gross less US$257,545,830 underwriting discount); company's own 'net' estimate after all offering expenses too: 'approximately US$26.2 billion'",N/A - no over-allotment option,$0 / N/A - no selling holders,$0 / N/A,"Capex for Korea production-facility construction (~KRW 45.5 trillion) and EUV scanner acquisition (~KRW 11.9 trillion, delivery by Dec 2027); shortfall funded via operating cash flow and debt -- NOTE: stated in KRW in the filing, not USD","Yes - Baillie Gifford Overseas Limited, funds managed by Coatue Management L.L.C., and Situational Awareness Partners LP; aggregate indicated interest up to US$7 billion (non-binding; no individual per-investor split disclosed). See cornerstones.csv.",None found / not disclosed,"None found / not disclosed (no retail brokerage platform selling-group language, unlike SpaceX)",90-day 'restricted period' for the company and certain affiliate 'lock-up parties',100% primary offering. No over-allotment at all (contrast with SpaceX/Cerebras). Cornerstone aggregate is USD; capex use-of-proceeds figures are KRW as disclosed (no FX conversion performed here). Denominator: USD unless marked KRW.
Cerebras Systems Inc. - Nasdaq: CBRS,2021728,424B4,0001628280-26-035214,2026-05-14,2026-05-13,https://www.sec.gov/Archives/edgar/data/2021728/000162828026035214/cerebras-424b4.htm,"30,000,000","0 (one boilerplate mention of 'selling stockholders' found, but confirmed to be generic registration-rights-agreement language unrelated to this offering's structure)",$185.00 per share,"$5,550,000,000 (matches press ~$5.55bn exactly)","Up to 4,500,000 add'l shares (15% of base), ALL from the company, at IPO price LESS underwriting discount (discount DOES apply here, unlike SpaceX)",No - not yet exercised/disclosed as of this filing,"$5,419,575,000 (before expenses); Use-of-Proceeds states net proceeds (after all expenses) of 'approximately $5,408.5 million'","'approximately $6,221.4 million' net proceeds if over-allotment exercised in full (per Use of Proceeds) -- press brief gave no post-over-allotment figure for this deal, so this is new information from the filing",$0 / N/A,$0 / N/A,"General corporate purposes (working capital, opex, capex); ~$416.1 million earmarked to cover tax withholding on ~4,799,565 RSU shares vesting at the IPO; may fund technology/business acquisitions (none currently binding)",None found / not disclosed,"1,500,000 shares (5% of base offering) for persons identified by management and long-tenured employees",None found / not disclosed,"180 days, OR the second trading day after Cerebras releases Q3 2026 earnings, whichever is earlier; ~15.0 million shares subject to early-release 'sell-to-cover' provisions during the lock-up",100% primary offering. Denominator: USD.
Medline Inc. - Nasdaq: MDLN,2046386,424B4,0001193125-25-323742,2025-12-18,"on/about 2025-12-16/17 (delivery 'on or about December 18, 2025')",https://www.sec.gov/Archives/edgar/data/2046386/000119312525323742/d77351d424b4.htm,"216,034,482 (100% of the cover-page offering; SEC-cover-page basis -- see notes for economic-substance nuance)",0 named 'selling stockholders' on the cover page (Up-C structure -- see notes),$29.00 per share,"$6,264,999,978 = $6.265bn exactly; press said '~$6.27bn' -- a $5 million (0.08%) rounding difference, essentially confirmed","Up to 32,405,172 add'l shares (15% of base), structurally from the company, at IPO price LESS discount; but 100% of these proceeds are earmarked to buy out pre-IPO owners (see notes) -- 'we will not retain any of these proceeds'",No - not yet exercised/disclosed as of this filing,"$6,128,524,514.69 (before expenses); company's own estimate: 'approximately $6,129 million'","GROSS basis (shares x price, full exercise): $7,204,749,966 -- matches press '~$7.2bn' almost exactly. NET basis (company's own 'net proceeds' estimate, after discount AND expenses): 'approximately $7,048 million'. These differ by ~$157M (~2.2%) because, unlike SpaceX, Medline's over-allotment shares DO carry the full underwriting discount. Press figure corresponds to the GROSS basis, not the company's net-proceeds disclosure.","$0 named selling holders on cover BUT ~$1,051 million of net proceeds (from 37,034,482 of the 216,034,482 shares) is explicitly earmarked to 'purchase or redeem outstanding Common Units and shares of Class A common stock from certain of our pre-IPO owners' -- economically a secondary sale executed via newly issued primary shares","~$1,970 million (~$1,051M plus ~$919M of over-allotment proceeds, all earmarked for the same pre-IPO-owner buyout)","179,000,000 shares' proceeds (~$5,078M) -> Medline Holdings LP debt repayment ($729M Euro Term Loan in full + $3,280M partial paydown of 2028 Refinancing Term Loan) + general corporate purposes; 37,034,482 shares' proceeds (~$1,051M) + any over-allotment proceeds -> redeem pre-IPO owners' equity interests (company retains none of this portion)","Yes, TWO distinct groups -- (1) Mills Family (founders) and affiliates: aggregate $250 million, WITH lock-up; (2) 'cornerstone investors': Baillie Gifford, Capital Research Global Investors, Counterpoint Global (Morgan Stanley IM), Durable Capital Partners, GIC Private Limited, Janus Henderson, Viking Global Investors, WCM Investment Management: aggregate $2,350 million, WITHOUT lock-up. See cornerstones.csv.",None found / not disclosed,None found / not disclosed,180 days,"KEY FINDING for this research question: Medline's SEC cover page shows 100% primary / 0% secondary (Medline Inc. is sole seller of record via its Up-C structure), but the Use of Proceeds section discloses that ~17% of the BASE deal (37.03M of 216.03M shares) and 100% of any over-allotment shares are economically a cash-out to pre-IPO owners (Blackstone/Carlyle/Hellman & Friedman consortium and the Mills family, per the 2021 buyout), NOT capital retained by the company. Only ~83% of the base deal (179M shares, ~$5,078M net) is genuine growth/balance-sheet capital. This is a materially different picture from a simple primary/secondary cover-page read."
Quantinuum Inc. - Nasdaq: QNT,2110105,424B4,0001628280-26-041003,2026-06-05,"on/about 2026-06-04/05 (delivery on June 5, 2026)",https://www.sec.gov/Archives/edgar/data/2110105/000162828026041003/quantinuum-424b4.htm,"28,000,000",0,$60.00 per share,"$1,680,000,000","Up to 4,200,000 add'l shares (15% of base), ALL from the company",No,"Net ~$1,581.7 million (after discount and estimated expenses)","Net ~$1,821.7 million",$0 / N/A,$0 / N/A,Purchase newly issued Common Units from Quantinuum Holdings LLC; Holdings uses net proceeds for general corporate purposes and possible acquisitions/investments in complementary technology (none currently binding) -- NOT earmarked for any owner buyout,None found / not disclosed,"Up to 5% of offered shares, for current/former directors, officers, employees, business associates and related persons",None found / not disclosed,180 days,"ADDITIONAL DEAL found via EDGAR full-text search (not in the original brief), >$1bn. Up-C structure (public float = 12.6% of Quantinuum Holdings economics) but unlike Medline, proceeds are fully retained/general-corporate -- no owner cash-out disclosed. 100% primary in both cover-page AND economic-substance terms."
Fervo Energy Company - Nasdaq: FRVO,1853868,424B4,0001628280-26-034849,2026-05-14,"on/about 2026-05-13 (delivery expected May 15, 2026)",https://www.sec.gov/Archives/edgar/data/1853868/000162828026034849/fervoenergy-424b4.htm,"70,000,000",0,$27.00 per share,"$1,890,000,000","Up to 10,500,000 add'l shares (15% of base), ALL from the company",No,"$1,776,600,000 (before expenses); Use-of-Proceeds net estimate: 'approximately $1,767,385,600'","'approximately $2,033,875,600' net, if over-allotment exercised in full",$0 / N/A,$0 / N/A,"General corporate purposes: capex, continued GeoCluster development, expansion of land holdings portfolio, working capital and operating expenses (no fixed allocation)","Yes - Atlas Point Energy Infrastructure Fund LLC, Norges Bank Investment Management (Norway's sovereign wealth fund), Wellington Management, and funds managed by Capital Research Global Investors; aggregate indicated interest up to $350 million (non-binding). See cornerstones.csv.","'Reserved Share Program' -- up to 5% of shares offered, for directors, officers, employees and related persons",None found / not disclosed,180 days,"ADDITIONAL DEAL found via EDGAR full-text search, >$1bn. 100% primary offering."
Jersey Mike's Subs Inc. - NYSE: JMKE,2127043,424B4,0001193125-26-326453,2026-07-31,on/about 2026-07-30/31,https://www.sec.gov/Archives/edgar/data/2127043/000119312526326453/project_70_424b4.htm,"13,782,609 (31.7% of the base deal)","29,695,652 (68.3% of the base deal) -- Blackstone-affiliated pre-IPO owners ('the selling stockholders')",$23.00 per share,"$1,000,000,003 total (43,478,261 shares) -- NOTE: this clears the brief's >$1bn threshold by only $3; essentially at the boundary","Up to 6,521,739 add'l shares (15% of base), ENTIRELY from the selling stockholders (not the company) -- so over-allotment exercise would make the deal MORE secondary-heavy, not less",No,"~$301 million net (from the 13,782,609 company shares only)",Unchanged at ~$301 million -- company gets $0 from over-allotment shares (100% of those are the selling stockholders'),"Computed (not a directly quoted single total): 29,695,652 shares x ($23.00 - $1.15 disclosed per-share underwriting discount) = approx. $648.7 million net","Computed: (29,695,652 + 6,521,739) shares x $21.85 = approx. $791.2 million net, if over-allotment exercised in full",Company's ~$301 million primary proceeds used IN FULL to partially repay Series 2026-1 Class A-2-I Notes (~$44M) and Class A-2-II Notes (~$251M) plus accrued interest (~$6M total); explicitly 'results in the full use of primary offering proceeds.' Secondary proceeds go entirely to Blackstone/selling stockholders; company receives none of it.,None found / not disclosed,"Up to 5% of the Class A common stock offered, to directors/officers/employees/business associates/related persons; NOTE: unlike some peer deals, buyers here ARE subject to a 180-day lock-up",None found / not disclosed,180 days,"ADDITIONAL DEAL found via EDGAR full-text search. MARGINAL on the >$1bn threshold (exceeds it by $3 out of $1,000,000,003). Majority-secondary deal: Blackstone (Sponsor) is cashing out roughly two-thirds of the base offering; remains a 'controlled company' post-IPO under Blackstone control."
Bending Spoons S.p.A. - Nasdaq: BSP,2004711,"424B4 (issuer is a 'foreign private issuer', Reg. No. 333-296573)",0001104659-26-079884,2026-07-01,on/about 2026-06-30/07-01,https://www.sec.gov/Archives/edgar/data/2004711/000110465926079884/tm2613674-14_424b4.htm,"34,398,640 (59.3% of base deal)","23,572,375 (40.7% of base deal) -- 'Selling Shareholders' (existing shareholders)",$29.00 per ordinary share,"$1,681,159,435 total (57,971,015 ordinary shares)","Up to 5,244,026 add'l shares from the company (primary) PLUS up to 3,451,626 add'l shares from the Selling Shareholders (secondary) -- both sides participate in the greenshoe",No,"Net ~$933 million (from the primary 34,398,640 shares only; discount+expenses deducted)","Net ~$1,079 million",Not separately itemized as a single quoted total in the sections extracted; company 'will not receive any proceeds from the sale of ordinary shares by the Selling Shareholders',Not separately itemized in extracted sections,General corporate purposes and to fund new acquisitions; no binding acquisition agreements at the time of filing,None found / not disclosed,None found / not disclosed,None found / not disclosed,180 days (Company Lock-Up Period; separate matching lock-up for Selling Shareholders/certain other holders),"ADDITIONAL DEAL found via EDGAR full-text search, >$1bn. Italian company, confirmed 'foreign private issuer' status in the prospectus. Mixed primary/secondary deal (59%/41% at base)."
INNIO N.V. - Nasdaq: INIO,2109150,424B4,0001193125-26-256992,2026-06-04,on/about 2026-06-03/04,https://www.sec.gov/Archives/edgar/data/2109150/000119312526256992/liberty_-_424b4.htm,0 -- the company itself is selling NO shares,"90,000,000 (100% of the deal) -- AI Alpine (Luxembourg) S.a r.l., the 'Principal Shareholder' (an Advent International-affiliated entity)",$27.00 per common share,"$2,430,000,000 total, 100% secondary","Up to 13,500,000 add'l shares, ENTIRELY from the selling shareholder (100% secondary)",No,$0 -- explicit: 'We will not receive any proceeds from the sale of the common shares by the selling shareholder in this offering',$0,"$2,338,875,000 (before expenses; per-share price $25.9875 after $1.0125/share, $91,125,000 total underwriting discount)","Computed: (90,000,000+13,500,000) x $25.9875 = approx. $2,690.7 million, if over-allotment exercised in full","N/A to the company (zero proceeds). Separately, the prospectus discloses contingent cash payments to two other historical owners (PARS: up to $282.9 million; Blackmountain: up to $141.8 million) tied to the Principal Shareholder's FUTURE share sales -- these are related-party arrangements, not offering proceeds.",None found / not disclosed,None found / not disclosed,None found / not disclosed,180 days,"ADDITIONAL DEAL found via EDGAR full-text search, >$1bn. THIS IS A 100% SECONDARY IPO -- a clean carve-out listing of a private-equity-owned industrial company (formerly GE's distributed-power/Jenbacher-Waukesha engine business) in which the operating company itself raises ZERO capital. Directly relevant to the research question 'who funds the IPO boom': here, none of the IPO proceeds fund the company -- the entire $2.43bn (base) goes to the PE sponsor exiting its position."
"Pershing Square USA, Ltd. - NYSE: PSUS  ** NOT an operating company -- closed-end fund, flag separately **",2002660,424B4 (registered closed-end investment company under the Investment Company Act of 1940),0001140361-26-018104,2026-04-30,on/about 2026-04-29/30,https://www.sec.gov/Archives/edgar/data/2002660/000114036126018104/ny20064799x11_424b4.htm,"40,516,960 Common Shares (this is the 424B4-REGISTERED PUBLIC TRANCHE ONLY; PSUS is newly formed with no pre-existing shares, so this is definitionally 'primary')",0,$50.00 per Common Share,"$2,025,848,000 (public 424B4 tranche only). SEPARATELY: a concurrent $2.974 billion PRIVATE PLACEMENT (unregistered, Reg D/4(a)(2)-exempt) closes alongside this offering. Combined transaction = $5,000,000,000 -- but only the $2.026bn public tranche is the '424B4 IPO' proper.","Up to 6,077,544 add'l shares (15% of base), ALL from the Company (PSUS); UNUSUAL 45-day window (vs the standard 30 days seen in every other deal in this dataset)",No,"$1,980,599,250 (public tranche, before expenses, net of 2.0%-2.5% blended 'sales load' of $45,248,750 -- this fund uses 'sales load' terminology, not 'underwriting discount')","$2,277,689,138 (public tranche only, full exercise)",$0 / N/A -- no selling holders (newly formed entity),$0 / N/A,"NOT operating capex -- invest per the fund's stated objective: acquire concentrated (12-15 position) minority stakes in large-cap, North American, growth companies (Bill Ackman/Pershing Square Capital Management's activist strategy); expects to deploy substantially within ~60 days","Pershing Square Capital Management, L.P. (the Manager) itself commits $250 million ('the Pershing Square Investment'), of which $100 million is locked up for 25 YEARS. The $2.974bn private-placement investor base is disclosed only by CATEGORY, not by name: family offices 28%, pension funds 24%, insurance companies 20%, ultra-high-net-worth investors 13%, other 15%. No other named cornerstone investors in the traditional sense. See cornerstones.csv (Manager entry only; category breakdown is not a named investor).",None in the traditional employee-DSP sense,"Yes, explicit: 'a portion of the Common Shares and the PSI Common Stock...will...be offered to retail investors through Charles Schwab and Robinhood' as selling group members; ALSO a differentiated sales-load structure by investor type (2.0% institutional vs 2.5% retail, blending to 2.23%)","180 days for parties who indicated interest in the offering (incl. PS Inc., Manager employees/affiliates); the Manager's own $100 million stake is locked up for 25 YEARS (a highly unusual duration)","FLAG: PSUS is a newly formed, non-diversified CLOSED-END INVESTMENT COMPANY registered under the Investment Company Act of 1940 -- it is a permanent-capital fund vehicle raising assets under management, NOT an operating company selling growth equity, and its inclusion in an 'IPO boom' total is a judgment call for the research team, not made here. It is structurally stapled to a companion offering, Pershing Square Inc. (CIK 2026053, ticker 'PS', accession 0001140361-26-018103), which issues bonus shares of its own stock 'for no additional consideration' to combined-offering investors and raises ZERO separate proceeds for itself. RECOMMEND treating this deal separately from the operating-company total."
