item,value,period,source,note
"RPO, total",$664 billion,"As of Aug 31, 2026 (Q1 FY2027)","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Item 2 MD&A 'Remaining Performance Obligations from Contracts with Customers' and Note 1","Filing states RPO 'were $664 billion and $455 billion as of August 31, 2026 and 2025, respectively'"
"RPO, total (prior-year quarter, as stated in this filing)",$455 billion,"As of Aug 31, 2025 (Q1 FY2026)","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - same sentence as above",Year-over-year comparative disclosed inside the Q1 FY2027 10-Q itself
"RPO, % expected as revenue next 12 months",13%,"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 1, Remaining Performance Obligations",
"RPO, % expected months 13-36",37%,"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 1, Remaining Performance Obligations",
"RPO, % expected months 37-60",34%,"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 1, Remaining Performance Obligations",
"RPO, % expected thereafter (remainder)",16% (derived),"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 1, Remaining Performance Obligations","Filing says only 'the remainder thereafter', no percentage given; 16% = 100% minus the three disclosed percentages (13+37+34=84)"
"RPO, year-over-year change (Aug 2026 vs Aug 2025)",+$209 billion (+46%),Q1 FY2027 vs Q1 FY2026,"10-Q filed 2026-09-11, acc. 0001193125-26-389274",Computed from the two totals the filing states; filing attributes the rise to 'certain significant cloud contracts that were entered into during the period' (its exact words for both this and the FY2026 change)
"RPO, total",$638 billion,"As of May 31, 2026 (FY2026 year-end / Q4 FY2026)","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Item 2 MD&A and Note 1, Remaining Performance Obligations","Filing states RPO 'were $638 billion and $138 billion as of May 31, 2026 and 2025, respectively'"
"RPO, total (prior-year, as stated in this filing)",$138 billion,"As of May 31, 2025 (FY2025 year-end)","10-K filed 2026-06-22, acc. 0001193125-26-277521 - same sentence as above",
"RPO, % expected as revenue next 12 months",12%,"As of May 31, 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 1, Remaining Performance Obligations",
"RPO, % expected months 13-36",34%,"As of May 31, 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 1, Remaining Performance Obligations",
"RPO, % expected months 37-60",34%,"As of May 31, 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 1, Remaining Performance Obligations",
"RPO, % expected thereafter (remainder)",20% (derived),"As of May 31, 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 1, Remaining Performance Obligations","Filing says only 'the remainder thereafter', no percentage given; 20% = 100% minus the three disclosed percentages (12+34+34=80)"
"RPO, quarter-on-quarter change (May 2026 to Aug 2026)",+$26 billion (+4.1%),FY2026 year-end to Q1 FY2027,"10-Q filed 2026-09-11, acc. 0001193125-26-389274 and 10-K filed 2026-06-22, acc. 0001193125-26-277521",Computed here from the two totals above ($664B - $638B); neither filing states this sequential change directly
RPO composition commentary beyond timing,Not disclosed,Both filings,"10-Q filed 2026-09-11, acc. 0001193125-26-389274 and 10-K filed 2026-06-22, acc. 0001193125-26-277521","Neither filing splits RPO by cloud vs. license, gives a weighted-average RPO contract term, or breaks RPO out by segment/offering; only the 12/13-36/37-60/thereafter month recognition schedule above is given"
Customer-concentration disclosure present in Q1 FY2027 10-Q,Not disclosed / absent,Q1 FY2027 10-Q,"10-Q filed 2026-09-11, acc. 0001193125-26-389274 - entire document","No occurrence anywhere in the 10-Q of 'concentration', 'credit risk', 'single customer', 'significant customer', or 'related party'; Item 1A (Risk Factors) and Item 3 (Market Risk) each state there were no material changes and refer readers back to the FY2026 10-K instead of restating"
Single-customer revenue concentration,"No customer reached a 10% share of total revenues in FY2026, FY2025 or FY2024 (paraphrased)","FY2026, FY2025 and FY2024 (full fiscal years)","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 1, 'Concentrations of Risk'","Quantified negative disclosure (confirms absence of a customer above the 10% threshold); stated only relative to total revenues, not relative to RPO; paraphrased here to keep any verbatim quote under 15 words per task rules"
Qualitative concentration risk factor (OCI),'we are more concentrated among a number of large customers' in certain OCI offerings,FY2026 10-K (point-in-time risk factor),"10-K filed 2026-06-22, acc. 0001193125-26-277521 - Item 1A Risk Factors","Unquantified: no customer named, no percentage of revenue/RPO given, no count of customers given; not repeated or updated in the Q1 FY2027 10-Q"
Credit risk from customers - narrative mitigants,"Described qualitatively only (credit evaluations, short payment terms, customer-base diversification); no quantified customer credit-risk-concentration figure",FY2026 10-K,"10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 1, 'Concentrations of Risk'",No allowance-for-credit-losses breakdown by customer or customer group is given
Allowance for credit losses on trade receivables,$536 million,"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Condensed Consolidated Balance Sheets",Not attributed to any specific customer or customer group in either filing
"Allowance for credit losses on trade receivables, prior",$542 million,"As of May 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Condensed Consolidated Balance Sheets (comparative column)",
Related-party transactions tied to RPO/backlog,Not disclosed,Both filings,"10-Q filed 2026-09-11, acc. 0001193125-26-389274 and 10-K filed 2026-06-22, acc. 0001193125-26-277521","No 'related party' language and no named counterparty (e.g., no AI-compute customer or supplier named) found in connection with RPO or backlog in either filing; the only related-type holding disclosed is a 15%-owned non-marketable equity investment in TikTok USDS Joint Venture LLC, presented as an investment, not as a customer or backlog-financing arrangement"
Capital expenditures (cash),"$28,499 million","Three months ended Aug 31, 2026 (Q1 FY2027)","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Condensed Consolidated Statements of Cash Flows",
"Capital expenditures (cash), prior-year quarter","$8,502 million","Three months ended Aug 31, 2025 (Q1 FY2026)","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Cash Flows statement (comparative column)",
"Capital expenditures (cash), full fiscal year","$55,663 million","Year ended May 31, 2026 (FY2026)","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Consolidated Statements of Cash Flows",
"Capital expenditures (cash), full fiscal year, prior","$21,215 million","Year ended May 31, 2025 (FY2025)","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Cash Flows statement (comparative column)",
Unpaid capital expenditures,"$6,247 million","As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Cash Flows statement, non-cash investing activities",
"Unpaid capital expenditures, prior","$4,010 million","As of May 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Cash Flows statement (comparative column)",
Total operating lease liabilities,"$34,621 million","As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 6, Leases and Other Commitments",
"Total operating lease liabilities, prior","$30,190 million","As of May 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 6 (comparative column); matches 10-K filed 2026-06-22, acc. 0001193125-26-277521 Note 9",
Total finance lease liabilities,"$9,185 million","As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 6, Leases and Other Commitments",
"Total finance lease liabilities, prior","$7,701 million","As of May 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 6 (comparative column); matches 10-K filed 2026-06-22, acc. 0001193125-26-277521 Note 9",
Additional (off-balance-sheet) data-center lease commitments,$288 billion,"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 6, Leases and Other Commitments","Terms of 15-19 years, generally expected to commence between Q2 FY2027 and FY2029; not reflected on the balance sheet or in the lease-maturities table"
"Additional (off-balance-sheet) data-center lease commitments, prior",$260 billion,"As of May 31, 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 9, Leases and Other Commitments","Terms of 15-19 years, expected to commence between Q1 FY2027 and FY2029; this balance is the one that includes the lessor-borrowing guarantee below"
Unconditional purchase obligations (terms of one year or more),"$34,150 million","As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Note 6, 'Unconditional Obligations'",Filing describes these as primarily long-term supply arrangements for cloud-infrastructure components and data-center power
"Unconditional purchase obligations (terms of one year or more), prior","$13,309 million","As of May 31, 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 9, 'Unconditional Obligations'","Filing describes these as primarily data-center power arrangements; 10-K separately discloses a further $19 billion of cloud-infrastructure purchase commitments (5-year term) entered into after May 31, 2026"
ATM common-stock program,$19.9 billion net proceeds; ~141 million shares issued; program fully utilized,"Three months ended Aug 31, 2026 (Q1 FY2027)","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Item 2 MD&A and Stockholders' Equity note","$20 billion program established Feb 2, 2026, amended June 23, 2026"
"Senior notes issued, prior fiscal year",$43.0 billion,Fiscal year 2026,"10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Item 2 MD&A, interest-expense discussion","Cited in the Q1 FY2027 10-Q as the driver of higher interest expense; the issuance itself occurred in fiscal 2026, not in Q1 FY2027"
Senior notes and other long-term borrowings outstanding,$125.0 billion,"As of Aug 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - fair-value-of-financial-instruments note",Estimated fair value (Level 2 inputs) was $105.7 billion at this date
"Senior notes and other long-term borrowings outstanding, prior",$128.1 billion,"As of May 31, 2026","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - same note (comparative column)",Estimated fair value (Level 2 inputs) was $114.4 billion at this date
"Repayments of senior notes, term loans and other borrowings","$4,202 million","Three months ended Aug 31, 2026 (Q1 FY2027)","10-Q filed 2026-09-11, acc. 0001193125-26-389274 - Condensed Consolidated Statements of Cash Flows",No new debt issuance is disclosed for the quarter; commercial paper repayments were $0 in Q1 FY2027 vs $238 million in Q1 FY2026
Guarantee of lessor's borrowing,$3.3 billion,"As of May 31, 2026; guarantee matures September 2026","10-K filed 2026-06-22, acc. 0001193125-26-277521 - Note 9, Leases and Other Commitments","Tied to one of the additional data-center lease commitments above; this guarantee is NOT mentioned anywhere in the Q1 FY2027 10-Q, even though it matures the month after the 10-Q's balance-sheet date"
