as_of,mnemonic,value
2013-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,395000000000.0
2013-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,433000000000.0
2013-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,407000000000.0
2013-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,391000000000.0
2014-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,448000000000.0
2014-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,479000000000.0
2014-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,494000000000.0
2014-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,522000000000.0
2015-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,558000000000.0
2015-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,570000000000.0
2015-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,627000000000.0
2015-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,536000000000.0
2016-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,592000000000.0
2016-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,600000000000.0
2016-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,609000000000.0
2016-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,593000000000.0
2017-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,657000000000.0
2017-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,708000000000.0
2017-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,664000000000.0
2017-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,627000000000.0
2018-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,715000000000.0
2018-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,825000000000.0
2018-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,850000000000.0
2018-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,1045000000000.0
2019-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,1223000000000.0
2019-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,1218000000000.0
2019-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,1226000000000.0
2019-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,1229000000000.0
2020-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,1249000000000.0
2020-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,1111000000000.0
2020-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,1282000000000.0
2020-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,1176000000000.0
2021-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,1044000000000.0
2021-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,1110000000000.0
2021-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,1208000000000.0
2021-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,1143000000000.0
2022-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,1121000000000.0
2022-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,1122000000000.0
2022-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,1102000000000.0
2022-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,1138000000000.0
2023-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,1344000000000.0
2023-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,1508000000000.0
2023-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,1634000000000.0
2023-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,1804000000000.0
2024-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,1837000000000.0
2024-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,2014000000000.0
2024-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,2494000000000.0
2024-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,2356000000000.0
2025-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,2688000000000.0
2025-06-30,FPF-ASSETCLASS_REPO_REPO_SUM,2920000000000.0
2025-09-30,FPF-ASSETCLASS_REPO_REPO_SUM,3012000000000.0
2025-12-31,FPF-ASSETCLASS_REPO_REPO_SUM,3225000000000.0
2026-03-31,FPF-ASSETCLASS_REPO_REPO_SUM,3159000000000.0
2013-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,339000000000.0
2013-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,449000000000.0
2013-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,460000000000.0
2013-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,386000000000.0
2014-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,468000000000.0
2014-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,477000000000.0
2014-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,516000000000.0
2014-12-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,458000000000.0
2015-03-31,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,488000000000.0
2015-06-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,468000000000.0
2015-09-30,FPF-ASSETCLASS_REPO_REVERSEREPO_SUM,475000000000.0
