as_of,total_deposits_bn,large_time_deposits_bn
2020-01,13286.5,1824.3
2020-02,13357.6,1806.3
2020-03,13836.7,1763.1
2020-04,14688.0,1754.7
2020-05,15295.6,1736.0
2020-06,15498.7,1703.1
2020-07,15529.1,1677.1
2020-08,15541.2,1632.9
2020-09,15687.9,1581.2
2020-10,15787.4,1544.8
2020-11,15923.1,1518.3
2020-12,16030.3,1497.1
2021-01,16191.6,1473.7
2021-02,16391.0,1457.7
2021-03,16654.1,1455.1
2021-04,16891.0,1434.0
2021-05,17085.8,1427.2
2021-06,17109.0,1429.8
2021-07,17217.6,1410.7
2021-08,17394.4,1410.9
2021-09,17524.0,1407.7
2021-10,17658.3,1415.9
2021-11,17816.8,1437.1
2021-12,17909.6,1407.5
2022-01,17991.5,1402.7
2022-02,18052.8,1406.7
2022-03,18087.2,1409.7
2022-04,18127.3,1450.1
2022-05,18098.6,1453.0
2022-06,18027.3,1469.4
2022-07,18022.8,1496.8
2022-08,18025.5,1543.2
2022-09,17922.4,1563.9
2022-10,17785.4,1539.5
2022-11,17742.6,1594.3
2022-12,17766.7,1663.4
2023-01,17726.7,1719.0
2023-02,17681.4,1781.0
2023-03,17392.2,1831.5
2023-04,17231.5,1864.9
2023-05,17261.3,1901.8
2023-06,17286.7,1961.5
2023-07,17311.3,2026.1
2023-08,17310.8,2081.5
2023-09,17324.2,2135.7
2023-10,17336.9,2193.8
2023-11,17350.4,2224.2
2023-12,17404.9,2243.6
2024-01,17453.7,2281.5
2024-02,17487.4,2299.1
2024-03,17552.1,2308.0
2024-04,17524.6,2304.4
2024-05,17565.4,2325.2
2024-06,17584.3,2323.9
2024-07,17592.0,2315.8
2024-08,17646.7,2340.4
2024-09,17731.1,2364.4
2024-10,17805.7,2374.4
2024-11,17851.4,2367.3
2024-12,17851.1,2360.5
2025-01,17933.3,2346.7
2025-02,17959.9,2347.5
2025-03,18027.9,2356.4
2025-04,18081.2,2339.3
2025-05,18139.2,2366.6
2025-06,18212.6,2388.2
2025-07,18273.9,2398.6
2025-08,18337.6,2400.2
2025-09,18411.6,2401.6
2025-10,18472.8,2410.2
2025-11,18505.7,2422.6
2025-12,18587.5,2447.9
2026-01,18667.0,2451.0
2026-02,18817.6,2462.0
2026-03,18951.8,2477.1
2026-04,19083.1,2513.3
2026-05,19270.9,2534.6
2026-06,19357.5,2514.2
2026-07,19409.3,2540.3
