as_of,m2_bn,currency_bn,retail_mmf_bn
2020-01-01,15425.0,1719.9,1293.1
2020-02-01,15492.8,1724.4,1309.0
2020-03-01,16034.4,1746.2,1366.0
2020-04-01,17064.0,1780.8,1458.2
2020-05-01,17931.9,1819.1,1511.4
2020-06-01,18180.0,1852.4,1514.2
2020-07-01,18331.4,1883.2,1499.8
2020-08-01,18413.3,1910.3,1488.3
2020-09-01,18605.0,1929.5,1475.1
2020-10-01,18759.9,1945.8,1460.8
2020-11-01,19002.4,1959.9,1463.9
2020-12-01,19119.4,1972.3,1434.9
2021-01-01,19375.3,1994.5,1410.7
2021-02-01,19641.4,2007.2,1406.9
2021-03-01,19874.5,2018.7,1385.8
2021-04-01,20174.2,2049.0,1380.2
2021-05-01,20457.5,2062.2,1374.3
2021-06-01,20472.7,2074.6,1364.0
2021-07-01,20630.0,2084.5,1355.9
2021-08-01,20844.1,2092.2,1355.9
2021-09-01,20985.5,2100.1,1354.3
2021-10-01,21164.2,2108.3,1345.4
2021-11-01,21341.0,2118.2,1340.1
2021-12-01,21502.8,2128.4,1342.3
2022-01-01,21647.4,2140.2,1342.8
2022-02-01,21725.6,2150.2,1346.1
2022-03-01,21788.1,2164.2,1354.7
2022-04-01,21768.4,2169.4,1361.9
2022-05-01,21718.0,2173.6,1372.1
2022-06-01,21647.0,2177.8,1400.7
2022-07-01,21649.3,2181.7,1439.1
2022-08-01,21641.9,2185.9,1460.2
2022-09-01,21541.3,2191.0,1488.8
2022-10-01,21464.1,2197.1,1522.7
2022-11-01,21409.5,2202.5,1557.8
2022-12-01,21293.2,2207.7,1595.5
2023-01-01,21274.0,2212.4,1646.7
2023-02-01,21240.2,2218.7,1702.4
2023-03-01,20942.3,2222.0,1763.7
2023-04-01,20758.4,2228.0,1838.2
2023-05-01,20829.5,2238.6,1914.5
2023-06-01,20798.9,2245.8,1968.2
2023-07-01,20792.2,2244.2,2012.0
2023-08-01,20782.0,2243.3,2066.6
2023-09-01,20753.6,2240.6,2111.5
2023-10-01,20737.5,2240.2,2152.8
2023-11-01,20749.7,2243.6,2196.1
2023-12-01,20779.9,2246.7,2228.7
2024-01-01,20835.5,2251.2,2242.7
2024-02-01,20921.7,2253.3,2282.1
2024-03-01,20965.9,2254.9,2306.9
2024-04-01,20955.5,2256.7,2354.6
2024-05-01,21021.7,2257.6,2400.4
2024-06-01,21070.7,2258.2,2438.1
2024-07-01,21098.8,2259.2,2471.2
2024-08-01,21191.9,2263.6,2504.3
2024-09-01,21275.5,2268.5,2540.0
2024-10-01,21336.7,2271.8,2571.1
2024-11-01,21454.8,2273.7,2602.9
2024-12-01,21487.6,2274.9,2629.7
2025-01-01,21539.3,2275.6,2633.1
2025-02-01,21607.3,2277.4,2675.0
2025-03-01,21684.1,2282.8,2729.2
2025-04-01,21770.8,2288.4,2767.7
2025-05-01,21836.1,2294.1,2807.5
2025-06-01,21942.6,2301.2,2844.9
2025-07-01,22025.5,2310.5,2877.4
2025-08-01,22092.6,2318.3,2910.2
2025-09-01,22176.1,2324.7,2934.1
2025-10-01,22249.8,2331.7,2944.0
2025-11-01,22279.8,2336.9,2960.8
2025-12-01,22355.3,2342.3,2981.4
2026-01-01,22413.4,2351.5,2955.7
2026-02-01,22598.9,2356.5,2961.0
2026-03-01,22640.4,2359.1,2970.7
2026-04-01,22756.7,2364.1,2993.8
2026-05-01,23013.9,2368.2,3027.0
2026-06-01,23115.2,2376.7,3047.2
2026-07-01,23218.0,2383.2,3052.8
