as_of,hh_checkable_currency_bn,hh_time_savings_bn,fhlb_advances_bn
2021Q4,4142.306,11058.37,173.712
2022Q1,4383.291,11140.378,199.004
2022Q2,4711.017,10698.024,321.827
2022Q3,4859.723,10344.961,442.271
2022Q4,4577.37,10285.973,582.438
2023Q1,4623.365,9893.904,810.296
2023Q2,4570.937,9790.193,629.768
2023Q3,4346.188,9851.647,573.338
2023Q4,4428.016,9845.964,555.309
2024Q1,4768.193,9753.721,514.964
2024Q2,4533.972,9685.148,527.522
2024Q3,4485.308,9733.038,491.286
2024Q4,4621.225,9787.899,474.18
2025Q1,4845.688,9805.169,439.014
2025Q2,4868.882,9787.984,472.525
2025Q3,4831.768,9888.744,425.311
2025Q4,5679.898,9102.254,414.628
2026Q1,5948.854,9156.731,454.963
