money_variable,sample_period,n_quarters,quarter_range,pearson_r,r_squared,slope_hh_equity_bn_per_bn_of_x,intercept_bn,approx_p_value_normal_approx,units,interpretation,notes
deposits_qchange_usd_bn,full_sample_2015Q2-2026Q2,45,2015:Q2..2026:Q2,0.2633,0.0693,0.1639,108.19,0.0735,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),16.4 cents of household equity net-buying per $1 of deposits quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
bank_credit_qchange_usd_bn,full_sample_2015Q2-2026Q2,45,2015:Q2..2026:Q2,0.2389,0.0571,0.2757,85.63,0.1067,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),27.6 cents of household equity net-buying per $1 of bank credit quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_ust_qchange_usd_bn,full_sample_2015Q2-2026Q2,45,2015:Q2..2026:Q2,0.1876,0.0352,0.1389,133.66,0.2105,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),13.9 cents of household equity net-buying per $1 of soma ust quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_mbs_qchange_usd_bn,full_sample_2015Q2-2026Q2,45,2015:Q2..2026:Q2,0.1975,0.039,0.3401,138.19,0.1865,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),34.0 cents of household equity net-buying per $1 of soma mbs quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_total_qchange_usd_bn,full_sample_2015Q2-2026Q2,45,2015:Q2..2026:Q2,0.1982,0.0393,0.1068,134.57,0.1849,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),10.7 cents of household equity net-buying per $1 of soma total quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
deposits_qchange_usd_bn,pre_2020_2015Q2-2019Q4,19,2015:Q2..2019:Q4,0.1864,0.0348,0.3903,-43.93,0.434,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),39.0 cents of household equity net-buying per $1 of deposits quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
bank_credit_qchange_usd_bn,pre_2020_2015Q2-2019Q4,19,2015:Q2..2019:Q4,-0.1205,0.0145,-0.1978,39.6,0.6169,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-19.8 cents of household equity net-buying per $1 of bank credit quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_ust_qchange_usd_bn,pre_2020_2015Q2-2019Q4,19,2015:Q2..2019:Q4,0.3245,0.1053,0.5769,11.84,0.1573,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),57.7 cents of household equity net-buying per $1 of soma ust quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_mbs_qchange_usd_bn,pre_2020_2015Q2-2019Q4,19,2015:Q2..2019:Q4,-0.0641,0.0041,-0.2631,3.55,0.7912,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),-26.3 cents of household equity net-buying per $1 of soma mbs quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
soma_total_qchange_usd_bn,pre_2020_2015Q2-2019Q4,19,2015:Q2..2019:Q4,0.2656,0.0705,0.4228,17.72,0.256,$bn quarterly flow (X) vs $bn quarterly flow (Y=household equity net purchases),42.3 cents of household equity net-buying per $1 of soma total quarterly change,"association only -- see brief's direction-problem caveat; not a causal estimate. p-value is a NORMAL-approximation gut-check (no scipy on this machine), not an exact Student-t test -- indicative only."
