window,object,object_value_bn,M,predicted_bn,ratio_to_B1,ratio_to_B2,ratio_to_B3,ratio_to_B4
2015Q1-2019Q4,A_total_net_issuance,-396.339,2,-792.678,-0.048949,-0.04778,-0.165184,0.325203
2015Q1-2019Q4,A_total_net_issuance,-396.339,5,-1981.695,-0.122373,-0.119449,-0.41296,0.813008
2015Q1-2019Q4,A_total_net_issuance,-396.339,9,-3567.051,-0.220271,-0.215009,-0.743327,1.463414
2015Q1-2019Q4,B_nonfinancial_corporate_net_issuance,-2243.959,2,-4487.918,-0.277136,-0.270515,-0.935224,1.841208
2015Q1-2019Q4,B_nonfinancial_corporate_net_issuance,-2243.959,5,-11219.795,-0.69284,-0.676288,-2.338061,4.60302
2015Q1-2019Q4,B_nonfinancial_corporate_net_issuance,-2243.959,9,-20195.631,-1.247112,-1.217319,-4.208509,8.285437
2015Q1-2019Q4,C_etf_minus_mutualfund_holder_flow,1604.049,2,3208.098,0.198105,0.193372,0.668526,-1.316151
2015Q1-2019Q4,C_etf_minus_mutualfund_holder_flow,1604.049,5,8020.245,0.495263,0.483431,1.671316,-3.290377
2015Q1-2019Q4,C_etf_minus_mutualfund_holder_flow,1604.049,9,14436.441,0.891473,0.870176,3.008368,-5.922678
2024Q1-2026Q2,A_total_net_issuance,3243.113,2,6486.226,0.138242,0.148507,1.952266,0.146896
2024Q1-2026Q2,A_total_net_issuance,3243.113,5,16215.565,0.345604,0.371267,4.880666,0.36724
2024Q1-2026Q2,A_total_net_issuance,3243.113,9,29188.017,0.622088,0.66828,8.785199,0.661032
2024Q1-2026Q2,B_nonfinancial_corporate_net_issuance,-540.713,2,-1081.426,-0.023049,-0.02476,-0.325495,-0.024491
2024Q1-2026Q2,B_nonfinancial_corporate_net_issuance,-540.713,5,-2703.565,-0.057621,-0.0619,-0.813737,-0.061229
2024Q1-2026Q2,B_nonfinancial_corporate_net_issuance,-540.713,9,-4866.417,-0.103719,-0.11142,-1.464726,-0.110212
2024Q1-2026Q2,C_etf_minus_mutualfund_holder_flow,4469.832,2,8939.664,0.190532,0.20468,2.690718,0.20246
2024Q1-2026Q2,C_etf_minus_mutualfund_holder_flow,4469.832,5,22349.16,0.476331,0.5117,6.726795,0.50615
2024Q1-2026Q2,C_etf_minus_mutualfund_holder_flow,4469.832,9,40228.488,0.857395,0.921059,12.108232,0.911069
