date,spy_ret,gspc_ret,payment_yield,cash_usd,n_payers,py_quintile,vix_lag,dow,month
2015-01-02,,,,0.0,0,,,4,1
2015-01-05,-0.0180596387,-0.0182781051,0.0,0.0,0,,17.7900009155,0,1
2015-01-06,-0.0094189663,-0.0088934717,0.0,0.0,0,,19.9200000763,1,1
2015-01-07,0.0124611658,0.0116298427,0.0,0.0,0,,21.1200008392,2,1
2015-01-08,0.0177450268,0.0178882806,0.0,0.0,0,,19.3099994659,3,1
2015-01-09,-0.0080135694,-0.008403811,0.0,0.0,0,,17.0100002289,4,1
2015-01-12,-0.0078335672,-0.0080936852,0.0,0.0,0,,17.5499992371,0,1
2015-01-13,-0.0028126922,-0.0025785552,0.0,0.0,0,,19.6000003815,1,1
2015-01-14,-0.006037219,-0.0058130673,0.0,0.0,0,,20.5599994659,2,1
2015-01-15,-0.0091605911,-0.0092478759,0.0,0.0,0,,21.4799995422,3,1
2015-01-16,0.0131142627,0.0134241994,0.0,0.0,0,,22.3899993896,4,1
2015-01-20,0.0021325828,0.0015499524,5.83484e-05,1138779812.28,3,4.0,20.9500007629,1,1
2015-01-21,0.0050480267,0.004731624,4.00923e-05,784146792.36,2,3.0,19.8899993896,2,1
2015-01-22,0.0148710077,0.0152697219,1.673e-06,32886816.62,1,1.0,18.8500003815,3,1
2015-01-23,-0.0054827989,-0.0054915224,1.84137e-05,367346626.57,2,2.0,16.3999996185,4,1
2015-01-26,0.0023417853,0.0025684609,1.52107e-05,301783550.29,2,2.0,16.6599998474,0,1
2015-01-27,-0.0131905159,-0.0133878624,1.8985e-06,37754832.37,1,1.0,15.5200004578,1,1
2015-01-28,-0.0128243368,-0.0134956094,1.87976e-05,368890624.65,1,2.0,17.2199993134,2,1
2015-01-29,0.0092435601,0.0095346853,0.0,0.0,0,,20.4400005341,3,1
2015-01-30,-0.0125749219,-0.0129919653,0.0,0.0,0,,18.7600002289,4,1
2015-02-02,0.0123840625,0.0129624637,2.01084e-05,388210786.46,2,2.0,20.9699993134,0,2
2015-02-03,0.0144611638,0.0144394953,6.8858e-06,134582723.0,2,1.0,19.4300003052,1,2
2015-02-04,-0.0038078441,-0.0041560462,0.0,0.0,0,,17.3299999237,2,2
2015-02-05,0.0100950582,0.0102914067,0.0,0.0,0,,18.3299999237,3,2
2015-02-06,-0.002765341,-0.0034181723,0.0,0.0,0,,16.8500003815,4,2
2015-02-09,-0.0044757877,-0.0042471944,2.3372e-05,465016617.38,4,3.0,17.2900009155,0,2
2015-02-10,0.0106533383,0.010675561,0.0,0.0,0,,18.5499992371,1,2
2015-02-11,0.0005802191,-2.90336e-05,0.0,0.0,0,,17.2299995422,2,2
2015-02-12,0.0096168055,0.0096445064,8.47414e-05,1697363205.52,1,4.0,16.9599990845,3,2
2015-02-13,0.0041164112,0.0040747385,7.8626e-06,159001444.46,2,1.0,15.3400001526,4,2
2015-02-17,0.0015730853,0.0015975745,1.87111e-05,379943102.15,4,2.0,14.6899995804,1,2
2015-02-18,9.52086e-05,-0.0003143092,0.0,0.0,0,,15.8000001907,2,2
2015-02-19,-0.0007138874,-0.0010620573,0.0,0.0,0,,15.4499998093,3,2
2015-02-20,0.0060006181,0.0061265336,2.91964e-05,593420878.38,3,3.0,15.2899999619,4,2
2015-02-23,-0.0001420128,-0.0003033392,8.14946e-05,1666328616.04,10,4.0,14.3000001907,0,2
2015-02-24,0.0028407311,0.0027587709,0.0002315692,4734250379.92,7,5.0,14.5600004196,1,2
2015-02-25,-0.0008497837,-0.0007657236,0.0,0.0,0,,13.6899995804,2,2
2015-02-26,-0.001181307,-0.0014760282,9.613e-07,19693090.8,1,1.0,13.8400001526,3,2
2015-02-27,-0.0034061936,-0.0029563045,0.0001613785,3301911919.17,5,5.0,13.9099998474,4,2
2015-03-02,0.0063134995,0.0061249193,0.0002404367,4902737601.25,12,5.0,13.3400001526,0,3
2015-03-03,-0.004104016,-0.0045385422,4.00829e-05,822489396.16,8,3.0,13.0399999619,1,3
2015-03-04,-0.0042156092,-0.0043885035,0.0,0.0,0,,13.8599996567,2,3
2015-03-05,0.0010940921,0.00119608,8.0921e-06,164668413.68,2,1.0,14.2299995422,3,3
2015-03-06,-0.0140644617,-0.0141739466,2.07607e-05,422929048.48,1,2.0,14.0399999619,4,3
2015-03-09,0.0041445813,0.0039444212,9.48335e-05,1904739590.22,5,5.0,15.1999998093,0,3
2015-03-10,-0.016221947,-0.0169613301,0.0001386639,2796620069.33,10,5.0,15.0600004196,1,3
2015-03-11,-0.0023416711,-0.0019176796,3.9373e-06,78121297.52,1,1.0,16.6900005341,2,3
2015-03-12,0.0127139663,0.0126014396,0.0001151472,2279305722.3,1,5.0,16.8700008392,3,3
2015-03-13,-0.0061323237,-0.006074711,2.47127e-05,495400950.3,6,3.0,15.4200000763,4,3
2015-03-16,0.0133605401,0.0135336712,0.0001149756,2290710860.62,16,5.0,16.0,0,3
2015-03-17,-0.0029724571,-0.0033201737,3.4019e-06,68683323.11,1,1.0,15.6099996567,1,3
2015-03-18,0.0120215422,0.0121584214,2.16095e-05,434990390.88,3,3.0,15.6599998474,2,3
2015-03-19,-0.0045614686,-0.0048725794,2.527e-06,51478321.42,1,1.0,13.970000267,3,3
2015-03-20,0.0043436929,0.0090127547,1.89818e-05,384926896.15,5,2.0,14.0699996948,4,3
2015-03-23,-0.001948594,-0.001745731,4.3228e-05,880415360.44,7,3.0,13.0200004578,0,3
2015-03-24,-0.0056190127,-0.006139422,8.90972e-05,1811086617.71,10,5.0,13.4099998474,1,3
2015-03-25,-0.0146538297,-0.0145589057,4.81197e-05,972637608.24,4,4.0,13.6199998856,2,3
2015-03-26,-0.0023813678,-0.0023775,1.0395e-06,20703407.46,1,1.0,15.4399995804,3,3
2015-03-27,0.0022896732,0.0023685613,4.27219e-05,848851559.6,10,3.0,15.8000001907,4,3
2015-03-30,0.0121998369,0.0122366452,0.0002105696,4193438017.19,12,5.0,15.0699996948,0,3
2015-03-31,-0.008739531,-0.0087957751,6.86704e-05,1384235965.32,8,4.0,14.5100002289,1,3
2015-04-01,-0.0035362871,-0.0039653713,1.98619e-05,396871665.85,4,2.0,15.2899999619,2,4
2015-04-02,0.0035974988,0.003529667,2.13099e-05,424297965.63,3,3.0,15.1099996567,3,4
2015-04-06,0.0067331882,0.0066088151,0.0001071255,2140634407.15,3,5.0,14.6700000763,0,4
2015-04-07,-0.0026464083,-0.0020619041,3.97279e-05,799207395.64,2,3.0,14.7399997711,1,4
2015-04-08,0.0033770598,0.0026825331,0.0,0.0,0,,14.779999733,2,4
2015-04-09,0.0044234935,0.004457481,0.0,0.0,0,,13.9799995422,3,4
2015-04-10,0.0054571538,0.005202865,9.897e-07,20012042.96,1,1.0,13.0900001526,4,4
2015-04-13,-0.0045229336,-0.0045812806,2.86455e-05,582389806.99,2,3.0,12.5799999237,0,4
2015-04-14,0.0019130956,0.0016297589,0.0001600925,3240112493.99,18,5.0,13.9399995804,1,4
2015-04-15,0.0044870264,0.0051481957,1.44066e-05,292133205.28,4,2.0,13.6700000763,2,4
2015-04-16,-0.0002851189,-0.0007784436,6.5012e-06,132421072.15,1,1.0,12.8400001526,3,4
2015-04-17,-0.0115035329,-0.0113112455,2.98178e-05,607177689.86,6,3.0,12.6000003815,4,4
