date,spy_ret,payment_yield,cash_usd,n_payers,py_quintile,vix_lag,dow,month
2015-01-20,0.0021325828,5.83484e-05,1138779812.28,3,4,20.9500007629,1,1
2015-01-21,0.0050480267,4.00923e-05,784146792.36,2,3,19.8899993896,2,1
2015-01-22,0.0148710077,1.673e-06,32886816.62,1,1,18.8500003815,3,1
2015-01-23,-0.0054827989,1.84137e-05,367346626.57,2,2,16.3999996185,4,1
2015-01-26,0.0023417853,1.52107e-05,301783550.29,2,2,16.6599998474,0,1
2015-01-27,-0.0131905159,1.8985e-06,37754832.37,1,1,15.5200004578,1,1
2015-01-28,-0.0128243368,1.87976e-05,368890624.65,1,2,17.2199993134,2,1
2015-02-02,0.0123840625,2.01084e-05,388210786.46,2,2,20.9699993134,0,2
2015-02-03,0.0144611638,6.8858e-06,134582723.0,2,1,19.4300003052,1,2
2015-02-09,-0.0044757877,2.3372e-05,465016617.38,4,3,17.2900009155,0,2
2015-02-12,0.0096168055,8.47414e-05,1697363205.52,1,4,16.9599990845,3,2
2015-02-13,0.0041164112,7.8626e-06,159001444.46,2,1,15.3400001526,4,2
2015-02-17,0.0015730853,1.87111e-05,379943102.15,4,2,14.6899995804,1,2
2015-02-20,0.0060006181,2.91964e-05,593420878.38,3,3,15.2899999619,4,2
2015-02-23,-0.0001420128,8.14946e-05,1666328616.04,10,4,14.3000001907,0,2
2015-02-24,0.0028407311,0.0002315692,4734250379.92,7,5,14.5600004196,1,2
2015-02-26,-0.001181307,9.613e-07,19693090.8,1,1,13.8400001526,3,2
2015-02-27,-0.0034061936,0.0001613785,3301911919.17,5,5,13.9099998474,4,2
2015-03-02,0.0063134995,0.0002404367,4902737601.25,12,5,13.3400001526,0,3
2015-03-03,-0.004104016,4.00829e-05,822489396.16,8,3,13.0399999619,1,3
2015-03-05,0.0010940921,8.0921e-06,164668413.68,2,1,14.2299995422,3,3
2015-03-06,-0.0140644617,2.07607e-05,422929048.48,1,2,14.0399999619,4,3
2015-03-09,0.0041445813,9.48335e-05,1904739590.22,5,5,15.1999998093,0,3
2015-03-10,-0.016221947,0.0001386639,2796620069.33,10,5,15.0600004196,1,3
2015-03-11,-0.0023416711,3.9373e-06,78121297.52,1,1,16.6900005341,2,3
2015-03-12,0.0127139663,0.0001151472,2279305722.3,1,5,16.8700008392,3,3
2015-03-13,-0.0061323237,2.47127e-05,495400950.3,6,3,15.4200000763,4,3
2015-03-16,0.0133605401,0.0001149756,2290710860.62,16,5,16.0,0,3
2015-03-17,-0.0029724571,3.4019e-06,68683323.11,1,1,15.6099996567,1,3
2015-03-18,0.0120215422,2.16095e-05,434990390.88,3,3,15.6599998474,2,3
2015-03-19,-0.0045614686,2.527e-06,51478321.42,1,1,13.970000267,3,3
2015-03-20,0.0043436929,1.89818e-05,384926896.15,5,2,14.0699996948,4,3
2015-03-23,-0.001948594,4.3228e-05,880415360.44,7,3,13.0200004578,0,3
2015-03-24,-0.0056190127,8.90972e-05,1811086617.71,10,5,13.4099998474,1,3
2015-03-25,-0.0146538297,4.81197e-05,972637608.24,4,4,13.6199998856,2,3
2015-03-26,-0.0023813678,1.0395e-06,20703407.46,1,1,15.4399995804,3,3
2015-03-27,0.0022896732,4.27219e-05,848851559.6,10,3,15.8000001907,4,3
2015-03-30,0.0121998369,0.0002105696,4193438017.19,12,5,15.0699996948,0,3
2015-03-31,-0.008739531,6.86704e-05,1384235965.32,8,4,14.5100002289,1,3
2015-04-01,-0.0035362871,1.98619e-05,396871665.85,4,2,15.2899999619,2,4
2015-04-02,0.0035974988,2.13099e-05,424297965.63,3,3,15.1099996567,3,4
2015-04-06,0.0067331882,0.0001071255,2140634407.15,3,5,14.6700000763,0,4
2015-04-07,-0.0026464083,3.97279e-05,799207395.64,2,3,14.7399997711,1,4
2015-04-10,0.0054571538,9.897e-07,20012042.96,1,1,13.0900001526,4,4
2015-04-13,-0.0045229336,2.86455e-05,582389806.99,2,3,12.5799999237,0,4
2015-04-14,0.0019130956,0.0001600925,3240112493.99,18,5,13.9399995804,1,4
2015-04-15,0.0044870264,1.44066e-05,292133205.28,4,2,13.6700000763,2,4
2015-04-16,-0.0002851189,6.5012e-06,132421072.15,1,1,12.8400001526,3,4
2015-04-17,-0.0115035329,2.98178e-05,607177689.86,6,3,12.6000003815,4,4
2015-04-20,0.0091368559,3.9317e-05,791399170.75,4,3,13.8900003433,0,4
2015-04-21,-0.0011913271,1.5247e-06,30971560.31,1,1,13.3000001907,1,4
2015-04-22,0.0049141162,6.12338e-05,1242334918.51,2,4,13.25,2,4
2015-04-23,0.0025162549,2.25656e-05,460069667.63,2,3,12.7100000381,3,4
2015-04-24,0.002320469,5.6073e-06,114609454.59,3,1,12.4799995422,4,4
2015-04-27,-0.0041577588,1.09832e-05,225010076.86,1,2,12.2899999619,0,4
2015-05-01,0.0108413817,8.51725e-05,1718612233.77,6,4,14.5500001907,4,5
2015-05-04,0.0028474094,1.90329e-05,388210786.46,2,2,12.6999998093,0,5
2015-05-05,-0.0114518898,1.1521e-06,23565941.65,1,1,12.8500003815,1,5
2015-05-08,0.0131660845,1.14868e-05,232236435.75,4,2,15.1300001144,4,5
2015-05-11,-0.0047726799,0.0001074133,2200242361.6,2,5,12.8599996567,0,5
2015-05-14,0.0104275897,9.2377e-05,1877933759.3,1,5,13.7600002289,3,5
2015-05-15,0.0010838119,2.11204e-05,433834357.26,5,2,12.7399997711,4,5
2015-05-18,0.0031067768,6.65734e-05,1368966349.2,8,4,12.3800001144,0,5
2015-05-19,-0.0003285186,5.4815e-06,113067691.87,2,1,12.7299995422,1,5
2015-05-21,0.0029124159,9.122e-06,187966302.2,2,2,12.8800001144,3,5
2015-05-22,-0.0023887331,1.39513e-05,288314917.25,3,2,12.1099996567,4,5
2015-05-26,-0.0107517183,3.23804e-05,667571349.73,2,3,12.1300001144,1,5
2015-05-29,-0.0062129685,0.000157656,3242228651.0,4,5,13.3100004196,4,5
2015-06-01,0.002036601,0.0002319786,4741047152.25,10,5,13.8400001526,0,6
