fiscal_label,as_of_date,foreign_equities_pct,foreign_equities_dev_pp,foreign_equities_band_pp,foreign_equities_gap_to_band_pp,domestic_bonds_pct,domestic_bonds_gap_to_band_pp,foreign_bonds_pct,foreign_bonds_gap_to_band_pp,domestic_equities_pct,domestic_equities_gap_to_band_pp,agg_equities_pct,agg_equities_gap_to_band_pp,agg_bonds_pct,agg_bonds_gap_to_band_pp,policy_regime
FY2020 1Q,2020-06-30,27.49,2.49,7.0,4.51,26.33,5.67,21.81,2.81,24.37,7.37,51.86,9.14,48.14,9.14,4th medium-term period
FY2020 2Q,2020-09-30,25.88,0.88,7.0,6.12,26.61,5.39,23.46,4.46,24.06,7.06,49.94,10.94,50.07,10.93,4th medium-term period
FY2020 3Q,2020-12-31,25.36,0.36,7.0,6.64,23.64,5.64,25.71,5.29,25.28,7.72,50.64,10.36,49.35,10.35,4th medium-term period
FY2020 4Q,2021-03-31,24.89,-0.11,7.0,6.89,25.92,6.08,24.61,5.61,24.58,7.58,49.47,10.47,50.53,10.47,4th medium-term period
FY2021 1Q,2021-06-30,25.41,0.41,7.0,6.59,25.39,6.61,24.72,5.72,24.49,7.49,49.9,10.9,50.11,10.89,4th medium-term period
FY2021 2Q,2021-09-30,24.01,-0.99,7.0,6.01,26.79,5.21,24.17,5.17,25.03,7.97,49.04,10.04,50.96,10.04,4th medium-term period
FY2021 3Q,2021-12-31,25.68,0.68,7.0,6.32,24.95,6.95,24.46,5.46,24.92,7.92,50.6,10.4,49.41,10.41,4th medium-term period
FY2021 4Q,2022-03-31,25.11,0.11,7.0,6.89,26.33,5.67,24.07,5.07,24.49,7.49,49.6,10.6,50.4,10.6,4th medium-term period
FY2022 1Q,2022-06-30,24.12,-0.88,7.0,6.12,25.65,6.35,25.7,5.3,24.53,7.53,48.65,9.65,51.35,9.65,4th medium-term period
FY2022 2Q,2022-09-30,23.86,-1.14,7.0,5.86,27.26,4.74,25.04,5.96,23.84,6.84,47.7,8.7,52.3,8.7,4th medium-term period
FY2022 3Q,2022-12-31,24.27,-0.73,7.0,6.27,26.07,5.93,24.59,5.59,25.07,7.93,49.34,10.34,50.66,10.34,4th medium-term period
FY2022 4Q,2023-03-31,24.32,-0.68,7.0,6.32,26.79,5.21,24.39,5.39,24.49,7.49,48.81,9.81,51.18,9.82,4th medium-term period
FY2023 1Q,2023-06-30,26.1,1.1,7.0,5.9,24.47,6.47,24.29,5.29,25.14,7.86,51.24,9.76,48.76,9.76,4th medium-term period
FY2023 2Q,2023-09-30,24.72,-0.28,7.0,6.72,26.56,5.44,24.19,5.19,24.52,7.52,49.24,10.24,50.75,10.25,4th medium-term period
FY2023 3Q,2023-12-31,25.14,0.14,7.0,6.86,25.77,6.23,24.44,5.44,24.66,7.66,49.8,10.8,50.21,10.79,4th medium-term period
FY2023 4Q,2024-03-31,24.86,-0.14,7.0,6.86,26.95,5.05,23.86,4.86,24.33,7.33,49.19,10.19,50.81,10.19,4th medium-term period
FY2024 1Q,2024-06-30,25.34,0.34,7.0,6.66,25.85,6.15,24.45,5.45,24.37,7.37,49.71,10.71,50.3,10.7,4th medium-term period
FY2024 2Q,2024-09-30,24.98,-0.02,7.0,6.98,26.74,5.26,24.3,5.3,23.98,6.98,48.96,9.96,51.04,9.96,4th medium-term period
FY2024 3Q,2024-12-31,24.93,-0.07,7.0,6.93,25.51,6.49,24.58,5.58,24.99,7.99,49.92,10.92,50.09,10.91,4th medium-term period
FY2024 4Q,2025-03-31,24.05,-0.95,7.0,6.05,27.64,4.36,24.37,5.37,23.94,6.94,47.99,8.99,52.01,8.99,4th medium-term period
FY2025 1Q,2025-06-30,25.22,0.22,6.0,5.78,26.13,4.87,24.37,4.37,24.28,5.28,49.5,8.5,50.5,8.5,5th medium-term period
FY2025 2Q,2025-09-30,25.1,0.1,6.0,5.9,26.29,4.71,24.16,4.16,24.45,5.45,49.55,8.55,50.45,8.55,5th medium-term period
FY2025 3Q,2025-12-31,25.34,0.34,6.0,5.66,25.29,5.71,24.69,4.69,24.67,5.67,50.01,8.99,49.98,8.98,5th medium-term period
FY2025 4Q,2026-03-31,24.8,-0.2,6.0,5.8,26.91,4.09,24.48,4.48,23.81,4.81,48.61,7.61,51.39,7.61,5th medium-term period
FY2026 1Q,2026-06-30,25.33,0.33,6.0,5.67,25.59,5.41,24.6,4.6,24.48,5.48,49.81,8.81,50.19,8.81,5th medium-term period
