period_label,effective_start,effective_end,asset_class,target_pct,deviation_band_pp,notes,source_url
Pre-Oct-2014 mix (superseded),,2014-10-30,Domestic bonds,60.0,8.0,Predecessor mix; own start date not verified from primary sources fetched in this pass. Superseded 2014-10-31.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
Pre-Oct-2014 mix (superseded),,2014-10-30,Domestic stocks,12.0,6.0,See note above.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
Pre-Oct-2014 mix (superseded),,2014-10-30,International bonds,11.0,5.0,See note above.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
Pre-Oct-2014 mix (superseded),,2014-10-30,International stocks,12.0,5.0,See note above.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
Pre-Oct-2014 mix (superseded),,2014-10-30,Short-term assets,5.0,,No permissible deviation range stated for short-term assets in the source.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
"2014 mix / 3rd medium-term period (EXCLUDE from sample: confounded by simultaneous BOJ QQE2 expansion announced same day, 2014-10-31)",2014-10-31,2020-03-31,Domestic bonds,35.0,10.0,Adopted ahead of the formal 3rd medium-term plan start (Apr 2015) and held through it; superseded 2020-04-01 by the 4th medium-term objectives period.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
"2014 mix / 3rd medium-term period (EXCLUDE from sample: confounded by simultaneous BOJ QQE2 expansion announced same day, 2014-10-31)",2014-10-31,2020-03-31,Domestic stocks,25.0,9.0,See note above.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
"2014 mix / 3rd medium-term period (EXCLUDE from sample: confounded by simultaneous BOJ QQE2 expansion announced same day, 2014-10-31)",2014-10-31,2020-03-31,Foreign bonds,15.0,4.0,See note above.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
"2014 mix / 3rd medium-term period (EXCLUDE from sample: confounded by simultaneous BOJ QQE2 expansion announced same day, 2014-10-31)",2014-10-31,2020-03-31,Foreign stocks,25.0,8.0,See note above.,https://www.gpif.go.jp/en/performance/pdf/adoption_of_new_policy_asset_mix.pdf
4th medium-term objectives period (FY2020-FY2024),2020-04-01,2025-03-31,Domestic bonds,25.0,7.0,"Confirmed by: 2020 1Q report Note1 (explicit '25% (+/-7%)' etc. text), FY2020/FY2021 annual report charts, FY2024 3Q chart (all consistent through the period), and retrospectively tabulated as '[Fourth Period]' in the 2025-03-31 5th-period announcement.",https://www.gpif.go.jp/en/topics/Adoption_of_New_Policy_Portfolio_details_2_en.pdf
4th medium-term objectives period (FY2020-FY2024),2020-04-01,2025-03-31,Foreign bonds,25.0,6.0,See note above.,https://www.gpif.go.jp/en/topics/Adoption_of_New_Policy_Portfolio_details_2_en.pdf
4th medium-term objectives period (FY2020-FY2024),2020-04-01,2025-03-31,Domestic equities,25.0,8.0,See note above.,https://www.gpif.go.jp/en/topics/Adoption_of_New_Policy_Portfolio_details_2_en.pdf
4th medium-term objectives period (FY2020-FY2024),2020-04-01,2025-03-31,Foreign equities,25.0,7.0,CORRECTION TO BRIEFED FIGURE: brief's second-hand claim of a +/-6pp band on foreign equities is WRONG for this period; verified primary-source value for FY2020-FY2024 is +/-7pp. See note above.,https://www.gpif.go.jp/en/topics/Adoption_of_New_Policy_Portfolio_details_2_en.pdf
4th medium-term objectives period (FY2020-FY2024) - aggregate,2020-04-01,2025-03-31,Bonds (domestic+foreign combined),50.0,11.0,Combined deviation limit on the two bond classes together.,https://www.gpif.go.jp/en/topics/Adoption_of_New_Policy_Portfolio_details_2_en.pdf
4th medium-term objectives period (FY2020-FY2024) - aggregate,2020-04-01,2025-03-31,Equities (domestic+foreign combined),50.0,11.0,Combined deviation limit on the two equity classes together.,https://www.gpif.go.jp/en/topics/Adoption_of_New_Policy_Portfolio_details_2_en.pdf
5th medium-term objectives period (FY2025-FY2029),2025-04-01,,Domestic bonds,25.0,6.0,"Target allocation unchanged from 4th period; deviation bands narrowed 'based on the newly assumed risks'. Effective date is an explicit quote from the source: 'will be effective on April 1, 2025'. Confirmed by 2025 1Q and 2026 1Q report charts.",https://www.gpif.go.jp/en/15324685gpif/policy_asset_mix_for%20the%205th-term_summary.pdf
5th medium-term objectives period (FY2025-FY2029),2025-04-01,,Foreign bonds,25.0,5.0,See note above.,https://www.gpif.go.jp/en/15324685gpif/policy_asset_mix_for%20the%205th-term_summary.pdf
5th medium-term objectives period (FY2025-FY2029),2025-04-01,,Domestic equities,25.0,6.0,See note above.,https://www.gpif.go.jp/en/15324685gpif/policy_asset_mix_for%20the%205th-term_summary.pdf
5th medium-term objectives period (FY2025-FY2029),2025-04-01,,Foreign equities,25.0,6.0,"This +/-6pp figure matches the brief's second-hand claim, but only from 2025-04-01 onward -- NOT since April 2020 as the brief stated. See note above.",https://www.gpif.go.jp/en/15324685gpif/policy_asset_mix_for%20the%205th-term_summary.pdf
5th medium-term objectives period (FY2025-FY2029) - aggregate,2025-04-01,,Bonds (domestic+foreign combined),50.0,9.0,Combined deviation limit on the two bond classes together.,https://www.gpif.go.jp/en/15324685gpif/policy_asset_mix_for%20the%205th-term_summary.pdf
5th medium-term objectives period (FY2025-FY2029) - aggregate,2025-04-01,,Equities (domestic+foreign combined),50.0,9.0,Combined deviation limit on the two equity classes together.,https://www.gpif.go.jp/en/15324685gpif/policy_asset_mix_for%20the%205th-term_summary.pdf
