date,equity_share_pct,basis,frequency,fund_value_nok_bn,fund_value_usd_bn,source_url,notes
1998-12-31,40.7,fund_total_market_value,annual,172,23,https://www.nbim.no/en/investments/the-funds-value/,
1999-12-31,42.34,fund_total_market_value,annual,222,28,https://www.nbim.no/en/investments/the-funds-value/,
2000-12-31,39.64,fund_total_market_value,annual,386,44,https://www.nbim.no/en/investments/the-funds-value/,
2001-12-31,40.07,fund_total_market_value,annual,614,68,https://www.nbim.no/en/investments/the-funds-value/,
2002-12-31,37.93,fund_total_market_value,annual,609,88,https://www.nbim.no/en/investments/the-funds-value/,
2003-12-31,42.72,fund_total_market_value,annual,845,127,https://www.nbim.no/en/investments/the-funds-value/,
2004-12-31,40.94,fund_total_market_value,annual,1016,168,https://www.nbim.no/en/investments/the-funds-value/,
2005-12-31,41.6,fund_total_market_value,annual,1399,207,https://www.nbim.no/en/investments/the-funds-value/,
2006-12-31,40.7,fund_total_market_value,annual,1784,286,https://www.nbim.no/en/investments/the-funds-value/,
2007-12-31,47.45,fund_total_market_value,annual,2019,372,https://www.nbim.no/en/investments/the-funds-value/,
2008-12-31,49.63,fund_total_market_value,annual,2275,325,https://www.nbim.no/en/investments/the-funds-value/,
2009-12-31,62.27,fund_total_market_value,annual,2640,457,https://www.nbim.no/en/investments/the-funds-value/,
2010-12-31,61.46,fund_total_market_value,annual,3077,529,https://www.nbim.no/en/investments/the-funds-value/,
2011-12-31,58.73,fund_total_market_value,annual,3312,555,https://www.nbim.no/en/investments/the-funds-value/,
2012-12-31,61.22,fund_total_market_value,annual,3816,686,https://www.nbim.no/en/investments/the-funds-value/,
2013-12-31,61.67,fund_total_market_value,annual,5038,830,https://www.nbim.no/en/investments/the-funds-value/,
2014-12-31,61.27,fund_total_market_value,annual,6431,858,https://www.nbim.no/en/investments/the-funds-value/,
2015-12-31,61.16,fund_total_market_value,annual,7475,845,https://www.nbim.no/en/investments/the-funds-value/,
2016-12-31,62.48,fund_total_market_value,annual,7510,873,https://www.nbim.no/en/investments/the-funds-value/,
2017-12-31,66.6,fund_total_market_value,annual,8488,1038,https://www.nbim.no/en/investments/the-funds-value/,
2018-12-31,66.34,fund_total_market_value,annual,8256,953,https://www.nbim.no/en/investments/the-funds-value/,
2019-12-31,70.83,fund_total_market_value,annual,10088,1148,https://www.nbim.no/en/investments/the-funds-value/,
2020-12-31,72.8,fund_total_market_value,annual,10914,1275,https://www.nbim.no/en/investments/the-funds-value/,
