date,portfolio_value_nok_bn,portfolio_value_usd_bn,fund_value_net_nok_bn,frequency,source_url,notes
1998-12-31,172,23,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
1999-12-31,222,28,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2000-12-31,386,44,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2001-12-31,614,68,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2002-12-31,609,88,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2003-12-31,845,127,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2004-12-31,1016,168,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2005-12-31,1399,207,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2006-12-31,1784,286,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
2007-12-31,2019,372,,annual,https://www.nbim.no/en/investments/the-funds-value/,fund_value_net_nok_bn not independently verified against an audited annual-report table for years before 2017 in this research pass; portfolio_value figures are from NBIM's own live chart.
