period_end_date,period_type,inflow_nok_bn,withdrawal_nok_bn,net_nok_bn,frequency,source_url,notes
2017-12-31,calendar_year,0,-61,-61,annual,https://www.nbim.no/contentassets/f8c5e301ff804c09881b1beb5299dc30/gpfg-annual-report-2021.pdf,"Table 6, Annual Report 2021 (5-yr comparative)"
2018-12-31,calendar_year,43,-9,34,annual,https://www.nbim.no/contentassets/f8c5e301ff804c09881b1beb5299dc30/gpfg-annual-report-2021.pdf,"Table 6, Annual Report 2021 (5-yr comparative)"
2019-12-31,calendar_year,32,-14,18,annual,https://www.nbim.no/contentassets/f8c5e301ff804c09881b1beb5299dc30/gpfg-annual-report-2021.pdf,"Table 6, Annual Report 2021 (5-yr comparative)"
2020-12-31,calendar_year,4,-302,-298,annual,https://www.nbim.no/contentassets/f8c5e301ff804c09881b1beb5299dc30/gpfg-annual-report-2021.pdf,"Table 6, Annual Report 2021 (5-yr comparative); large withdrawal reflects COVID-era fiscal spending from the fund"
2021-12-31,calendar_year,80,-199,-119,annual,https://www.nbim.no/contentassets/f8c5e301ff804c09881b1beb5299dc30/gpfg-annual-report-2021.pdf,"Table 6, Annual Report 2021 (5-yr comparative); restated equity/portfolio figures for 2021 also appear, essentially unchanged, in Annual Report 2025 Table 1"
2022-12-31,calendar_year,1090,0,1090,annual,https://www.nbim.no/contentassets/6db259ec684645ebbf171cacbe7cc7de/annual-report-2025.pdf,"Table 1, Annual Report 2025 (5-yr comparative)"
2023-12-31,calendar_year,711,0,711,annual,https://www.nbim.no/contentassets/6db259ec684645ebbf171cacbe7cc7de/annual-report-2025.pdf,"Table 1, Annual Report 2025 (5-yr comparative)"
2024-12-31,calendar_year,409,0,409,annual,https://www.nbim.no/contentassets/6db259ec684645ebbf171cacbe7cc7de/annual-report-2025.pdf,"Table 1, Annual Report 2025 (5-yr comparative)"
2025-12-31,calendar_year,327,0,327,annual,https://www.nbim.no/contentassets/6db259ec684645ebbf171cacbe7cc7de/annual-report-2025.pdf,"Table 1, Annual Report 2025 (5-yr comparative)"
2026-06-30,half_year_to_date(H1),94,0,94,half-year,https://www.nbim.no/en/investments/the-funds-value/,"'Inflow of capital' / 'Withdrawal of capital' lines, Key figures table, live 'The fund's value' page (H1 2026 column)."
2022-03-31,single_quarter,,,141,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2022/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2022-09-30,single_quarter,,,306,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2022/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2023-03-31,single_quarter,,,217,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2023/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2023-09-30,single_quarter,,,139,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2023/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2024-03-31,single_quarter,,,96,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2024/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2024-09-30,single_quarter,,,99,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2024/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2025-03-31,single_quarter,,,76,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2025/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2025-09-30,single_quarter,,,81,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-3q-2025/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
2026-03-31,single_quarter,,,13,quarterly,https://www.nbim.no/en/news-and-insights/1q-3q/key-figures-1q-2026/,"Press release gives only a combined 'net inflows from the government' figure for the quarter (gross inflow and withdrawal not separately disclosed at this frequency); interpreted as the single-quarter change based on the release's own 'increased/decreased by X through the quarter' framing, not a cumulative year-to-date figure -- flagged as an interpretation, not a direct NBIM statement of 'single-quarter'."
