period_of_report,filing_date,total_value_usd,n_holdings,accession,source_url
2015-03-31,2016-05-13,204086565000,2286,0001374170-16-000038,https://www.sec.gov/Archives/edgar/data/1374170/000137417016000038/primary_doc.xml
2015-06-30,2016-08-12,200069996000,2275,0001374170-16-000043,https://www.sec.gov/Archives/edgar/data/1374170/000137417016000043/primary_doc.xml
2015-09-30,2016-11-14,190826256000,2283,0001374170-16-000049,https://www.sec.gov/Archives/edgar/data/1374170/000137417016000049/primary_doc.xml
2015-12-31,2016-04-18,201158874000,2230,0001374170-16-000036,https://www.sec.gov/Archives/edgar/data/1374170/000137417016000036/primary_doc.xml
2016-03-31,2017-05-10,203305125000,2188,0001374170-17-000021,https://www.sec.gov/Archives/edgar/data/1374170/000137417017000021/primary_doc.xml
2016-06-30,2017-08-09,210460890000,2174,0001374170-17-000026,https://www.sec.gov/Archives/edgar/data/1374170/000137417017000026/primary_doc.xml
2016-09-30,2017-11-13,209501769000,2146,0001374170-17-000036,https://www.sec.gov/Archives/edgar/data/1374170/000137417017000036/primary_doc.xml
2016-12-31,2017-03-02,228797409000,2151,0001374170-17-000010,https://www.sec.gov/Archives/edgar/data/1374170/000137417017000010/primary_doc.xml
2017-03-31,2018-05-11,243697178000,2139,0001374170-18-000019,https://www.sec.gov/Archives/edgar/data/1374170/000137417018000019/primary_doc.xml
2017-06-30,2018-07-24,251912503000,2126,0001374170-18-000021,https://www.sec.gov/Archives/edgar/data/1374170/000137417018000021/primary_doc.xml
2017-09-30,2018-11-13,263518553000,2125,0001374170-18-000026,https://www.sec.gov/Archives/edgar/data/1374170/000137417018000026/primary_doc.xml
2017-12-31,2018-03-05,279002369000,2115,0001374170-18-000013,https://www.sec.gov/Archives/edgar/data/1374170/000137417018000013/primary_doc.xml
2018-03-31,2019-05-15,276370983000,2144,0001374170-19-000012,https://www.sec.gov/Archives/edgar/data/1374170/000137417019000012/primary_doc.xml
2018-06-30,2019-08-12,291313532000,2134,0001374170-19-000014,https://www.sec.gov/Archives/edgar/data/1374170/000137417019000014/primary_doc.xml
2018-09-30,2019-12-02,307905376000,2142,0001374170-19-000024,https://www.sec.gov/Archives/edgar/data/1374170/000137417019000024/primary_doc.xml
2018-12-31,2019-03-04,268826108000,2124,0001374170-19-000009,https://www.sec.gov/Archives/edgar/data/1374170/000137417019000009/primary_doc.xml
2019-03-31,2020-05-11,309529917000,2126,0001374170-20-000031,https://www.sec.gov/Archives/edgar/data/1374170/000137417020000031/primary_doc.xml
