window,underlying,n_days,ann_vol,realized_ann_return,mu_be_zero_letf,mu_be_match_1x,cum_return
2026YTD,SOX,174,0.4898,0.8179,0.2399,0.3598,0.5109
2026YTD,SOXX,174,0.5029,0.9496,0.2529,0.3793,0.5856
2026YTD,SMH,174,0.4308,0.7138,0.1856,0.2784,0.4506
2026H1,SOX,122,0.478,2.9047,0.2284,0.3427,0.9338
2026H1,SOXX,122,0.4915,3.3725,0.2416,0.3624,1.0427
2026H1,SMH,122,0.4254,2.2033,0.181,0.2715,0.757
trailing_60d,SOX,61,0.5418,-0.5198,0.2935,0.4403,-0.1627
trailing_60d,SOXX,61,0.5569,-0.5103,0.3101,0.4651,-0.1587
trailing_60d,SMH,61,0.4672,-0.4129,0.2183,0.3274,-0.1209
trailing_20d,SOX,19,0.3963,-0.811,0.1571,0.2356,-0.118
trailing_20d,SOXX,19,0.3924,-0.788,0.1539,0.2309,-0.1104
trailing_20d,SMH,19,0.3554,-0.7074,0.1263,0.1895,-0.0885
1y,SOX,250,0.4521,0.8459,0.2044,0.3065,0.8369
1y,SOXX,250,0.4605,0.9396,0.2121,0.3182,0.9294
1y,SMH,250,0.3985,0.7709,0.1588,0.2382,0.7629
