Direxion Daily MU Bull 2X ETF
MUU
Shares Outstanding:119750020


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"9/15/2026 12:00:00 AM","MUU","","DREYFUS GOVT CASH MAN INS","1448853357.0800","1.0000","1448853357.0800","X9USDDGCM","43.0328191732"
"9/15/2026 12:00:00 AM","MUU","","DREYFUS TRSRY SECURITIES CASH MGMT","652069062.9500","1.0000","652069062.9500","X9USDDTP3","19.3672947902"
"9/15/2026 12:00:00 AM","MUU","","GOLDMAN FINL SQ TRSRY INST 506","377022646.3600","1.0000","377022646.3600","X9USDGSFC","11.1980603735"
"9/15/2026 12:00:00 AM","MUU","","GOLDMAN SACHS FIN GOV 465 INSTITUT","527340000.0000","1.0000","527340000.0000","X9USDGLDS","15.6626802512"
"9/15/2026 12:00:00 AM","MUU","MU","MICRON TECHNOLOGY INC","461531.0000","924.0300","426468489.9300","595112103","12.6666658986"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","300000.0000","924.0300","277209000.0000","MUHSL","8.2334659418"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","381027.0000","924.0300","352080378.8100","MUCTL","10.4572427580"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","626699.0000","924.0300","579088676.9700","MUMLL","17.1996829075"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","840037.0000","924.0300","776219389.1100","MUBPL","23.0547200978"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","840717.0000","924.0300","776847729.5100","MUJPL","23.0733826206"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","856552.0000","924.0300","791479744.5600","MUNML","23.5079723979"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","1485796.0000","924.0300","1372920077.8800","MUGSL","40.7775025415"
"9/15/2026 12:00:00 AM","MUU","","MU SWAP ASSET LEG","1494938.0000","924.0300","1381367560.1400","MUBCL","41.0284036937"
