Direxion Daily Semiconductor Bull 3X ETF
SOXL
Shares Outstanding:173250060


"TradeDate","AccountTicker","StockTicker","SecurityDescription","Shares","Price","MarketValue","Cusip","HoldingsPercent"
"9/15/2026 12:00:00 AM","SOXL","AMD","ADVANCED MICRO DEVICES","2219775.0000","493.4100","1095259182.7500","007903107","6.2646616806"
"9/15/2026 12:00:00 AM","SOXL","ADI","ANALOG DEVICES INC","1384111.0000","361.0200","499691753.2200","032654105","2.8581360721"
"9/15/2026 12:00:00 AM","SOXL","AMAT","APPLIED MATERIALS INC","1272860.0000","424.2100","539959940.6000","038222105","3.0884619843"
"9/15/2026 12:00:00 AM","SOXL","ARM","ARM HOLDINGS PLC-ADR","354931.0000","239.0100","84832058.3100","042068205","0.4852222683"
"9/15/2026 12:00:00 AM","SOXL","ASX","ASE TECHNOLOGY HOLDING -ADR","4296561.0000","37.0800","159316481.8800","00215W100","0.9112581523"
"9/15/2026 12:00:00 AM","SOXL","ASML","ASML HOLDING NV-NY REG SHS","184174.0000","1575.1500","290101676.1000","N07059210","1.6593230921"
"9/15/2026 12:00:00 AM","SOXL","ALAB","ASTERA LABS INC","996802.0000","257.0400","256217986.0800","04626A103","1.4655152174"
"9/15/2026 12:00:00 AM","SOXL","AVGO","BROADCOM INC","2564379.0000","344.7200","883992728.8800","11135F101","5.0562601636"
"9/15/2026 12:00:00 AM","SOXL","CRDO","CREDO TECHNOLOGY GROUP HOLDI","1179023.0000","150.0900","176959562.0700","G25457105","1.0121730134"
"9/15/2026 12:00:00 AM","SOXL","","DREYFUS GOVT CASH MAN INS","2357546730.0600","1.0000","2357546730.0600","X9USDDGCM","13.4846919273"
"9/15/2026 12:00:00 AM","SOXL","","DREYFUS TRSRY SECURITIES CASH MGMT","2207300000.2000","1.0000","2207300000.2000","X9USDDTP3","12.6253109278"
"9/15/2026 12:00:00 AM","SOXL","ENTG","ENTEGRIS INC","1079721.0000","128.5200","138765742.9200","29362U104","0.7937120692"
"9/15/2026 12:00:00 AM","SOXL","","GOLDMAN FINL SQ TRSRY INST 506","2436593541.7000","1.0000","2436593541.7000","X9USDGSFC","13.9368237511"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","100000.0000","2537.3300","253733000.0000","ICESEMSGL","1.4513015980"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","665000.0000","2537.3300","1687324450.0000","ICESEMNML","9.6511556270"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","1025015.0000","2537.3300","2600801309.9500","ICESEMBPL","14.8760590752"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","1152148.0000","2537.3300","2923379684.8400","ICESEMUBL","16.7211423358"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","1183569.0000","2537.3300","3003105130.7700","ICESEMCTL","17.1771558109"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","2612455.0000","2537.3300","6628660445.1500","ICESEMJPL","37.9146011631"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","2888246.0000","2537.3300","7328433223.1800","ICESEMMLL","41.9171603534"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","2910965.0000","2537.3300","7386078823.4500","ICESEMGSL","42.2468815634"
"9/15/2026 12:00:00 AM","SOXL","","ICESEMI SWAP ASSET LEG","3270159.0000","2537.3300","8297472535.4700","ICESEMBCL","47.4598698255"
"9/15/2026 12:00:00 AM","SOXL","INTC","INTEL CORP","7225603.0000","97.1900","702256355.5700","458140100","4.0167647530"
"9/15/2026 12:00:00 AM","SOXL","","JP MORGAN 100 US TRSY CAPITAL 3163","1292000000.0000","1.0000","1292000000.0000","X9USDJPMN","7.3899794850"
"9/15/2026 12:00:00 AM","SOXL","KLAC","KLA CORP","2980743.0000","169.0900","504013833.8700","482480100","2.8828575019"
"9/15/2026 12:00:00 AM","SOXL","LRCX","LAM RESEARCH CORP","1800458.0000","273.4900","492407258.4200","512807306","2.8164702306"
"9/15/2026 12:00:00 AM","SOXL","MTSI","MACOM TECHNOLOGY SOLUTIONS H","491531.0000","239.6200","117780658.2200","55405Y100","0.6736816161"
"9/15/2026 12:00:00 AM","SOXL","MRVL","MARVELL TECHNOLOGY INC","2794318.0000","218.8200","611452664.7600","573874104","3.4973859510"
"9/15/2026 12:00:00 AM","SOXL","MCHP","MICROCHIP TECHNOLOGY INC","3787400.0000","71.4800","270723352.0000","595017104","1.5484829856"
"9/15/2026 12:00:00 AM","SOXL","MU","MICRON TECHNOLOGY INC","1180280.0000","924.0300","1090614128.4000","595112103","6.2380929063"
"9/15/2026 12:00:00 AM","SOXL","MPWR","MONOLITHIC POWER SYSTEMS INC","337423.0000","1143.2400","385755470.5200","609839105","2.2064435088"
"9/15/2026 12:00:00 AM","SOXL","NVMI","NOVA LTD","226136.0000","334.6500","75676412.4000","M7516K103","0.4328538198"
"9/15/2026 12:00:00 AM","SOXL","NVDA","NVIDIA CORP","5425946.0000","210.9600","1144657568.1600","67066G104","6.5472104846"
"9/15/2026 12:00:00 AM","SOXL","NXPI","NXP SEMICONDUCTORS NV","1782067.0000","224.2300","399592883.4100","N6596X109","2.2855907204"
"9/15/2026 12:00:00 AM","SOXL","ON","ON SEMICONDUCTOR","2777068.0000","71.6500","198976922.2000","682189105","1.1381078739"
"9/15/2026 12:00:00 AM","SOXL","QCOM","QUALCOMM INC","2281507.0000","180.1500","411013486.0500","747525103","2.3509142647"
"9/15/2026 12:00:00 AM","SOXL","RMBS","RAMBUS INC","764726.0000","80.3900","61476323.1400","750917106","0.3516321725"
"9/15/2026 12:00:00 AM","SOXL","SWKS","SKYWORKS SOLUTIONS INC","1068002.0000","79.2600","84649838.5200","83088M102","0.4841800078"
"9/15/2026 12:00:00 AM","SOXL","STM","STMICROELECTRONICS NV-NY SHS","1679747.0000","47.7800","80258311.6600","861012102","0.4590613597"
"9/15/2026 12:00:00 AM","SOXL","TSM","TAIWAN SEMICONDUCTOR-SP ADR","1422926.0000","418.0100","594797297.2600","874039100","3.4021206072"
"9/15/2026 12:00:00 AM","SOXL","TER","TERADYNE INC","1108017.0000","329.2000","364759196.4000","880770102","2.0863490545"
"9/15/2026 12:00:00 AM","SOXL","TXN","TEXAS INSTRUMENTS INC","1873603.0000","263.4200","493544502.2600","882508104","2.8229750361"
"9/15/2026 12:00:00 AM","SOXL","UMC","UNITED MICROELECTRON-SP ADR","5955678.0000","21.9000","130429348.2000","910873405","0.7460295723"
