date,sox_ret,rebal_brief_usd,rebal_acad_usd,mu_slice_brief_usd,mu_slice_acad_usd
2026-08-17,0.016425,574321374,1722964121,35826701,107480103
2026-08-18,-0.049801,-1741359574,-5224078722,-108627628,-325882884
2026-08-19,-0.021199,-741253794,-2223761383,-46240100,-138720301
2026-08-20,0.005264,184059505,552178516,11481803,34445409
2026-08-21,-0.005055,-176755417,-530266251,-11026167,-33078501
2026-08-24,-0.027018,-944715268,-2834145804,-58932216,-176796648
2026-08-25,0.014433,504666627,1513999880,31481573,94444719
2026-08-26,0.002002,70005302,210015905,4366996,13100987
2026-08-27,0.023333,815881831,2447645494,50895467,152686400
2026-08-28,-0.034717,-1213913530,-3641740591,-75725054,-227175161
2026-08-31,0.005701,199346093,598038280,12435395,37306184
2026-09-01,-0.021364,-747033433,-2241100300,-46600640,-139801919
2026-09-02,0.004486,156855400,470566201,9784786,29354357
2026-09-03,0.001136,39717038,119151115,2477586,7432757
2026-09-04,0.033750,1180097668,3540293003,73615589,220846767
2026-09-08,0.013004,454716341,1364149024,28365628,85096884
2026-09-09,0.003655,127801796,383405389,7972395,23917184
2026-09-10,-0.026581,-929449979,-2788349938,-57979953,-173939860
2026-09-11,0.018067,631726133,1895178400,39407663,118222989
2026-09-14,-0.058586,-2048530388,-6145591164,-127789229,-383367686
