reference_date,metric,value,unit_and_denominator,population,source_url
2026-03-31 (2026 Q1),"total invested assets, all Dutch pension funds","EUR 1,624 bn (approx; read from DNB's Q2-2026 release, which states Q1 figure for comparison)",EUR millions,"all Dutch pension funds, DNB supervisory population",https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-06-30 (2026 Q2),"total invested assets, all Dutch pension funds","EUR 1,720 bn",EUR millions,"all Dutch pension funds, DNB supervisory population",https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-06-30 (2026 Q2),of which: FTK (not yet transitioned to Wtp) funds,"EUR 1,131 bn",EUR millions; share of total = 65.8%,FTK sub-population,https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-06-30 (2026 Q2),of which: Wtp (transitioned) funds,EUR 589 bn,EUR millions; share of total = 34.2%,Wtp sub-population,https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-06-30 (2026 Q2),"number of funds transitioned (ingevaren) to Wtp, cumulative",34,count; +4 vs Q1 2026,cumulative since Wtp took effect,https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-06-30 (2026 Q2),FTK current funding ratio (aggregate),131.4%,percent; +6.6pp vs Q1 2026,FTK sub-population,https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-06-30 (2026 Q2),FTK policy funding ratio (aggregate),127.7%,percent; +2.7pp vs Q1 2026,FTK sub-population,https://www.dnb.nl/algemeen-nieuws/nieuws-2026/transitie-en-dekkingsgraad-pensioenfondsen-2e-kwartaal-2026/
2026-01-01,"number of funds transitioned (ingevaren) to Wtp, cumulative",30,count; of which 24 new in Q4 2025,cumulative,https://www.dnb.nl/nieuws-voor-de-sector/toezicht-2026/transitienieuws-kwartaalupdate-voortgang-transitie-vierde-kwartaal-2025/
2026-01-01,share of total sector invested assets held by transitioned funds,"""iets meer dan een derde"" (slightly over one-third)","share of total assets, qualitative DNB wording, no single precise % given in this release",cumulative,https://www.dnb.nl/nieuws-voor-de-sector/toezicht-2026/transitienieuws-kwartaalupdate-voortgang-transitie-vierde-kwartaal-2025/
2026-01-01,share of participants (active+deferred+pensioners) transitioned in part or full,"""iets meer dan de helft"" (slightly more than half)",share of persons,cumulative,https://www.dnb.nl/nieuws-voor-de-sector/toezicht-2026/transitienieuws-kwartaalupdate-voortgang-transitie-vierde-kwartaal-2025/
2026-01-01,conversion notifications (meldingen) under DNB review,46,count,"pipeline, not yet completed",https://www.dnb.nl/nieuws-voor-de-sector/toezicht-2026/transitienieuws-kwartaalupdate-voortgang-transitie-vierde-kwartaal-2025/
2026-01-01,further notifications expected during 2026,60,"count (approx, forward-looking DNB statement)",pipeline,https://www.dnb.nl/nieuws-voor-de-sector/toezicht-2026/transitienieuws-kwartaalupdate-voortgang-transitie-vierde-kwartaal-2025/
2026-01-01,converted + planned-2027 funds as share of all participants,approximately 90%,share of persons (forward-looking),cumulative + planned,https://www.dnb.nl/nieuws-voor-de-sector/toezicht-2026/transitienieuws-kwartaalupdate-voortgang-transitie-vierde-kwartaal-2025/
2025 (calendar year),net Dutch pension fund sales of US securities,EUR 30 bn net (EUR 18bn bonds + EUR 12bn equities),"EUR bn, net transactions","all Dutch pension funds, geographic rebalancing",https://www.dnb.nl/algemeen-nieuws/statistiek/2026/pensioenfondsen-belegden-in-2025-meer-in-europa-en-minder-in-de-vs/
2025 (calendar year),net Dutch pension fund purchases of European securities,"EUR 23 bn net (EUR 27bn debt purchases - EUR 5bn net equity sales); of the debt, EUR 20bn government (notably German, Spanish) + EUR 7bn corporate","EUR bn, net transactions","all Dutch pension funds, geographic rebalancing",https://www.dnb.nl/algemeen-nieuws/statistiek/2026/pensioenfondsen-belegden-in-2025-meer-in-europa-en-minder-in-de-vs/
2025 (calendar year),"net Dutch pension fund equity sales, other regions (Japan, Taiwan, Cayman Islands etc.)",EUR 19 bn net sold,"EUR bn, net transactions",all Dutch pension funds,https://www.dnb.nl/algemeen-nieuws/statistiek/2026/pensioenfondsen-belegden-in-2025-meer-in-europa-en-minder-in-de-vs/
