reference_date,metric,value,unit_and_denominator,purple_book_location
2025-03-31,"total assets, s179 basis, PPF-eligible DB/hybrid universe","GBP 1,068.1 bn","GBP billion; 4,838 schemes, 8.6m members",Executive summary / Fig 4.1/4.2,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,total s179 liabilities,GBP 854.2 bn,GBP billion,Fig 4.1/4.2,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,aggregate s179 funding ratio,125.0%,percent (assets/liabilities),Fig 4.1,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,"total liabilities, estimated full buy-out basis","GBP 1,115.3 bn","GBP billion (buy-out is the more conservative, insurer-pricing basis)",Fig 4.3,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,aggregate full buy-out funding ratio,95.8%,percent,Fig 4.3,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,proportion of scheme assets in bonds (weighted average),70.6%,percent of total assets; up from 69.8% a year earlier,Ch.7 summary / Fig 7.3,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,proportion of scheme assets in equities (weighted average),15.1%,percent of total assets; down from 15.5%,Ch.7 summary / Fig 7.3,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,proportion of scheme assets in annuities (weighted average),12.9%,"percent of total assets; record high, up from ~9.7% prior year",Fig 7.3,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,within bonds: government fixed-interest,20.8%,"percent of the BOND SLEEVE (weighted average) - i.e. of the 70.6% of total assets held in bonds - NOT of total assets. The three bond-sleeve shares (government fixed-interest / corporate [public markets + private debt] / index-linked = 20.8% / 34.8% / 44.4%) sum to 100% of the bond sleeve.",Fig 7.5/7.6,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,within bonds: index-linked,44.4%,"percent of the bond sleeve (NOT of total assets); government fixed-interest and index-linked bonds are stated in the report text as mostly long-dated",Fig 7.5/7.6,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,within bonds: corporate fixed-interest,34.8%,"percent of the bond sleeve (NOT of total assets); sub-split: 0.4% investment-grade tier-1-only schemes + 12.2% UK investment-grade + 10.9% overseas investment-grade + 4.3% sub-investment-grade + 7.0% private debt (weighted average, all schemes)",Fig 7.6,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,"cash and deposits (weighted average, negative)",-7.9%,"percent of total assets; NEGATIVE - PPF attributes this to swap/repo collateral positions embedded in LDI strategies, i.e. a leverage signature, not literal negative cash",Fig 7.3 note,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,proportion of assets in UK equities (within the equity sleeve),<5%,percent of equity sleeve; continued structural decline,Executive summary,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2024 (calendar year),risk-transfer deals completed (buy-ins+buy-outs+longevity swaps),GBP 56 bn,GBP billion; second-highest year on record by liability transferred; ~5% of universe liabilities on a full buy-out basis,Ch.8 / Fig 8.4-8.5,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,schemes closed to future benefit accrual,91%,percent of schemes (73% also closed to new members); only 4% of schemes fully open,Executive summary,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
2025-03-31,number of PPF-eligible DB/hybrid schemes,"4,840 (4,838 in dataset)","count; down from 4,974 a year earlier - continuing multi-year decline in the DB universe",Ch.2 / Overview,https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
,,,SOURCE,(see column),https://www.ppf.co.uk/-/media/PPF-Website/Public/Purple-Book-Data-2025/Pension-Protection-Fund-Purple-Book-2025-accessible.pdf
