company,fiscal_year,period_end,accession_number,life_years_used,baseline_life_years_fy2019,life_ratio_vs_2019,reported_net_income_usd,reported_depreciation_usd,reported_ppe_gross_usd,reported_ppe_net_usd,reported_capex_usd,disclosed_first_year_dep_effect_usd,disclosed_first_year_ni_effect_usd,effective_tax_rate_used,etr_is_21pct_fallback,cumulative_dep_delta_vs_2019_flat_usd,restated_depreciation_flat_usd,restated_net_income_flat_usd,net_income_inflation_flat_usd,cumulative_dep_delta_vs_2019_scaled_usd,restated_depreciation_scaled_usd,restated_net_income_scaled_usd,net_income_inflation_scaled_usd
Alphabet,FY2019,2019-12-31,0001652044-20-000008,3.0,3.0,1.0,34343000000,10856000000.0,104207000000,73646000000,23548000000,,,0.1333,False,0.0,10856000000.0,34343000000.0,0.0,0.0,10856000000.0,34343000000.0,0.0
Alphabet,FY2020,2020-12-31,0001652044-21-000010,3.0,3.0,1.0,40269000000,12905000000.0,126462000000,84749000000,22281000000,,,0.1625,False,0.0,12905000000.0,40269000000.0,0.0,0.0,12905000000.0,40269000000.0,0.0
Alphabet,FY2021,2021-12-31,0001652044-22-000019,4.0,3.0,1.3333,76033000000,10273000000,147012000000,97599000000,24640000000,-2600000000.0,2000000000.0,0.162,False,-2600000000.0,12873000000.0,73854259947.0,2178740053.0,-2600000000.0,12873000000.0,73854259947.0,2178740053.0
Alphabet,FY2022,2022-12-31,0001652044-23-000016,4.0,3.0,1.3333,59972000000,13475000000,171710000000,112668000000,31485000000,,,0.1592,False,-2600000000.0,16075000000.0,57785941229.0,2186058771.0,-3410396184.0,16885396184.0,57104566735.0,2867433265.0
Alphabet,FY2023,2023-12-31,0001652044-24-000022,6.0,3.0,2.0,73795000000,11946000000,201803000000,134345000000,32251000000,-3900000000.0,3000000000.0,0.1391,False,-6500000000.0,18446000000.0,68199056372.0,5595943628.0,-6923420617.0,18869420617.0,67834527463.0,5960472537.0
Alphabet,FY2024,2024-12-31,0001652044-25-000014,6.0,3.0,2.0,100118000000,15311000000,199829000000,171036000000,52535000000,,,0.1644,False,-6500000000.0,21811000000.0,94686568209.0,5431431791.0,-8873639132.0,24184639132.0,92703143742.0,7414856258.0
Alphabet,FY2025,2025-12-31,0001652044-26-000018,6.0,3.0,2.0,132170000000,21136000000,345082000000.0,246597000000,91447000000,,,0.1678,False,-6500000000.0,27636000000.0,126760904512.0,5409095488.0,-12249574599.0,33385574599.0,121976289431.0,10193710569.0
Amazon,FY2019,2019-12-31,0001018724-20-000004,3.0,3.0,1.0,11588000000,15150000000,119680000000,72705000000,16861000000,,,0.1699,False,0.0,15150000000.0,11588000000.0,0.0,0.0,15150000000.0,11588000000.0,0.0
Amazon,FY2020,2020-12-31,0001018724-21-000004,4.0,3.0,1.3333,21331000000,16239000000,173548000000,113114000000,40140000000,-2700000000.0,2000000000.0,0.1184,False,-2700000000.0,18939000000.0,18950716271.0,2380283729.0,-2700000000.0,18939000000.0,18950716271.0,2380283729.0
Amazon,FY2021,2021-12-31,0001018724-22-000005,4.0,3.0,1.3333,33364000000,22909000000,238800000000,160281000000,61053000000,,,0.1256,False,-2700000000.0,25609000000.0,31003065817.0,2360934183.0,-3808996859.0,26717996859.0,30033336709.0,3330663291.0
