cik,ticker,year,val_raw,tag,end,form,filed,dur,split_factor_to_latest,val_adj
1800,ABT,2014,1592000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2012-12-31,10-K,2015-02-27,365,2.084201750729471,3318049187.1613173
1800,ABT,2015,1574000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2013-12-31,10-K,2016-02-19,364,1.0,1574000000.0
1800,ABT,2016,1483000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-12-31,10-K,2017-02-17,365,1.0,1483000000.0
1800,ABT,2017,1483000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-12-31,10-K,2018-02-16,365,1.0,1483000000.0
1800,ABT,2018,1483000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-12-31,10-K,2019-02-22,365,1.0,1483000000.0
1800,ABT,2019,1749000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2017-12-31,10-K,2020-02-21,364,1.0,1749000000.0
1800,ABT,2020,1786000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-12-31,10-K,2021-02-19,365,1.0,1786000000.0
1800,ABT,2021,1786000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-12-31,10-K,2022-02-18,365,1.0,1786000000.0
1800,ABT,2022,1786000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-12-31,10-K,2023-02-17,365,1.0,1786000000.0
1800,ABT,2023,1789000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2021-12-31,10-K,2024-02-16,364,1.0,1789000000.0
1800,ABT,2024,1748000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2024-12-31,10-K,2025-02-21,365,1.0,1748000000.0
1800,ABT,2025,1748000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2024-12-31,10-K,2026-02-20,365,1.0,1748000000.0
2488,AMD,2014,741000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2012-12-29,10-K,2015-02-19,363,1.0,741000000.0
2488,AMD,2015,754000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2013-12-28,10-K,2016-02-18,363,1.0,754000000.0
2488,AMD,2016,835000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-12-31,10-K,2017-02-21,370,1.0,835000000.0
2488,AMD,2017,835000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-12-31,10-K,2018-02-27,370,1.0,835000000.0
2488,AMD,2018,835000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-12-31,10-K,2019-02-08,370,1.0,835000000.0
2488,AMD,2019,952000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2017-12-30,10-K,2020-02-04,363,1.0,952000000.0
2488,AMD,2020,1064000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2018-12-29,10-K,2021-01-29,363,1.0,1064000000.0
2488,AMD,2021,1120000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2019-12-28,10-K,2022-02-03,363,1.0,1120000000.0
2488,AMD,2022,1571000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2022-12-31,10-K,2023-02-27,370,1.0,1571000000.0
2488,AMD,2023,1571000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2022-12-31,10-K,2024-01-31,370,1.0,1571000000.0
2488,AMD,2024,1571000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2022-12-31,10-K,2025-02-05,370,1.0,1571000000.0
2488,AMD,2025,1625000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2023-12-30,10-K,2026-02-04,363,1.0,1625000000.0
2969,APD,2014,214700000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2012-09-30,10-K,2014-11-24,365,1.081,232090700.0
2969,APD,2015,212300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2013-09-30,10-K,2015-11-24,364,1.081,229496300.0
2969,APD,2016,218300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-09-30,10-K,2016-11-21,365,1.081,235982300.0
2969,APD,2017,218300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-09-30,10-K,2017-11-16,365,1.081,235982300.0
2969,APD,2018,218300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-09-30,10-K,2018-11-20,365,1.081,235982300.0
2969,APD,2019,219800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2017-09-30,10-K,2019-11-26,364,1.0,219800000.0
2969,APD,2020,222300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-09-30,10-K,2020-11-19,365,1.0,222300000.0
2969,APD,2021,222300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-09-30,10-K,2021-11-18,365,1.0,222300000.0
2969,APD,2022,222300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-09-30,10-K,2022-11-22,365,1.0,222300000.0
2969,APD,2023,222500000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2021-09-30,10-K,2023-11-16,364,1.0,222500000.0
2969,APD,2024,222800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2024-09-30,10-K,2024-11-21,365,1.0,222800000.0
2969,APD,2025,222800000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2024-09-30,10-K,2025-11-20,365,1.0,222800000.0
4127,SWKS,2014,192600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2014-10-03,10-K,2014-11-25,370,1.0,192600000.0
4127,SWKS,2015,192600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2014-10-03,10-K,2015-11-24,370,1.0,192600000.0
4127,SWKS,2016,192600000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2014-10-03,10-K,2016-11-22,370,1.0,192600000.0
4127,SWKS,2017,194900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2015-10-02,10-K,2017-11-13,363,1.0,194900000.0
4127,SWKS,2018,192100000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2016-09-30,10-K,2018-11-15,363,1.0,192100000.0
4127,SWKS,2019,186700000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2017-09-29,10-K,2019-11-14,363,1.0,186700000.0
4127,SWKS,2020,169900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-10-02,10-K,2020-11-17,370,1.0,169900000.0
4127,SWKS,2021,169900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-10-02,10-K,2021-11-24,370,1.0,169900000.0
4127,SWKS,2022,169900000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2020-10-02,10-K,2022-11-23,370,1.0,169900000.0
4127,SWKS,2023,167000000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2021-10-01,10-K,2023-11-17,363,1.0,167000000.0
4127,SWKS,2024,163300000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2022-09-30,10-K,2024-11-15,363,1.0,163300000.0
4127,SWKS,2025,155100000.0,WeightedAverageNumberOfDilutedSharesOutstanding,2025-10-03,10-K,2025-11-07,370,1.0,155100000.0
