cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag
1800,ABBOTT LABORATORIES,1473241861.0,0001047469-16-010246,2016-01-31,,,,,,2015,EntityCommonStockSharesOutstanding
1800,ABBOTT LABORATORIES,1727997596.0,0001047469-17-000744,2017-01-31,,,,,,2016,EntityCommonStockSharesOutstanding
1800,ABBOTT LABORATORIES,1746333892.0,0001047469-18-000856,2018-01-31,,,,,,2017,EntityCommonStockSharesOutstanding
1800,ABBOTT LABORATORIES,1756470269.0,0001047469-19-000624,2019-01-31,,,,,,2018,EntityCommonStockSharesOutstanding
1800,ABBOTT LABORATORIES,1763433243.0,0001104659-20-023904,2020-01-31,,,,,,2019,EntityCommonStockSharesOutstanding
1800,Abbott Laboratories,1771529358.0,0001104659-21-025751,2021-01-31,,,,,,2020,EntityCommonStockSharesOutstanding
1800,Abbott Laboratories,1763482267.0,0001104659-22-025141,2022-01-31,,,,,,2021,EntityCommonStockSharesOutstanding
1800,Abbott Laboratories,1737946233.0,0001628280-23-004026,2023-01-31,,,,,,2022,EntityCommonStockSharesOutstanding
1800,Abbott Laboratories,1735184289.0,0001628280-24-005348,2024-01-31,,,,,,2023,EntityCommonStockSharesOutstanding
1800,Abbott Laboratories,1734323411.0,0001628280-25-007110,2025-01-31,,,,,,2024,EntityCommonStockSharesOutstanding
1800,Abbott Laboratories,1737682887.0,0001628280-26-010185,2026-01-31,,,,,,2025,EntityCommonStockSharesOutstanding
1800,ABBOTT LABORATORIES,1730383296.0,0001628280-26-050134,2026-06-30,,,,,,2026,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC",793248190.0,0000002488-16-000111,2016-02-12,,,,,,2015,EntityCommonStockSharesOutstanding
2488,ADVANCED MICRO DEVICES INC,940758118.0,0000002488-17-000043,2017-02-10,,,,,,2016,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC",1005298882.0,0000002488-19-000011,2019-02-01,,,,,,2018,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC",1169661536.0,0000002488-20-000008,2020-01-31,,,,,,2019,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC",1211280009.0,0001628280-21-001185,2021-01-22,,,,,,2020,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC.",1199303422.0,0000002488-22-000016,2022-01-28,,,,,,2021,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC.",1615786841.0,0000002488-24-000012,2024-01-25,,,,,,2023,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC.",1620477962.0,0000002488-25-000012,2025-01-30,,,,,,2024,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC.",1630410843.0,0000002488-26-000021,2026-01-30,,,,,,2025,EntityCommonStockSharesOutstanding
2488,"ADVANCED MICRO DEVICES, INC",1632475042.0,0000002488-26-000123,2026-07-29,,,,,,2026,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",215650358.0,0001193125-16-443263,2015-12-31,,,,,,2015,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",217589952.0,0000002969-17-000010,2016-12-31,,,,,,2016,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",218939303.0,0000002969-18-000014,2017-12-31,,,,,,2017,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",219631171.0,0000002969-19-000014,2018-12-31,,,,,,2018,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",220678482.0,0000002969-20-000010,2019-12-31,,,,,,2019,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",221276890.0,0000002969-21-000012,2020-12-31,,,,,,2020,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",221717387.0,0000002969-22-000010,2021-12-31,,,,,,2021,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",222082851.0,0000002969-23-000014,2022-12-31,,,,,,2022,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",222301051.0,0000002969-24-000010,2023-12-31,,,,,,2023,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",222475666.0,0000002969-25-000013,2024-12-31,,,,,,2024,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",222656008.0,0000002969-26-000008,2025-12-31,,,,,,2025,EntityCommonStockSharesOutstanding
2969,"AIR PRODUCTS AND CHEMICALS, INC.",222685530.0,0000002969-26-000036,2026-06-30,,,,,,2026,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",191668400.0,0000004127-16-000044,2016-01-15,,,,,,2015,EntityCommonStockSharesOutstanding
4127,"Skyworks Solutions, Inc.",184918356.0,0000004127-17-000012,2017-01-23,,,,,,2016,EntityCommonStockSharesOutstanding
