cik,ticker,year,val_raw,end,form,split_factor_to_latest,val_adj
1800,ABT,2014,1508977828.0,2015-01-31,10-K,1.0,1508977828.0
1800,ABT,2015,1473241861.0,2016-01-31,10-K,1.0,1473241861.0
1800,ABT,2016,1727997596.0,2017-01-31,10-K,1.0,1727997596.0
1800,ABT,2017,1746333892.0,2018-01-31,10-K,1.0,1746333892.0
1800,ABT,2018,1756470269.0,2019-01-31,10-K,1.0,1756470269.0
1800,ABT,2019,1763433243.0,2020-01-31,10-K,1.0,1763433243.0
1800,ABT,2020,1771529358.0,2021-01-31,10-K,1.0,1771529358.0
1800,ABT,2021,1763482267.0,2022-01-31,10-K,1.0,1763482267.0
1800,ABT,2022,1737946233.0,2023-01-31,10-K,1.0,1737946233.0
1800,ABT,2023,1735184289.0,2024-01-31,10-K,1.0,1735184289.0
1800,ABT,2024,1734323411.0,2025-01-31,10-K,1.0,1734323411.0
1800,ABT,2025,1737682887.0,2026-01-31,10-K,1.0,1737682887.0
1800,ABT,2026,1741812429.0,2026-03-31,10-Q,1.0,1741812429.0
2488,AMD,2014,777300258.0,2015-02-13,10-K,1.0,777300258.0
2488,AMD,2015,793248190.0,2016-02-12,10-K,1.0,793248190.0
2488,AMD,2016,940758118.0,2017-02-10,10-K,1.0,940758118.0
2488,AMD,2017,969110191.0,2018-02-23,10-K,1.0,969110191.0
2488,AMD,2018,1005298882.0,2019-02-01,10-K,1.0,1005298882.0
2488,AMD,2019,1169661536.0,2020-01-31,10-K,1.0,1169661536.0
2488,AMD,2020,1211280009.0,2021-01-22,10-K,1.0,1211280009.0
2488,AMD,2021,1199303422.0,2022-01-28,10-K,1.0,1199303422.0
2488,AMD,2022,1611388217.0,2023-02-22,10-K,1.0,1611388217.0
2488,AMD,2023,1615786841.0,2024-01-25,10-K,1.0,1615786841.0
2488,AMD,2024,1620477962.0,2025-01-30,10-K,1.0,1620477962.0
2488,AMD,2025,1630410843.0,2026-01-30,10-K,1.0,1630410843.0
2488,AMD,2026,1632475042.0,2026-07-29,10-Q,1.0,1632475042.0
2969,APD,2014,214274045.0,2014-12-31,10-Q,1.081,231630242.64499998
2969,APD,2015,215650358.0,2015-12-31,10-Q,1.081,233118036.998
2969,APD,2016,217589952.0,2016-12-31,10-Q,1.0,217589952.0
2969,APD,2017,218939303.0,2017-12-31,10-Q,1.0,218939303.0
2969,APD,2018,219631171.0,2018-12-31,10-Q,1.0,219631171.0
2969,APD,2019,220678482.0,2019-12-31,10-Q,1.0,220678482.0
2969,APD,2020,221276890.0,2020-12-31,10-Q,1.0,221276890.0
2969,APD,2021,221717387.0,2021-12-31,10-Q,1.0,221717387.0
2969,APD,2022,222082851.0,2022-12-31,10-Q,1.0,222082851.0
2969,APD,2023,222301051.0,2023-12-31,10-Q,1.0,222301051.0
2969,APD,2024,222475666.0,2024-12-31,10-Q,1.0,222475666.0
2969,APD,2025,222656008.0,2025-12-31,10-Q,1.0,222656008.0
2969,APD,2026,222685530.0,2026-06-30,10-Q,1.0,222685530.0
4127,SWKS,2014,190819868.0,2015-01-15,10-Q,1.0,190819868.0
4127,SWKS,2015,191668400.0,2016-01-15,10-Q,1.0,191668400.0
4127,SWKS,2016,184918356.0,2017-01-23,10-Q,1.0,184918356.0
4127,SWKS,2017,182482749.0,2018-01-26,10-Q,1.0,182482749.0
4127,SWKS,2018,174064672.0,2019-01-30,10-Q,1.0,174064672.0
4127,SWKS,2019,170155181.0,2020-01-20,10-K/A,1.0,170155181.0
4127,SWKS,2020,166691622.0,2021-01-22,10-K/A,1.0,166691622.0
4127,SWKS,2021,164005766.0,2022-01-27,10-Q,1.0,164005766.0
4127,SWKS,2022,158974172.0,2023-01-30,10-Q,1.0,158974172.0
4127,SWKS,2023,160225891.0,2024-01-24,10-Q,1.0,160225891.0
4127,SWKS,2024,160741022.0,2025-01-31,10-Q,1.0,160741022.0
4127,SWKS,2025,150373612.0,2026-02-03,10-Q,1.0,150373612.0
4127,SWKS,2026,150472782.0,2026-07-23,10-Q,1.0,150472782.0
4281,HWM,2014,1222248058.0,2015-02-13,10-K,1.0,1222248058.0
4281,HWM,2015,1314845888.0,2016-02-11,10-K,1.0,1314845888.0
4281,HWM,2016,440535657.0,2017-02-23,10-K,1.0,440535657.0
4281,HWM,2017,482772252.0,2018-02-16,10-K,1.0,482772252.0
4281,HWM,2018,484940842.0,2019-02-15,10-K,1.0,484940842.0
4281,HWM,2019,435918568.0,2020-02-21,10-K,1.0,435918568.0
4281,HWM,2020,433614667.0,2021-02-12,10-K,1.0,433614667.0
