cik,ticker,s2015,slast,ratio
47217,HPQ,4042872000.0,953000000.0,0.23572351536234637
51253,IFF,80891000.0,256000000.0,3.1647525682708832
63908,MCD,944600000.0,716.4,7.584162608511539e-07
726728,O,243767058.48000002,908334000.0,3.7262376863546747
1004980,PCG,487000000.0,2202000000.0,4.521560574948666
1039684,OKE,210541000.0,625900000.0,2.9728176459691937
1095073,EG,43795.0,41600000.0,949.8801233017467
1121788,GRMN,191107.0,193616000.0,1013.1287707933252
1140536,WTW,26047500.0,99000000.0,3.8007486323063633
1140859,COR,217786.0,195214000.0,896.3569742775018
1163165,COP,1241919.0,1253446000.0,1009.2816037116752
1297996,DLR,138865421.0,347810000.0,2.5046552085850085
1389170,TRGP,53600000.0,216900000.0,4.0466417910447765
1418135,KDP,192400000.0,1362800000.0,7.083160083160083
1539838,FANG,63019000.0,289079000.0,4.587172122693156
