cik,entityName,val,accn,end,fy,fp,form,filed,frame,year,tag,is_10k
1800,ABBOTT LABORATORIES,2237000000.0,0001047469-18-000856,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
1800,ABBOTT LABORATORIES,522000000.0,0001047469-19-000624,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
1800,ABBOTT LABORATORIES,117000000.0,0001104659-20-023904,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,238000000.0,0001104659-21-025751,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,718000000.0,0001104659-22-025141,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,403000000.0,0001628280-23-004026,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,2299000000.0,0001628280-24-005348,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,3795000000.0,0001628280-25-007110,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,1227000000.0,0001628280-26-010185,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,1295000000.0,0001628280-26-010185,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
1800,Abbott Laboratories,893000000.0,0001628280-26-010185,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",0.0,0000002488-22-000016,2019-12-28,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",0.0,0000002488-23-000047,2020-12-26,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",1762000000.0,0000002488-24-000012,2021-12-25,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",3702000000.0,0000002488-25-000012,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",985000000.0,0000002488-26-000018,2023-12-30,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",862000000.0,0000002488-26-000018,2024-12-28,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
2488,"ADVANCED MICRO DEVICES, INC.",1316000000.0,0000002488-26-000018,2025-12-27,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
2969,"Air Products & Chemicals, Inc.",0.0,0001193125-15-386399,2015-09-30,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",237300000.0,0000004127-17-000033,2015-10-02,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",525600000.0,0000004127-18-000046,2016-09-30,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",432300000.0,0000004127-19-000049,2017-09-29,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",759500000.0,0000004127-20-000058,2018-09-28,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",657600000.0,0000004127-21-000058,2019-09-27,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",647500000.0,0000004127-22-000038,2020-10-02,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",195600000.0,0000004127-23-000030,2021-10-01,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",886800000.0,0000004127-24-000131,2022-09-30,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",175300000.0,0000004127-25-000085,2023-09-29,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",77300000.0,0000004127-25-000085,2024-09-27,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
4127,"Skyworks Solutions, Inc.",830200000.0,0000004127-25-000085,2025-10-03,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
4281,Howmet Aerospace Inc.,0.0,0000004281-20-000038,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
4281,Howmet Aerospace Inc.,0.0,0000004281-21-000049,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
4281,HOWMET AEROSPACE INC.,1150000000.0,0000004281-22-000004,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
4281,Howmet Aerospace Inc.,73000000.0,0000004281-23-000004,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
4281,Howmet Aerospace Inc.,430000000.0,0000004281-24-000007,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
4281,HOWMET AEROSPACE INC.,400000000.0,0000004281-25-000011,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
4281,HOWMET AEROSPACE INC.,250000000.0,0000004281-26-000012,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
4281,HOWMET AEROSPACE INC.,500000000.0,0000004281-26-000012,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
4281,HOWMET AEROSPACE INC.,700000000.0,0000004281-26-000012,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
4962,AMERICAN EXPRESS CO,4500000000.0,0000004962-18-000032,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
4962,AMERICAN EXPRESS CO,4400000000.0,0000004962-19-000018,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
4962,AMERICAN EXPRESS CO,4300000000.0,0000004962-19-000018,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
4962,AMERICAN EXPRESS CO,1600000000.0,0000004962-19-000018,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
4962,American Express Co,1029000000.0,0000004962-23-000006,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
4962,American Express Co,7652000000.0,0000004962-24-000013,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
4962,American Express Co,3502000000.0,0000004962-25-000016,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
4962,American Express Co,3650000000.0,0000004962-26-000080,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
4962,American Express Co,6020000000.0,0000004962-26-000080,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
4962,American Express Co,5814000000.0,0000004962-26-000080,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,1315000000.0,0000004977-18-000054,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,1422000000.0,0000004977-19-000049,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,1351000000.0,0000004977-20-000044,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,1301000000.0,0000004977-21-000047,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,1627000000.0,0000004977-22-000058,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,1537000000.0,0000004977-23-000055,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,2301000000.0,0000004977-24-000053,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,2401000000.0,0000004977-25-000047,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,2801000000.0,0001628280-26-011402,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,2800000000.0,0001628280-26-011402,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
4977,Aflac Incorporated,3530000000.0,0001628280-26-011402,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
5272,"AMERICAN INTERNATIONAL GROUP, INC.",10691000000.0,0000005272-18-000022,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
5272,"AMERICAN INTERNATIONAL GROUP, INC.",11460000000.0,0000005272-19-000023,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
5272,"AMERICAN INTERNATIONAL GROUP, INC.",6275000000.0,0001104659-20-023889,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
5272,"AMERICAN INTERNATIONAL GROUP, INC.",1739000000.0,0001104659-21-025742,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",0.0,0001104659-22-024701,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",500000000.0,0000005272-23-000007,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",2592000000.0,0000005272-24-000023,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",5200000000.0,0000005272-25-000012,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",2961000000.0,0000005272-26-000023,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",6652000000.0,0000005272-26-000023,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
5272,"American International Group, Inc.",5836000000.0,0000005272-26-000023,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",226953000.0,0000006281-17-000144,2015-10-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",370061000.0,0000006281-18-000126,2016-10-29,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",46533000.0,0000006281-19-000144,2017-10-28,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",225977000.0,0000006281-20-000156,2018-11-03,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",613005000.0,0000006281-21-000294,2019-11-02,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",244487000.0,0000006281-22-000250,2020-10-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",2605144000.0,0000006281-23-000203,2021-10-30,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",2577015000.0,0000006281-24-000204,2022-10-29,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",2963955000.0,0000006281-25-000153,2023-10-28,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",615590000.0,0000006281-25-000153,2024-11-02,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
6281,"Analog Devices, Inc.",2164638000.0,0000006281-25-000153,2025-11-01,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,1325000000.0,0000006951-17-000038,2015-10-25,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,1892000000.0,0000006951-18-000041,2016-10-30,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,1172000000.0,0000006951-19-000046,2017-10-29,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,5283000000.0,0000006951-20-000048,2018-10-28,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,2403000000.0,0000006951-21-000043,2019-10-27,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,649000000.0,0000006951-22-000043,2020-10-25,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,3750000000.0,0000006951-23-000041,2021-10-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,6103000000.0,0000006951-24-000044,2022-10-30,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,2189000000.0,0001628280-25-056742,2023-10-29,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,3823000000.0,0001628280-25-056742,2024-10-27,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
6951,APPLIED MATERIALS INC /DE,4895000000.0,0001628280-25-056742,2025-10-26,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,2040000000.0,0000007084-18-000012,2015-12-31,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,1000000000.0,0000007084-19-000012,2016-12-31,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,750000000.0,0000007084-20-000009,2017-12-31,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,77000000.0,0000007084-21-000008,2018-12-31,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,150000000.0,0000007084-22-000008,2019-12-31,,,,,,2019,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,133000000.0,0000007084-23-000010,2020-12-31,,,,,,2020,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,0.0,0000007084-24-000051,2021-12-31,,,,,,2021,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,1450000000.0,0000007084-25-000011,2022-12-31,,,,,,2022,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,2673000000.0,0000007084-26-000011,2023-12-31,,,,,,2023,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,2327000000.0,0000007084-26-000011,2024-12-31,,,,,,2024,PaymentsForRepurchaseOfCommonStock,False
7084,ARCHER-DANIELS-MIDLAND CO,0.0,0000007084-26-000011,2025-12-31,,,,,,2025,PaymentsForRepurchaseOfCommonStock,False
8670,"AUTOMATIC DATA PROCESSING, INC.",1557200000.0,0000008670-17-000010,2015-06-30,,,,,,2015,PaymentsForRepurchaseOfCommonStock,False
8670,"Automatic     Data Processing, Inc.",1155700000.0,0000008670-18-000011,2016-06-30,,,,,,2016,PaymentsForRepurchaseOfCommonStock,False
8670,"Automatic     Data Processing, Inc.",1259600000.0,0000008670-19-000021,2017-06-30,,,,,,2017,PaymentsForRepurchaseOfCommonStock,False
8670,"Automatic     Data Processing, Inc.",989300000.0,0000008670-20-000032,2018-06-30,,,,,,2018,PaymentsForRepurchaseOfCommonStock,False
