cik,ticker,year,val,tag
1800,ABT,2015,262000000.0,ShareBasedCompensation
1800,ABT,2016,310000000.0,ShareBasedCompensation
1800,ABT,2017,310000000.0,ShareBasedCompensation
1800,ABT,2018,310000000.0,ShareBasedCompensation
1800,ABT,2019,406000000.0,ShareBasedCompensation
1800,ABT,2020,546000000.0,ShareBasedCompensation
1800,ABT,2021,546000000.0,ShareBasedCompensation
1800,ABT,2022,546000000.0,ShareBasedCompensation
1800,ABT,2023,640000000.0,ShareBasedCompensation
1800,ABT,2024,673000000.0,ShareBasedCompensation
1800,ABT,2025,673000000.0,ShareBasedCompensation
2488,AMD,2015,91000000.0,ShareBasedCompensation
2488,AMD,2016,86000000.0,ShareBasedCompensation
2488,AMD,2017,86000000.0,ShareBasedCompensation
2488,AMD,2018,86000000.0,ShareBasedCompensation
2488,AMD,2019,97000000.0,ShareBasedCompensation
2488,AMD,2020,137000000.0,ShareBasedCompensation
2488,AMD,2021,197000000.0,ShareBasedCompensation
2488,AMD,2022,1081000000.0,ShareBasedCompensation
2488,AMD,2023,1081000000.0,ShareBasedCompensation
2488,AMD,2024,1081000000.0,ShareBasedCompensation
2488,AMD,2025,1384000000.0,ShareBasedCompensation
2969,APD,2015,43500000.0,ShareBasedCompensation
2969,APD,2016,37600000.0,ShareBasedCompensation
2969,APD,2017,31000000.0,ShareBasedCompensation
2969,APD,2018,31000000.0,ShareBasedCompensation
2969,APD,2019,39900000.0,ShareBasedCompensation
2969,APD,2020,53500000.0,ShareBasedCompensation
2969,APD,2021,53500000.0,ShareBasedCompensation
2969,APD,2022,53500000.0,ShareBasedCompensation
2969,APD,2023,44500000.0,ShareBasedCompensation
2969,APD,2024,61800000.0,ShareBasedCompensation
2969,APD,2025,61800000.0,ShareBasedCompensation
4127,SWKS,2015,86000000.0,ShareBasedCompensation
4127,SWKS,2016,86000000.0,ShareBasedCompensation
4127,SWKS,2017,99800000.0,ShareBasedCompensation
4127,SWKS,2018,78000000.0,ShareBasedCompensation
4127,SWKS,2019,88500000.0,ShareBasedCompensation
4127,SWKS,2020,156600000.0,ShareBasedCompensation
4127,SWKS,2021,156600000.0,ShareBasedCompensation
4127,SWKS,2022,156600000.0,ShareBasedCompensation
4127,SWKS,2023,191900000.0,ShareBasedCompensation
4127,SWKS,2024,195200000.0,ShareBasedCompensation
4127,SWKS,2025,232400000.0,ShareBasedCompensation
4281,HWM,2015,71000000.0,ShareBasedCompensation
4281,HWM,2016,86000000.0,ShareBasedCompensation
4281,HWM,2017,76000000.0,ShareBasedCompensation
4281,HWM,2018,76000000.0,ShareBasedCompensation
4281,HWM,2019,54000000.0,ShareBasedCompensation
4281,HWM,2020,46000000.0,ShareBasedCompensation
4281,HWM,2021,46000000.0,ShareBasedCompensation
4281,HWM,2022,46000000.0,ShareBasedCompensation
4281,HWM,2023,40000000.0,ShareBasedCompensation
4281,HWM,2024,63000000.0,ShareBasedCompensation
4281,HWM,2025,63000000.0,ShareBasedCompensation
4904,AEP,2024,52900000.0,AllocatedShareBasedCompensationExpense
4904,AEP,2025,53000000.0,AllocatedShareBasedCompensationExpense
4962,AXP,2015,350000000.0,ShareBasedCompensation
4962,AXP,2016,254000000.0,ShareBasedCompensation
4962,AXP,2017,254000000.0,ShareBasedCompensation
4962,AXP,2018,254000000.0,ShareBasedCompensation
4962,AXP,2019,282000000.0,ShareBasedCompensation
4962,AXP,2020,249000000.0,ShareBasedCompensation
4962,AXP,2021,249000000.0,ShareBasedCompensation
4962,AXP,2022,249000000.0,ShareBasedCompensation
4962,AXP,2023,330000000.0,ShareBasedCompensation
4962,AXP,2024,504000000.0,ShareBasedCompensation
4962,AXP,2025,504000000.0,ShareBasedCompensation
5272,AIG,2015,457000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2016,237000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2017,237000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2018,237000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2019,353000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2020,274000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2021,274000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2022,274000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2023,278000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2024,211000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2025,211000000.0,AllocatedShareBasedCompensationExpense
6281,ADI,2015,56886000.0,ShareBasedCompensation
6281,ADI,2016,50812000.0,ShareBasedCompensation
6281,ADI,2017,68919000.0,ShareBasedCompensation
6281,ADI,2018,151165000.0,ShareBasedCompensation
6281,ADI,2019,151165000.0,ShareBasedCompensation
6281,ADI,2020,151165000.0,ShareBasedCompensation
6281,ADI,2021,150300000.0,ShareBasedCompensation
6281,ADI,2022,149518000.0,ShareBasedCompensation
6281,ADI,2023,243611000.0,ShareBasedCompensation
6281,ADI,2024,262710000.0,ShareBasedCompensation
6281,ADI,2025,262710000.0,ShareBasedCompensation
6951,AMAT,2015,162000000.0,ShareBasedCompensation
6951,AMAT,2016,201000000.0,ShareBasedCompensation
6951,AMAT,2017,201000000.0,ShareBasedCompensation
6951,AMAT,2018,201000000.0,ShareBasedCompensation
6951,AMAT,2019,220000000.0,ShareBasedCompensation
6951,AMAT,2020,258000000.0,ShareBasedCompensation
6951,AMAT,2021,346000000.0,ShareBasedCompensation
6951,AMAT,2022,346000000.0,ShareBasedCompensation
6951,AMAT,2023,346000000.0,ShareBasedCompensation
6951,AMAT,2024,413000000.0,ShareBasedCompensation
6951,AMAT,2025,490000000.0,ShareBasedCompensation
7084,ADM,2015,43000000.0,ShareBasedCompensation
7084,ADM,2016,74000000.0,ShareBasedCompensation
7084,ADM,2017,74000000.0,ShareBasedCompensation
7084,ADM,2018,74000000.0,ShareBasedCompensation
7084,ADM,2019,66000000.0,ShareBasedCompensation
7084,ADM,2020,151000000.0,ShareBasedCompensation
7084,ADM,2021,151000000.0,ShareBasedCompensation
7084,ADM,2022,151000000.0,ShareBasedCompensation
7084,ADM,2023,161000000.0,ShareBasedCompensation
7084,ADM,2024,74000000.0,ShareBasedCompensation
7084,ADM,2025,74000000.0,ShareBasedCompensation
8670,ADP,2015,82000000.0,ShareBasedCompensation
8670,ADP,2016,137600000.0,ShareBasedCompensation
8670,ADP,2017,137600000.0,ShareBasedCompensation
8670,ADP,2018,137600000.0,ShareBasedCompensation
8670,ADP,2019,138900000.0,ShareBasedCompensation
8670,ADP,2020,130800000.0,ShareBasedCompensation
8670,ADP,2021,130800000.0,ShareBasedCompensation
8670,ADP,2022,130800000.0,ShareBasedCompensation
8670,ADP,2023,175300000.0,ShareBasedCompensation
8670,ADP,2024,243500000.0,ShareBasedCompensation
8670,ADP,2025,243500000.0,ShareBasedCompensation
8670,ADP,2026,243500000.0,ShareBasedCompensation
8818,AVY,2015,28300000.0,ShareBasedCompensation
8818,AVY,2016,28300000.0,ShareBasedCompensation
8818,AVY,2017,26300000.0,ShareBasedCompensation
