cik,ticker,year,val,tag
1800,ABT,2015,292000000.0,ShareBasedCompensation
1800,ABT,2016,310000000.0,ShareBasedCompensation
1800,ABT,2017,406000000.0,ShareBasedCompensation
1800,ABT,2018,477000000.0,ShareBasedCompensation
1800,ABT,2019,519000000.0,ShareBasedCompensation
1800,ABT,2020,546000000.0,ShareBasedCompensation
1800,ABT,2021,640000000.0,ShareBasedCompensation
1800,ABT,2022,685000000.0,ShareBasedCompensation
1800,ABT,2023,644000000.0,ShareBasedCompensation
1800,ABT,2024,673000000.0,ShareBasedCompensation
1800,ABT,2025,664000000.0,ShareBasedCompensation
2488,AMD,2015,63000000.0,ShareBasedCompensation
2488,AMD,2016,86000000.0,ShareBasedCompensation
2488,AMD,2017,97000000.0,ShareBasedCompensation
2488,AMD,2018,137000000.0,ShareBasedCompensation
2488,AMD,2019,197000000.0,ShareBasedCompensation
2488,AMD,2020,274000000.0,ShareBasedCompensation
2488,AMD,2021,379000000.0,ShareBasedCompensation
2488,AMD,2022,1081000000.0,ShareBasedCompensation
2488,AMD,2023,1384000000.0,ShareBasedCompensation
2488,AMD,2024,1407000000.0,ShareBasedCompensation
2488,AMD,2025,1638000000.0,ShareBasedCompensation
2969,APD,2015,45700000.0,ShareBasedCompensation
2969,APD,2016,37600000.0,ShareBasedCompensation
2969,APD,2017,39900000.0,ShareBasedCompensation
2969,APD,2018,38800000.0,ShareBasedCompensation
2969,APD,2019,41200000.0,ShareBasedCompensation
2969,APD,2020,53500000.0,ShareBasedCompensation
2969,APD,2021,44500000.0,ShareBasedCompensation
2969,APD,2022,48400000.0,ShareBasedCompensation
2969,APD,2023,59900000.0,ShareBasedCompensation
2969,APD,2024,61800000.0,ShareBasedCompensation
2969,APD,2025,76400000.0,ShareBasedCompensation
4127,SWKS,2015,99800000.0,ShareBasedCompensation
4127,SWKS,2016,78000000.0,ShareBasedCompensation
4127,SWKS,2017,88500000.0,ShareBasedCompensation
4127,SWKS,2018,107800000.0,ShareBasedCompensation
4127,SWKS,2019,80100000.0,ShareBasedCompensation
4127,SWKS,2020,156600000.0,ShareBasedCompensation
4127,SWKS,2021,191900000.0,ShareBasedCompensation
4127,SWKS,2022,195200000.0,ShareBasedCompensation
4127,SWKS,2023,185100000.0,ShareBasedCompensation
4127,SWKS,2024,180300000.0,ShareBasedCompensation
4127,SWKS,2025,232400000.0,ShareBasedCompensation
4281,HWM,2015,92000000.0,ShareBasedCompensation
4281,HWM,2016,86000000.0,ShareBasedCompensation
4281,HWM,2017,54000000.0,ShareBasedCompensation
4281,HWM,2018,50000000.0,ShareBasedCompensation
4281,HWM,2019,78000000.0,ShareBasedCompensation
4281,HWM,2020,46000000.0,ShareBasedCompensation
4281,HWM,2021,40000000.0,ShareBasedCompensation
4281,HWM,2022,54000000.0,ShareBasedCompensation
4281,HWM,2023,50000000.0,ShareBasedCompensation
4281,HWM,2024,63000000.0,ShareBasedCompensation
4281,HWM,2025,73000000.0,ShareBasedCompensation
4904,AEP,2024,52900000.0,AllocatedShareBasedCompensationExpense
4904,AEP,2025,53000000.0,AllocatedShareBasedCompensationExpense
4962,AXP,2015,234000000.0,ShareBasedCompensation
4962,AXP,2016,254000000.0,ShareBasedCompensation
4962,AXP,2017,282000000.0,ShareBasedCompensation
4962,AXP,2018,283000000.0,ShareBasedCompensation
4962,AXP,2019,283000000.0,ShareBasedCompensation
4962,AXP,2020,249000000.0,ShareBasedCompensation
4962,AXP,2021,330000000.0,ShareBasedCompensation
4962,AXP,2022,375000000.0,ShareBasedCompensation
4962,AXP,2023,450000000.0,ShareBasedCompensation
4962,AXP,2024,504000000.0,ShareBasedCompensation
4962,AXP,2025,551000000.0,ShareBasedCompensation
5272,AIG,2015,365000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2016,237000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2017,353000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2018,337000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2019,314000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2020,274000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2021,278000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2022,288000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2023,199000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2024,211000000.0,AllocatedShareBasedCompensationExpense
5272,AIG,2025,207000000.0,AllocatedShareBasedCompensationExpense
6281,ADI,2015,68919000.0,ShareBasedCompensation
6281,ADI,2016,63421000.0,ShareBasedCompensation
6281,ADI,2017,104188000.0,ShareBasedCompensation
6281,ADI,2018,151165000.0,ShareBasedCompensation
6281,ADI,2019,150300000.0,ShareBasedCompensation
6281,ADI,2020,149518000.0,ShareBasedCompensation
6281,ADI,2021,243611000.0,ShareBasedCompensation
6281,ADI,2022,323487000.0,ShareBasedCompensation
6281,ADI,2023,299823000.0,ShareBasedCompensation
6281,ADI,2024,262710000.0,ShareBasedCompensation
6281,ADI,2025,321560000.0,ShareBasedCompensation
6951,AMAT,2015,187000000.0,ShareBasedCompensation
6951,AMAT,2016,201000000.0,ShareBasedCompensation
6951,AMAT,2017,220000000.0,ShareBasedCompensation
6951,AMAT,2018,258000000.0,ShareBasedCompensation
6951,AMAT,2019,263000000.0,ShareBasedCompensation
6951,AMAT,2020,307000000.0,ShareBasedCompensation
6951,AMAT,2021,346000000.0,ShareBasedCompensation
6951,AMAT,2022,413000000.0,ShareBasedCompensation
6951,AMAT,2023,490000000.0,ShareBasedCompensation
6951,AMAT,2024,577000000.0,ShareBasedCompensation
6951,AMAT,2025,668000000.0,ShareBasedCompensation
7084,ADM,2015,79000000.0,ShareBasedCompensation
7084,ADM,2016,74000000.0,ShareBasedCompensation
7084,ADM,2017,66000000.0,ShareBasedCompensation
7084,ADM,2018,109000000.0,ShareBasedCompensation
7084,ADM,2019,89000000.0,ShareBasedCompensation
7084,ADM,2020,151000000.0,ShareBasedCompensation
7084,ADM,2021,161000000.0,ShareBasedCompensation
7084,ADM,2022,147000000.0,ShareBasedCompensation
7084,ADM,2023,112000000.0,ShareBasedCompensation
7084,ADM,2024,74000000.0,ShareBasedCompensation
7084,ADM,2025,83000000.0,ShareBasedCompensation
8670,ADP,2015,143200000.0,ShareBasedCompensation
8670,ADP,2016,137600000.0,ShareBasedCompensation
8670,ADP,2017,138900000.0,ShareBasedCompensation
8670,ADP,2018,175400000.0,ShareBasedCompensation
8670,ADP,2019,167300000.0,ShareBasedCompensation
8670,ADP,2020,130800000.0,ShareBasedCompensation
8670,ADP,2021,175300000.0,ShareBasedCompensation
8670,ADP,2022,201700000.0,ShareBasedCompensation
8670,ADP,2023,220400000.0,ShareBasedCompensation
8670,ADP,2024,243500000.0,ShareBasedCompensation
8670,ADP,2025,266100000.0,ShareBasedCompensation
8670,ADP,2026,242600000.0,ShareBasedCompensation
8818,AVY,2015,28300000.0,ShareBasedCompensation
8818,AVY,2016,26300000.0,ShareBasedCompensation
8818,AVY,2017,30200000.0,ShareBasedCompensation
8818,AVY,2018,34300000.0,ShareBasedCompensation
8818,AVY,2019,34500000.0,ShareBasedCompensation
8818,AVY,2020,24000000.0,ShareBasedCompensation
8818,AVY,2021,24000000.0,ShareBasedCompensation
8818,AVY,2022,37200000.0,ShareBasedCompensation
8818,AVY,2023,22300000.0,ShareBasedCompensation
8818,AVY,2024,28700000.0,ShareBasedCompensation
8818,AVY,2025,27900000.0,ShareBasedCompensation
9389,BALL,2015,24700000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2017,46000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2018,75000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2019,37000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2020,43000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2021,40000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2022,39000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2023,33000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2024,63000000.0,AllocatedShareBasedCompensationExpense
9389,BALL,2025,28000000.0,AllocatedShareBasedCompensationExpense
10456,BAX,2015,126000000.0,ShareBasedCompensation
10456,BAX,2016,115000000.0,ShareBasedCompensation
10456,BAX,2017,107000000.0,ShareBasedCompensation
10456,BAX,2018,115000000.0,ShareBasedCompensation
10456,BAX,2019,122000000.0,ShareBasedCompensation
10456,BAX,2020,130000000.0,ShareBasedCompensation
10456,BAX,2021,146000000.0,ShareBasedCompensation
10456,BAX,2022,154000000.0,ShareBasedCompensation
10456,BAX,2023,133000000.0,ShareBasedCompensation
10456,BAX,2024,114000000.0,ShareBasedCompensation
