ticker,date,ratio
A,2014-11-03 09:30:00,1.398
AAPL,1987-06-16 09:30:00,2.0
AAPL,2000-06-21 09:30:00,2.0
AAPL,2005-02-28 09:30:00,2.0
AAPL,2014-06-09 09:30:00,7.0
AAPL,2020-08-31 09:30:00,4.0
ABT,1981-06-01 09:30:00,2.0
ABT,1986-06-02 09:30:00,2.0
ABT,1990-06-01 09:30:00,2.0
ABT,1992-06-01 09:30:00,2.0
ABT,1998-06-01 09:30:00,2.0
ABT,2004-05-03 09:30:00,1.0688328345446771
ABT,2013-01-02 09:30:00,2.084201750729471
ACGL,2011-05-12 09:30:00,3.0
ACGL,2018-06-21 09:30:00,3.0
ADBE,1987-03-12 09:30:00,2.0
ADBE,1988-11-23 09:30:00,2.0
ADBE,1993-08-11 09:30:00,2.0
ADBE,1999-10-27 09:30:00,2.0
ADBE,2000-10-25 09:30:00,2.0
ADBE,2005-05-24 09:30:00,2.0
ADI,1980-04-16 09:30:00,1.25
ADI,1981-04-07 09:30:00,1.25
ADI,1982-04-13 09:30:00,1.25
ADI,1983-04-05 09:30:00,1.5
ADI,1984-04-17 09:30:00,1.3333333333333333
ADI,1986-04-15 09:30:00,1.3333333333333333
ADI,1995-01-05 09:30:00,1.5
ADI,1996-01-04 09:30:00,1.5
ADI,1997-01-07 09:30:00,1.3333333333333333
ADI,2000-03-16 09:30:00,2.0
ADM,1980-10-27 09:30:00,1.05
ADM,1981-03-23 09:30:00,1.5
ADM,1981-08-17 09:30:00,1.05
ADM,1982-08-17 09:30:00,1.05
ADM,1983-08-16 09:30:00,1.05
ADM,1984-08-14 09:30:00,1.05
ADM,1985-08-13 09:30:00,1.05
ADM,1986-06-03 09:30:00,1.5
ADM,1986-08-12 09:30:00,1.05
ADM,1987-08-11 09:30:00,1.05
ADM,1988-08-16 09:30:00,1.05
ADM,1989-08-22 09:30:00,1.05
ADM,1989-12-05 09:30:00,1.5
ADM,1990-08-14 09:30:00,1.05
ADM,1991-08-13 09:30:00,1.05
ADM,1992-08-11 09:30:00,1.05
ADM,1993-08-17 09:30:00,1.05
ADM,1994-08-16 09:30:00,1.05
ADM,1994-12-06 09:30:00,1.5
ADM,1995-08-17 09:30:00,1.05
ADM,1996-08-15 09:30:00,1.05
ADM,1997-08-14 09:30:00,1.05
ADM,1998-08-20 09:30:00,1.05
ADM,1999-08-19 09:30:00,1.05
ADM,2000-08-24 09:30:00,1.05
ADM,2001-08-30 09:30:00,1.05
ADP,1981-05-22 09:30:00,2.0
ADP,1986-06-09 09:30:00,2.0
ADP,1991-05-01 09:30:00,2.0
ADP,1996-01-02 09:30:00,2.0
ADP,1999-01-04 09:30:00,2.0
ADP,2007-04-02 09:30:00,1.1070519207350824
ADP,2014-10-01 09:30:00,1.139
ADSK,1987-03-30 09:30:00,3.0
ADSK,1994-10-31 09:30:00,2.0
ADSK,2002-04-19 09:30:00,2.0
ADSK,2004-12-21 09:30:00,2.0
AEP,1962-10-31 09:30:00,2.0
AES,1994-02-01 09:30:00,1.5
AES,1994-03-04 09:30:00,1.03
AES,1997-08-29 09:30:00,2.0
AES,2000-06-02 09:30:00,2.0
AFL,1983-12-14 09:30:00,1.2
AFL,1984-10-22 09:30:00,1.1
AFL,1985-06-04 09:30:00,1.5
AFL,1986-03-03 09:30:00,1.3333333333333333
AFL,1987-02-03 09:30:00,2.0
AFL,1993-06-15 09:30:00,1.25
AFL,1996-03-18 09:30:00,1.5
AFL,1998-06-09 09:30:00,2.0
AFL,2001-03-19 09:30:00,2.0
AFL,2018-03-19 09:30:00,2.0
AIG,1974-04-01 09:30:00,1.25
AIG,1977-03-29 09:30:00,1.25
AIG,1981-05-28 09:30:00,1.5
AIG,1983-04-26 09:30:00,1.25
AIG,1986-11-18 09:30:00,2.0
AIG,1990-07-23 09:30:00,1.25
AIG,1993-07-30 09:30:00,1.5
AIG,1995-07-31 09:30:00,1.5
AIG,1997-07-28 09:30:00,1.5
AIG,1998-08-03 09:30:00,1.5
AIG,1999-08-02 09:30:00,1.25
