quarter,total_issuance_bn,etf_share_issuance_bn,issuance_ex_etf_bn,nfc_issuance_bn,row_issuance_bn,etf_equity_fund_bn,etf_bond_fund_bn,etf_commodity_fund_bn,etf_hybrid_fund_bn,etf_equity_holdings_flow_bn,household_wrapper_flow_bn,mf_equity_flow_bn
2024:Q1,96.300,226.474,-130.174,-159.078,63.495,178.187,50.191,-3.692,1.788,180.517,377.720,-123.037
2024:Q2,104.152,197.305,-93.153,-125.873,62.179,126.138,70.019,0.805,0.345,125.532,389.122,-103.568
2024:Q3,277.895,299.589,-21.694,-87.235,60.323,192.799,100.310,5.444,1.037,191.861,295.855,-141.401
2024:Q4,426.648,421.475,5.173,-24.842,39.536,342.635,74.846,2.547,1.447,342.442,342.168,-146.614
2025:Q1,209.243,298.511,-89.268,-81.039,18.796,179.710,103.832,12.744,2.225,181.965,197.328,-191.740
2025:Q2,168.969,244.143,-75.174,-93.163,40.929,148.552,85.152,9.054,1.385,150.106,-56.397,-139.004
2025:Q3,308.475,366.028,-57.553,-107.867,63.271,225.558,116.555,19.453,4.463,223.856,419.639,-521.522
2025:Q4,477.135,559.268,-82.133,-66.092,4.173,402.061,137.870,19.029,0.309,402.491,263.464,-221.555
2026:Q1,443.748,447.613,-3.865,51.267,-5.358,269.264,174.855,1.476,2.018,268.973,490.021,-197.553
2026:Q2,730.548,543.408,187.140,153.209,34.896,391.573,151.332,-6.745,7.249,393.132,350.487,-222.963
