as_of,value
2001-01-03,603.3
2001-01-10,565.5
2001-01-17,567.9
2001-01-24,566.5
2001-01-31,564.6
2001-02-07,568.4
2001-02-14,577.2
2001-02-21,586.9
2001-02-28,597.2
2001-03-07,598.7
2001-03-14,603.3
2001-03-21,605.6
2001-03-28,608.6
2001-04-04,608.3
2001-04-11,610.4
2001-04-18,616.0
2001-04-25,618.2
2001-05-02,620.0
2001-05-09,621.1
2001-05-16,622.9
2001-05-23,624.2
2001-05-30,625.8
2001-06-06,626.0
2001-06-13,625.8
2001-06-20,627.5
2001-06-27,631.2
2001-07-04,633.5
2001-07-11,636.0
2001-07-18,637.4
2001-07-25,637.8
2001-08-01,638.5
2001-08-08,638.0
2001-08-15,635.8
2001-08-22,635.3
2001-08-29,638.4
2001-09-05,632.9
2001-09-12,620.0
2001-09-19,640.9
2001-09-26,648.7
2001-10-03,656.1
2001-10-10,662.2
2001-10-17,669.3
2001-10-24,665.4
2001-10-31,667.6
2001-11-07,672.2
2001-11-14,670.9
2001-11-21,670.0
2001-11-28,671.7
2001-12-05,676.4
2001-12-12,680.5
2001-12-19,679.4
2001-12-26,681.7
2002-01-02,677.2
2002-01-09,669.7
2002-01-16,669.5
2002-01-23,672.3
2002-01-30,674.3
2002-02-06,674.1
2002-02-13,675.0
2002-02-20,675.5
2002-02-27,675.2
2002-03-06,673.6
2002-03-13,674.6
2002-03-20,678.7
2002-03-27,678.6
2002-04-03,680.0
2002-04-10,679.0
2002-04-17,678.7
2002-04-24,677.9
2002-05-01,678.2
2002-05-08,680.0
2002-05-15,679.7
2002-05-22,680.6
2002-05-29,678.4
2002-06-05,677.8
2002-06-12,681.8
2002-06-19,684.0
2002-06-26,681.7
2002-07-03,681.7
2002-07-10,679.1
2002-07-17,680.1
2002-07-24,680.4
2002-07-31,678.4
2002-08-07,679.4
2002-08-14,681.2
2002-08-21,681.9
2002-08-28,678.4
2002-09-04,679.2
2002-09-11,679.9
2002-09-18,681.1
2002-09-25,678.6
2002-10-02,677.3
2002-10-09,677.4
2002-10-16,679.0
2002-10-23,678.9
2002-10-30,679.1
2002-11-06,676.5
2002-11-13,678.5
2002-11-20,681.9
2002-11-27,678.3
2002-12-04,678.0
2002-12-11,673.8
2002-12-18,676.9
2002-12-25,674.3
2003-01-01,676.7
2003-01-08,678.7
2003-01-15,678.2
2003-01-22,682.8
2003-01-29,681.5
2003-02-05,677.8
2003-02-12,677.4
2003-02-19,675.9
2003-02-26,673.6
2003-03-05,670.7
2003-03-12,671.8
2003-03-19,670.7
2003-03-26,669.9
2003-04-02,671.0
2003-04-09,669.6
2003-04-16,669.6
2003-04-23,672.7
2003-04-30,673.1
2003-05-07,678.9
2003-05-14,676.0
2003-05-21,676.2
2003-05-28,675.7
2003-06-04,686.8
2003-06-11,688.5
2003-06-18,680.1
2003-06-25,682.6
2003-07-02,684.8
2003-07-09,691.3
2003-07-16,688.3
2003-07-23,689.7
2003-07-30,695.2
2003-08-06,697.9
2003-08-13,691.1
2003-08-20,686.6
2003-08-27,684.4
2003-09-03,693.2
2003-09-10,693.2
2003-09-17,692.7
2003-09-24,694.1
2003-10-01,695.3
2003-10-08,697.2
2003-10-15,691.3
2003-10-22,690.2
2003-10-29,685.9
2003-11-05,674.7
2003-11-12,669.6
2003-11-19,662.3
2003-11-26,666.2
2003-12-03,660.5
2003-12-10,661.4
2003-12-17,656.2
2003-12-24,655.7
2003-12-31,655.1
2004-01-07,660.3
2004-01-14,658.7
2004-01-21,658.4
2004-01-28,657.9
2004-02-04,657.4
2004-02-11,660.2
2004-02-18,658.6
2004-02-25,658.3
2004-03-03,663.3
2004-03-10,662.2
2004-03-17,657.8
2004-03-24,657.5
2004-03-31,656.3
2004-04-07,656.3
2004-04-14,659.7
2004-04-21,655.6
2004-04-28,657.3
2004-05-05,654.8
2004-05-12,654.5
2004-05-19,654.2
2004-05-26,657.5
2004-06-02,654.7
2004-06-09,657.2
2004-06-16,657.2
2004-06-23,656.7
2004-06-30,658.2
2004-07-07,655.9
2004-07-14,660.9
2004-07-21,660.6
2004-07-28,662.5
2004-08-04,659.8
2004-08-11,662.3
2004-08-18,661.0
2004-08-25,661.7
2004-09-01,663.7
2004-09-08,663.6
2004-09-15,664.0
2004-09-22,667.6
2004-09-29,666.3
2004-10-06,662.2
2004-10-13,667.7
2004-10-20,670.1
2004-10-27,671.5
2004-11-03,673.1
2004-11-10,672.3
2004-11-17,673.6
2004-11-24,675.7
2004-12-01,674.1
2004-12-08,675.4
2004-12-15,677.3
2004-12-22,681.9
2004-12-29,688.9
2005-01-05,694.7
2005-01-12,702.8
2005-01-19,708.7
2005-01-26,712.6
2005-02-02,718.0
2005-02-09,718.4
2005-02-16,719.3
2005-02-23,720.9
2005-03-02,719.2
2005-03-09,714.4
2005-03-16,721.5
2005-03-23,722.6
2005-03-30,715.6
2005-04-06,711.5
2005-04-13,707.9
2005-04-20,709.2
2005-04-27,709.1
2005-05-04,712.6
2005-05-11,716.5
2005-05-18,724.1
2005-05-25,725.7
2005-06-01,728.3
2005-06-08,731.4
2005-06-15,735.3
2005-06-22,739.8
2005-06-29,743.9
2005-07-06,748.3
2005-07-13,750.9
2005-07-20,756.1
2005-07-27,760.6
2005-08-03,768.2
2005-08-10,774.3
2005-08-17,782.8
2005-08-24,789.8
2005-08-31,793.6
2005-09-07,799.3
2005-09-14,805.6
2005-09-21,807.4
2005-09-28,813.3
2005-10-05,820.0
2005-10-12,820.4
2005-10-19,821.1
2005-10-26,821.2
2005-11-02,824.5
2005-11-09,828.4
2005-11-16,831.0
2005-11-23,831.4
2005-11-30,837.2
2005-12-07,844.0
2005-12-14,850.0
2005-12-21,856.1
2005-12-28,860.3
2006-01-04,869.1
2006-01-11,876.2
2006-01-18,881.2
2006-01-25,886.5
2006-02-01,894.3
2006-02-08,894.2
2006-02-15,896.7
2006-02-22,897.2
2006-03-01,898.7
2006-03-08,894.8
2006-03-15,897.9
2006-03-22,893.6
2006-03-29,899.3
2006-04-05,899.2
2006-04-12,905.4
2006-04-19,918.5
2006-04-26,924.6
2006-05-03,930.5
2006-05-10,935.4
2006-05-17,940.3
2006-05-24,937.7
2006-05-31,945.8
2006-06-07,948.6
2006-06-14,954.0
2006-06-21,957.2
2006-06-28,963.0
2006-07-05,963.6
2006-07-12,965.7
2006-07-19,970.6
2006-07-26,971.4
2006-08-02,975.3
2006-08-09,979.1
2006-08-16,985.6
2006-08-23,991.3
2006-08-30,997.3
2006-09-06,1003.8
2006-09-13,1006.1
2006-09-20,1012.7
2006-09-27,1029.0
2006-10-04,1042.3
2006-10-11,1043.1
2006-10-18,1033.4
2006-10-25,1041.8
2006-11-01,1043.7
2006-11-08,1046.3
2006-11-15,1052.8
2006-11-22,1053.7
2006-11-29,1051.6
2006-12-06,1052.0
2006-12-13,1058.7
2006-12-20,1062.4
2006-12-27,1081.4
