as_of,value
2015-01-31,324.1
2015-02-28,329.3
2015-03-31,337.5
2015-04-30,342.2
2015-05-31,347.0
2015-06-30,352.5
2015-07-31,352.8
2015-08-31,360.3
2015-09-30,366.7
2015-10-31,374.0
2015-11-30,370.7
2015-12-31,383.6
2016-01-31,387.7
2016-02-29,392.8
2016-03-31,395.8
2016-04-30,400.3
2016-05-31,402.9
2016-06-30,408.7
2016-07-31,409.7
2016-08-31,408.7
2016-09-30,408.2
2016-10-31,407.9
2016-11-30,409.0
2016-12-31,409.5
2017-01-31,407.0
2017-02-28,410.8
2017-03-31,414.0
2017-04-30,419.4
2017-05-31,426.3
2017-06-30,425.2
2017-07-31,429.8
2017-08-31,432.0
2017-09-30,436.9
2017-10-31,439.7
2017-11-30,442.7
2017-12-31,443.4
2018-01-31,446.5
2018-02-28,450.4
2018-03-31,451.4
2018-04-30,458.8
2018-05-31,460.7
2018-06-30,465.7
2018-07-31,471.6
2018-08-31,476.2
2018-09-30,478.5
2018-10-31,486.2
2018-11-30,487.2
2018-12-31,498.6
2019-01-31,511.1
2019-02-28,521.1
2019-03-31,518.9
2019-04-30,520.8
2019-05-31,531.5
2019-06-30,539.8
2019-07-31,546.3
2019-08-31,557.5
2019-09-30,563.7
2019-10-31,572.1
2019-11-30,576.1
2019-12-31,580.9
2020-01-31,581.5
2020-02-29,592.1
2020-03-31,646.0
2020-04-30,685.9
2020-05-31,664.5
2020-06-30,646.8
2020-07-31,627.9
2020-08-31,634.1
2020-09-30,644.4
2020-10-31,649.5
2020-11-30,652.7
2020-12-31,658.7
2021-01-31,673.8
2021-02-28,684.8
2021-03-31,688.1
2021-04-30,690.5
2021-05-31,701.8
2021-06-30,715.5
2021-07-31,731.9
2021-08-31,746.7
2021-09-30,759.7
2021-10-31,766.7
2021-11-30,778.7
2021-12-31,805.1
2022-01-31,820.0
2022-02-28,822.3
2022-03-31,828.2
2022-04-30,826.3
2022-05-31,836.6
2022-06-30,847.1
2022-07-31,853.5
2022-08-31,863.8
2022-09-30,872.6
2022-10-31,880.3
2022-11-30,890.0
2022-12-31,895.3
2023-01-31,897.7
2023-02-28,907.8
2023-03-31,921.8
2023-04-30,934.6
2023-05-31,942.5
2023-06-30,949.5
2023-07-31,958.0
2023-08-31,966.2
2023-09-30,974.8
2023-10-31,991.3
2023-11-30,996.7
2023-12-31,1001.8
2024-01-31,1004.5
2024-02-29,1011.9
2024-03-31,1013.7
2024-04-30,1026.1
2024-05-31,1047.6
2024-06-30,1076.3
2024-07-31,1091.9
2024-08-31,1099.7
2024-09-30,1108.2
2024-10-31,1123.2
2024-11-30,1138.5
2024-12-31,1201.7
2025-01-31,1412.1
2025-02-28,1430.2
2025-03-31,1469.3
2025-04-30,1555.8
2025-05-31,1570.0
2025-06-30,1600.0
2025-07-31,1674.7
2025-08-31,1699.9
2025-09-30,1723.1
2025-10-31,1760.5
2025-11-30,1794.6
2025-12-31,1826.6
2026-01-31,1880.0
2026-02-28,1913.0
2026-03-31,1940.6
2026-04-30,1969.2
2026-05-31,1982.0
2026-06-30,1991.3
2026-07-31,2005.0
