as_of,value
2005-01-31,986.8
2005-02-28,1030.9
2005-03-31,1059.1
2005-04-30,991.3
2005-05-31,961.3
2005-06-30,923.4
2005-07-31,942.2
2005-08-31,953.3
2005-09-30,914.3
2005-10-31,936.6
2005-11-30,986.9
2005-12-31,963.9
2006-01-31,956.2
2006-02-28,999.6
2006-03-31,1042.0
2006-04-30,965.1
2006-05-31,954.4
2006-06-30,916.7
2006-07-31,932.7
2006-08-31,962.3
2006-09-30,911.5
2006-10-31,929.5
2006-11-30,989.0
2006-12-31,944.2
2007-01-31,932.1
2007-02-28,982.1
2007-03-31,1033.1
2007-04-30,944.1
2007-05-31,919.1
2007-06-30,869.1
2007-07-31,892.1
2007-08-31,1014.1
2007-09-30,958.1
2007-10-31,938.1
2007-11-30,1035.0
2007-12-31,1003.9
2008-01-31,984.4
2008-02-29,1125.4
2008-03-31,1158.4
2008-04-30,1025.7
2008-05-31,1119.2
2008-06-30,1060.5
2008-07-31,1135.8
2008-08-31,1227.2
2008-09-30,1489.8
2008-10-31,1909.7
2008-11-30,2003.7
2008-12-31,1866.7
2009-01-31,1798.6
2009-02-28,1985.6
2009-03-31,2033.6
2009-04-30,1994.5
2009-05-31,2065.4
2009-06-30,2006.5
2009-07-31,2020.5
2009-08-31,2068.5
2009-09-30,1992.5
2009-10-31,1858.5
2009-11-30,1850.5
2009-12-31,1793.5
2010-01-31,1689.5
2010-02-28,1736.5
2010-03-31,1843.5
2010-04-30,1847.5
2010-05-31,1855.5
2010-06-30,1782.5
2010-07-31,1790.5
2010-08-31,1825.5
2010-09-30,1788.5
2010-10-31,1768.5
2010-11-30,1775.5
2010-12-31,1772.5
2011-01-31,1760.5
2011-02-28,1738.5
2011-03-31,1698.5
2011-04-30,1638.5
2011-05-31,1578.5
2011-06-30,1531.5
2011-07-31,1492.5
2011-08-31,1493.5
2011-09-30,1477.5
2011-10-31,1482.5
2011-11-30,1512.5
2011-12-31,1520.5
2012-01-31,1525.4
2012-02-29,1610.4
2012-03-31,1674.4
2012-04-30,1613.4
2012-05-31,1605.4
2012-06-30,1596.4
2012-07-31,1581.0
2012-08-31,1663.0
2012-09-30,1616.0
2012-10-31,1622.0
2012-11-30,1695.0
2012-12-31,1629.0
2013-01-31,1607.9
2013-02-28,1742.0
2013-03-31,1791.0
2013-04-30,1694.9
2013-05-31,1606.9
2013-06-30,1569.9
2013-07-31,1556.0
2013-08-31,1638.0
2013-09-30,1530.0
2013-10-31,1545.0
2013-11-30,1621.0
2013-12-31,1592.0
2014-01-31,1486.0
2014-02-28,1614.0
2014-03-31,1652.0
2014-04-30,1459.0
2014-05-31,1449.0
2014-06-30,1388.0
2014-07-31,1410.0
2014-08-31,1452.0
2014-09-30,1411.0
2014-10-31,1413.9
2014-11-30,1439.9
2014-12-31,1457.9
2015-01-31,1412.9
2015-02-28,1472.9
2015-03-31,1477.9
2015-04-30,1432.9
2015-05-31,1447.0
2015-06-30,1395.0
2015-07-31,1440.0
2015-08-31,1424.0
2015-09-30,1358.0
2015-10-31,1273.0
2015-11-30,1506.0
2015-12-31,1514.0
2016-01-31,1477.9
2016-02-29,1551.9
2016-03-31,1618.0
2016-04-30,1527.0
2016-05-31,1524.0
2016-06-30,1507.9
2016-07-31,1549.9
2016-08-31,1632.9
2016-09-30,1647.0
2016-10-31,1752.9
2016-11-30,1873.0
2016-12-31,1818.0
2017-01-31,1762.0
2017-02-28,1753.0
2017-03-31,1757.0
2017-04-30,1742.0
2017-05-31,1748.0
2017-06-30,1718.0
2017-07-31,1758.0
2017-08-31,1747.9
2017-09-30,1801.9
2017-10-31,1855.9
2017-11-30,1970.9
2017-12-31,1955.9
2018-01-31,1966.9
2018-02-28,2078.0
2018-03-31,2289.0
2018-04-30,2169.0
2018-05-31,2184.0
2018-06-30,2158.0
2018-07-31,2205.9
2018-08-31,2340.9
2018-09-30,2239.9
2018-10-31,2258.0
2018-11-30,2389.1
2018-12-31,2340.0
2019-01-31,2299.1
2019-02-28,2396.0
2019-03-31,2480.0
2019-04-30,2384.0
2019-05-31,2353.9
2019-06-30,2250.9
2019-07-31,2205.9
2019-08-31,2331.9
2019-09-30,2377.0
2019-10-31,2456.1
2019-11-30,2515.1
2019-12-31,2416.9
2020-01-31,2404.3
2020-02-29,2564.6
2020-03-31,2657.4
2020-04-30,4001.8
2020-05-31,4629.9
2020-06-30,5079.6
2020-07-31,5078.9
2020-08-31,5076.7
2020-09-30,5028.9
2020-10-31,4985.3
2020-11-30,4943.7
2020-12-31,4964.1
2021-01-31,4955.0
2021-02-28,4859.0
2021-03-31,4669.0
2021-04-30,4540.1
2021-05-31,4377.1
2021-06-30,4275.1
2021-07-31,4142.1
2021-08-31,4038.1
2021-09-30,3714.1
2021-10-31,3852.1
2021-11-30,3786.1
2021-12-31,3770.1
2022-01-31,3961.1
2022-02-28,4055.0
2022-03-31,3929.0
2022-04-30,3827.9
2022-05-31,3672.9
2022-06-30,3523.9
2022-07-31,3514.9
2022-08-31,3725.0
2022-09-30,3644.6
2022-10-31,3666.0
2022-11-30,3811.9
2022-12-31,3697.4
2023-01-31,3938.9
2023-02-28,4057.8
2023-03-31,4068.8
2023-04-30,3942.6
2023-05-31,3993.4
2023-06-30,4466.7
2023-07-31,4770.5
2023-08-31,5073.9
2023-09-30,5260.4
2023-10-31,5457.0
2023-11-30,5671.1
2023-12-31,5675.8
2024-01-31,5780.2
2024-02-29,6011.2
2024-03-31,6062.9
2024-04-30,5866.8
2024-05-31,5866.8
2024-06-30,5765.8
2024-07-31,5915.8
2024-08-31,6121.8
2024-09-30,6004.8
2024-10-31,6186.8
2024-11-30,6389.8
2024-12-31,6186.9
2025-01-31,6379.9
2025-02-28,6368.0
2025-03-31,6156.0
2025-04-30,6060.0
2025-05-31,6003.0
2025-06-30,5784.1
2025-07-31,5995.9
2025-08-31,6369.0
2025-09-30,6397.0
2025-10-31,6593.2
2025-11-30,6723.3
2025-12-31,6547.3
2026-01-31,6595.7
2026-02-28,6808.1
2026-03-31,6819.6
2026-04-30,6622.0
2026-05-31,6758.8
2026-06-30,6690.7
2026-07-31,6988.9
