as_of,value
2015-09-30,121.6
2015-12-31,116.9
2016-03-31,123.8
2016-06-30,126.8
2016-09-30,124.9
2016-12-31,133.0
2017-03-31,124.5
2017-06-30,110.8
2017-09-30,114.7
2017-12-31,110.3
2018-03-31,113.3
2018-06-30,114.1
2018-09-30,122.9
2018-12-31,125.4
2019-03-31,117.4
2019-06-30,123.5
2019-09-30,145.6
2019-12-31,138.1
2020-03-31,230.7
2020-06-30,205.7
2020-09-30,196.0
2020-12-31,189.9
2021-03-31,194.2
2021-06-30,194.2
2021-09-30,196.3
2021-12-31,189.6
2022-03-31,218.9
2022-06-30,214.0
2022-09-30,212.4
2022-12-31,206.1
2023-03-31,224.9
2023-06-30,228.9
2023-09-30,228.5
2023-12-31,239.6
2024-03-31,242.6
2024-06-30,231.5
2024-09-30,257.3
2024-12-31,256.6
2025-03-31,264.1
2025-06-30,291.6
2025-09-30,306.9
2025-12-31,315.3
2026-03-31,333.8
