as_of,value
2015-09-30,29.1
2015-12-31,26.4
2016-03-31,24.8
2016-06-30,26.7
2016-09-30,22.4
2016-12-31,20.6
2017-03-31,27.3
2017-06-30,25.5
2017-09-30,25.7
2017-12-31,24.2
2018-03-31,28.6
2018-06-30,24.0
2018-09-30,23.8
2018-12-31,23.5
2019-03-31,25.3
2019-06-30,27.7
2019-09-30,28.1
2019-12-31,30.3
2020-03-31,57.6
2020-06-30,48.1
2020-09-30,37.6
2020-12-31,38.3
2021-03-31,37.7
2021-06-30,39.0
2021-09-30,41.1
2021-12-31,42.9
2022-03-31,58.7
2022-06-30,69.6
2022-09-30,73.8
2022-12-31,82.3
2023-03-31,81.2
2023-06-30,67.8
2023-09-30,51.5
2023-12-31,61.9
2024-03-31,64.5
2024-06-30,53.2
2024-09-30,58.2
2024-12-31,51.8
2025-03-31,56.1
2025-06-30,64.2
2025-09-30,66.0
2025-12-31,69.4
2026-03-31,77.8
