as_of,value
2015-09-30,19.0
2015-12-31,18.4
2016-03-31,19.0
2016-06-30,19.3
2016-09-30,19.7
2016-12-31,21.7
2017-03-31,23.3
2017-06-30,24.5
2017-09-30,24.7
2017-12-31,24.9
2018-03-31,28.4
2018-06-30,29.5
2018-09-30,30.3
2018-12-31,34.2
2019-03-31,34.0
2019-06-30,33.4
2019-09-30,34.9
2019-12-31,34.9
2020-03-31,50.3
2020-06-30,49.2
2020-09-30,45.5
2020-12-31,44.0
2021-03-31,45.8
2021-06-30,43.7
2021-09-30,46.5
2021-12-31,46.9
2022-03-31,49.8
2022-06-30,58.8
2022-09-30,56.9
2022-12-31,53.5
2023-03-31,53.7
2023-06-30,55.8
2023-09-30,52.4
2023-12-31,51.1
2024-03-31,49.4
2024-06-30,49.5
2024-09-30,52.0
2024-12-31,50.7
2025-03-31,54.9
2025-06-30,57.1
2025-09-30,57.6
2025-12-31,57.9
2026-03-31,66.4
