as_of,value
2015-09-30,27.8
2015-12-31,42.5
2016-03-31,42.4
2016-06-30,41.0
2016-09-30,40.1
2016-12-31,41.5
2017-03-31,39.7
2017-06-30,37.4
2017-09-30,35.6
2017-12-31,34.3
2018-03-31,35.8
2018-06-30,35.9
2018-09-30,38.0
2018-12-31,45.9
2019-03-31,45.3
2019-06-30,40.3
2019-09-30,46.6
2019-12-31,47.2
2020-03-31,59.2
2020-06-30,64.5
2020-09-30,62.2
2020-12-31,55.8
2021-03-31,61.5
2021-06-30,67.2
2021-09-30,82.4
2021-12-31,118.3
2022-03-31,135.4
2022-06-30,130.6
2022-09-30,144.2
2022-12-31,131.6
2023-03-31,86.6
2023-06-30,73.2
2023-09-30,65.5
2023-12-31,65.3
2024-03-31,61.9
2024-06-30,66.6
2024-09-30,61.0
2024-12-31,57.6
2025-03-31,64.1
2025-06-30,66.7
2025-09-30,56.1
2025-12-31,46.5
2026-03-31,81.2
