as_of,value
2015-09-30,11.6
2015-12-31,10.4
2016-03-31,11.6
2016-06-30,12.7
2016-09-30,14.3
2016-12-31,15.4
2017-03-31,16.4
2017-06-30,15.8
2017-09-30,12.7
2017-12-31,12.4
2018-03-31,14.2
2018-06-30,13.3
2018-09-30,14.2
2018-12-31,14.7
2019-03-31,16.8
2019-06-30,15.2
2019-09-30,16.1
2019-12-31,18.7
2020-03-31,30.7
2020-06-30,25.8
2020-09-30,24.7
2020-12-31,26.6
2021-03-31,24.7
2021-06-30,23.6
2021-09-30,23.6
2021-12-31,23.2
2022-03-31,21.7
2022-06-30,17.3
2022-09-30,14.3
2022-12-31,15.5
2023-03-31,15.7
2023-06-30,15.3
2023-09-30,13.6
2023-12-31,15.8
2024-03-31,16.9
2024-06-30,17.0
2024-09-30,19.8
2024-12-31,19.2
2025-03-31,17.5
2025-06-30,20.4
2025-09-30,20.8
2025-12-31,18.8
2026-03-31,23.0
