as_of,value
2015-09-30,19.2
2015-12-31,16.1
2016-03-31,18.3
2016-06-30,22.7
2016-09-30,22.6
2016-12-31,23.9
2017-03-31,24.2
2017-06-30,22.5
2017-09-30,21.7
2017-12-31,20.8
2018-03-31,21.9
2018-06-30,18.8
2018-09-30,20.5
2018-12-31,22.1
2019-03-31,20.0
2019-06-30,21.5
2019-09-30,25.3
2019-12-31,26.5
2020-03-31,43.3
2020-06-30,34.8
2020-09-30,37.4
2020-12-31,35.8
2021-03-31,34.8
2021-06-30,32.4
2021-09-30,33.4
2021-12-31,30.2
2022-03-31,33.6
2022-06-30,32.4
2022-09-30,32.4
2022-12-31,38.7
2023-03-31,49.3
2023-06-30,43.3
2023-09-30,43.9
2023-12-31,46.5
2024-03-31,43.5
2024-06-30,37.9
2024-09-30,48.3
2024-12-31,40.0
2025-03-31,40.5
2025-06-30,54.0
2025-09-30,53.1
2025-12-31,48.2
2026-03-31,51.9
