as_of,value
2015-09-30,85.3
2015-12-31,82.4
2016-03-31,95.3
2016-06-30,108.0
2016-09-30,113.7
2016-12-31,120.1
2017-03-31,125.3
2017-06-30,130.9
2017-09-30,136.0
2017-12-31,138.7
2018-03-31,152.0
2018-06-30,154.3
2018-09-30,144.4
2018-12-31,148.8
2019-03-31,155.3
2019-06-30,167.4
2019-09-30,182.6
2019-12-31,177.8
2020-03-31,206.3
2020-06-30,206.4
2020-09-30,206.5
2020-12-31,209.3
2021-03-31,199.4
2021-06-30,206.8
2021-09-30,202.6
2021-12-31,203.4
2022-03-31,204.8
2022-06-30,207.5
2022-09-30,201.9
2022-12-31,212.5
2023-03-31,238.4
2023-06-30,229.0
2023-09-30,213.0
2023-12-31,233.6
2024-03-31,231.0
2024-06-30,227.3
2024-09-30,257.0
2024-12-31,246.0
2025-03-31,250.0
2025-06-30,265.0
2025-09-30,260.0
2025-12-31,255.3
2026-03-31,267.0
