as_of,value
2015-09-30,18.2
2015-12-31,17.0
2016-03-31,19.6
2016-06-30,21.3
2016-09-30,19.2
2016-12-31,20.6
2017-03-31,23.5
2017-06-30,21.9
2017-09-30,23.1
2017-12-31,22.4
2018-03-31,24.0
2018-06-30,25.6
2018-09-30,23.1
2018-12-31,27.0
2019-03-31,36.5
2019-06-30,40.5
2019-09-30,40.2
2019-12-31,34.6
2020-03-31,41.1
2020-06-30,43.7
2020-09-30,45.9
2020-12-31,45.5
2021-03-31,48.7
2021-06-30,52.2
2021-09-30,50.2
2021-12-31,44.3
2022-03-31,51.1
2022-06-30,41.1
2022-09-30,37.7
2022-12-31,39.0
2023-03-31,47.0
2023-06-30,44.6
2023-09-30,43.9
2023-12-31,47.2
2024-03-31,40.8
2024-06-30,39.6
2024-09-30,41.7
2024-12-31,10.2
2025-03-31,11.8
2025-06-30,13.0
2025-09-30,12.9
2025-12-31,12.3
2026-03-31,15.3
