as_of,value
2015-09-30,10.6
2015-12-31,6.9
2016-03-31,7.4
2016-06-30,8.5
2016-09-30,14.6
2016-12-31,10.4
2017-03-31,39.2
2017-06-30,45.9
2017-09-30,51.0
2017-12-31,61.5
2018-03-31,19.0
2018-06-30,15.8
2018-09-30,15.5
2018-12-31,16.7
2019-03-31,13.1
2019-06-30,15.7
2019-09-30,17.4
2019-12-31,17.2
2020-03-31,24.1
2020-06-30,24.9
2020-09-30,29.9
2020-12-31,35.2
2021-03-31,35.0
2021-06-30,31.3
2021-09-30,27.0
2021-12-31,26.5
2022-03-31,26.8
2022-06-30,23.7
2022-09-30,22.8
2022-12-31,20.7
2023-03-31,27.0
2023-06-30,30.8
2023-09-30,34.5
2023-12-31,39.6
2024-03-31,49.1
2024-06-30,55.2
2024-09-30,65.4
2024-12-31,70.9
2025-03-31,73.5
2025-06-30,82.1
2025-09-30,98.6
2025-12-31,105.1
2026-03-31,116.4
