as_of,value
2015-09-30,364.8
2015-12-31,354.4
2016-03-31,383.4
2016-06-30,405.3
2016-09-30,408.5
2016-12-31,424.1
2017-03-31,461.3
2017-06-30,454.4
2017-09-30,463.6
2017-12-31,468.9
2018-03-31,458.2
2018-06-30,453.4
2018-09-30,453.9
2018-12-31,479.0
2019-03-31,485.4
2019-06-30,508.2
2019-09-30,560.0
2019-12-31,547.9
2020-03-31,774.5
2020-06-30,736.0
2020-09-30,716.0
2020-12-31,708.8
2021-03-31,712.4
2021-06-30,719.8
2021-09-30,734.5
2021-12-31,757.2
2022-03-31,840.8
2022-06-30,836.0
2022-09-30,835.0
2022-12-31,834.7
2023-03-31,859.3
2023-06-30,827.1
2023-09-30,783.4
2023-12-31,835.6
2024-03-31,833.9
2024-06-30,810.1
2024-09-30,896.6
2024-12-31,835.9
2025-03-31,869.5
2025-06-30,953.7
2025-09-30,972.8
2025-12-31,968.2
2026-03-31,1071.0
