as_of,value
2001-01-03,1587.9
2001-01-10,1514.4
2001-01-17,1512.4
2001-01-24,1509.0
2001-01-31,1501.2
2001-02-07,1503.3
2001-02-14,1514.8
2001-02-21,1520.4
2001-02-28,1521.9
2001-03-07,1513.0
2001-03-14,1517.0
2001-03-21,1521.5
2001-03-28,1527.4
2001-04-04,1539.9
2001-04-11,1550.8
2001-04-18,1546.5
2001-04-25,1553.8
2001-05-02,1558.7
2001-05-09,1553.9
2001-05-16,1543.2
2001-05-23,1527.8
2001-05-30,1517.2
2001-06-06,1511.9
2001-06-13,1522.2
2001-06-20,1521.5
2001-06-27,1525.6
2001-07-04,1525.5
2001-07-11,1515.8
2001-07-18,1513.9
2001-07-25,1501.8
2001-08-01,1489.4
2001-08-08,1473.9
2001-08-15,1452.7
2001-08-22,1433.1
2001-08-29,1431.3
2001-09-05,1407.5
2001-09-12,1356.3
2001-09-19,1422.9
2001-09-26,1454.1
2001-10-03,1450.2
2001-10-10,1457.9
2001-10-17,1454.0
2001-10-24,1438.6
2001-10-31,1453.6
2001-11-07,1451.4
2001-11-14,1444.3
2001-11-21,1440.5
2001-11-28,1439.8
2001-12-05,1437.4
2001-12-12,1435.6
2001-12-19,1440.4
2001-12-26,1452.9
2002-01-02,1444.6
2002-01-09,1421.5
2002-01-16,1426.5
2002-01-23,1426.3
2002-01-30,1421.9
2002-02-06,1415.5
2002-02-13,1418.8
2002-02-20,1418.2
2002-02-27,1420.4
2002-03-06,1420.1
2002-03-13,1421.3
2002-03-20,1423.8
2002-03-27,1407.5
2002-04-03,1410.7
2002-04-10,1407.9
2002-04-17,1408.4
2002-04-24,1405.3
2002-05-01,1398.9
2002-05-08,1399.8
2002-05-15,1402.6
2002-05-22,1398.1
2002-05-29,1394.3
2002-06-05,1392.5
2002-06-12,1401.6
2002-06-19,1391.5
2002-06-26,1388.1
2002-07-03,1388.7
2002-07-10,1383.2
2002-07-17,1376.1
2002-07-24,1378.3
2002-07-31,1374.1
2002-08-07,1373.8
2002-08-14,1374.0
2002-08-21,1376.4
2002-08-28,1369.2
2002-09-04,1366.7
2002-09-11,1369.1
2002-09-18,1373.7
2002-09-25,1365.4
2002-10-02,1355.4
2002-10-09,1358.2
2002-10-16,1359.0
2002-10-23,1359.0
2002-10-30,1356.9
2002-11-06,1357.3
2002-11-13,1360.3
2002-11-20,1361.2
2002-11-27,1360.0
2002-12-04,1363.4
2002-12-11,1357.9
2002-12-18,1358.7
2002-12-25,1350.2
2003-01-01,1354.1
2003-01-08,1367.8
2003-01-15,1364.7
2003-01-22,1368.9
2003-01-29,1370.1
2003-02-05,1376.3
2003-02-12,1360.4
2003-02-19,1352.3
2003-02-26,1348.6
2003-03-05,1341.4
2003-03-12,1346.9
2003-03-19,1342.1
2003-03-26,1361.6
2003-04-02,1361.9
