as_of,value
2003-02-07,2.5
2003-03-19,1.2
2003-04-08,2.2
2003-06-04,1.2
2003-06-18,2.2
2003-06-19,1.2
2003-06-20,3.5
2003-11-04,4.0
2003-11-05,2.8
2003-12-16,1.8
2004-01-06,2.5
2004-01-09,2.2
2007-04-26,5.2
2007-04-27,6.5
2007-05-02,5.8
2007-05-10,1.5
2008-03-19,7.2
2008-03-28,6.0
2008-03-31,5.0
2008-04-02,3.8
2008-09-24,25.0
2008-09-25,22.0
2008-09-26,26.0
2008-10-01,20.0
2008-10-02,25.0
2008-10-03,25.0
2008-10-06,25.0
2008-10-14,25.0
2008-10-15,25.0
2008-10-16,25.0
2008-10-17,25.0
2008-10-20,25.0
2008-10-21,25.0
2008-10-22,25.0
2008-10-23,25.0
2008-10-24,25.0
2008-10-27,25.0
2008-10-28,25.0
2008-10-29,25.0
2008-10-30,25.0
2008-10-31,25.0
2008-11-03,25.0
2008-11-04,25.0
2008-11-05,25.0
2008-11-06,25.0
2008-11-07,25.0
2008-11-10,15.0
2008-11-12,25.0
2008-11-13,25.0
2008-11-14,25.0
2008-11-17,25.0
2008-11-18,20.0
2008-11-19,25.0
2008-11-20,25.0
2008-11-21,25.0
2008-11-24,25.0
2008-11-25,25.0
2008-11-26,25.0
2008-11-28,25.0
2008-12-01,25.0
2008-12-02,25.0
2008-12-03,25.0
2008-12-04,25.0
2008-12-05,25.0
2008-12-08,25.0
2008-12-09,25.0
2008-12-10,25.0
2008-12-11,25.0
2008-12-12,25.0
2008-12-15,25.0
2008-12-16,25.0
2009-12-04,0.2
2009-12-10,0.2
2009-12-11,0.2
2010-08-12,0.2
2011-03-25,0.3
2011-03-30,0.8
2011-06-09,0.3
2011-06-15,0.7
2011-08-16,0.0
2011-08-18,0.6
2012-03-01,0.1
2012-03-07,1.0
2012-09-07,0.1
2012-11-30,1.2
2013-04-03,0.1
2013-04-05,1.2
2013-08-07,2.3
2013-08-13,2.3
2013-08-14,1.2
2013-08-19,5.0
2013-08-20,5.0
2013-09-23,11.8
2013-09-24,12.7
2013-09-25,6.2
2013-09-26,9.4
2013-09-27,16.6
2013-09-30,58.2
2013-10-01,4.5
2013-10-02,2.7
2013-10-03,2.3
2013-10-04,1.4
2013-10-07,0.8
2013-10-08,0.7
2013-10-09,0.4
2013-10-10,2.0
2013-10-11,1.4
2013-10-15,2.1
2013-10-16,3.0
2013-10-17,3.1
2013-10-18,4.2
2013-10-21,4.9
2013-10-22,8.4
2013-10-23,15.7
2013-10-24,4.9
2013-10-25,3.3
2013-10-28,2.1
2013-10-29,1.9
2013-10-30,5.5
2013-10-31,13.9
2013-11-01,4.7
2013-11-04,4.1
2013-11-05,2.4
2013-11-06,6.7
2013-11-07,1.1
2013-11-08,1.5
2013-11-12,4.4
2013-11-13,4.0
2013-11-14,1.3
2013-11-15,0.3
2013-11-18,2.3
2013-11-19,5.1
2013-11-20,6.1
2013-11-21,5.6
2013-11-22,3.3
2013-11-25,3.4
2013-11-26,4.0
2013-11-27,5.7
2013-11-29,22.0
2013-12-02,8.0
2013-12-03,7.1
2013-12-04,11.1
2013-12-05,5.7
2013-12-06,7.4
2013-12-09,10.8
2013-12-10,14.2
2013-12-11,34.5
2013-12-12,26.1
2013-12-13,17.5
2013-12-16,6.1
2013-12-17,14.1
2013-12-18,11.1
2013-12-19,15.4
2013-12-20,26.5
2013-12-23,28.8
2013-12-24,42.2
2013-12-26,47.0
2013-12-27,95.0
2013-12-30,102.6
2013-12-31,197.8
2014-01-02,83.7
2014-01-03,56.7
2014-01-06,77.3
2014-01-07,60.3
2014-01-08,43.5
2014-01-09,51.2
2014-01-10,49.6
2014-01-13,60.5
2014-01-14,54.2
2014-01-15,46.8
2014-01-16,67.8
2014-01-17,73.0
2014-01-21,82.4
2014-01-22,93.7
2014-01-23,84.9
2014-01-24,72.5
2014-01-27,85.7
2014-01-28,94.5
2014-01-29,94.3
2014-01-30,98.3
2014-01-31,102.1
2014-02-03,69.9
2014-02-04,105.8
2014-02-05,100.4
2014-02-06,101.9
2014-02-07,101.1
2014-02-10,112.2
2014-02-11,98.9
2014-02-12,94.0
2014-02-13,101.2
2014-02-14,87.7
2014-02-18,70.8
2014-02-19,83.3
2014-02-20,84.3
2014-02-21,104.0
2014-02-24,96.1
2014-02-25,103.7
2014-02-26,130.1
2014-02-27,120.9
2014-02-28,114.5
2014-03-03,80.2
2014-03-04,66.1
2014-03-05,76.2
2014-03-06,55.5
2014-03-07,57.9
2014-03-10,71.9
2014-03-11,72.3
2014-03-12,66.2
2014-03-13,70.4
2014-03-14,54.3
2014-03-17,48.6
2014-03-18,78.6
2014-03-19,76.1
2014-03-20,80.6
2014-03-21,96.8
2014-03-24,79.6
2014-03-25,94.4
2014-03-26,101.9
2014-03-27,112.8
2014-03-28,128.2
2014-03-31,242.1
2014-04-01,113.0
2014-04-02,106.0
2014-04-03,96.4
2014-04-04,95.2
2014-04-07,94.7
2014-04-08,94.4
2014-04-09,89.0
2014-04-10,94.0
2014-04-11,80.9
2014-04-14,75.8
2014-04-15,64.9
2014-04-16,71.7
2014-04-21,129.8
2014-04-22,159.2
2014-04-23,148.0
2014-04-24,153.8
2014-04-25,166.2
2014-04-28,180.8
2014-04-29,183.3
2014-04-30,208.2
2014-05-01,175.9
2014-05-02,185.2
2014-05-05,199.9
2014-05-06,198.7
2014-05-07,193.7
2014-05-08,192.0
2014-05-09,186.5
2014-05-12,189.0
2014-05-13,204.8
2014-05-14,183.2
2014-05-15,192.4
2014-05-16,203.5
2014-05-19,202.0
2014-05-20,212.5
2014-05-21,220.7
2014-05-22,209.1
2014-05-23,182.1
2014-05-27,185.9
2014-05-28,171.3
2014-05-29,155.7
2014-05-30,164.7
2014-06-02,129.7
2014-06-03,131.0
2014-06-04,127.4
2014-06-05,103.8
2014-06-06,101.9
2014-06-09,105.0
2014-06-10,106.5
2014-06-11,110.9
2014-06-12,104.2
2014-06-13,67.6
2014-06-16,53.4
2014-06-17,53.4
2014-06-18,88.4
2014-06-19,95.9
2014-06-20,109.7
2014-06-23,120.3
2014-06-24,107.2
2014-06-25,119.7
2014-06-26,137.1
2014-06-27,140.9
2014-06-30,339.5
2014-07-01,150.6
2014-07-02,148.5
2014-07-03,136.0
2014-07-07,143.0
2014-07-08,136.4
2014-07-09,144.9
2014-07-10,125.9
2014-07-11,113.6
2014-07-14,108.7
2014-07-15,96.9
2014-07-16,105.8
2014-07-17,94.4
2014-07-18,113.5
2014-07-21,113.8
2014-07-22,127.2
2014-07-23,136.7
2014-07-24,87.9
2014-07-25,90.4
2014-07-28,103.8
2014-07-29,118.0
2014-07-30,115.8
2014-07-31,156.4
2014-08-01,101.0
2014-08-04,114.2
2014-08-05,118.2
2014-08-06,123.8
2014-08-07,129.0
2014-08-08,127.8
2014-08-11,128.4
2014-08-12,130.7
2014-08-13,135.6
2014-08-14,122.0
2014-08-15,116.8
2014-08-18,135.8
2014-08-19,143.1
2014-08-20,150.4
2014-08-21,145.4
2014-08-22,130.5
2014-08-25,152.2
2014-08-26,157.0
2014-08-27,179.8
2014-08-28,157.8
2014-08-29,172.6
2014-09-02,143.5
2014-09-03,151.0
2014-09-04,160.5
2014-09-05,160.2
2014-09-08,180.5
2014-09-09,168.6
2014-09-10,160.3
2014-09-11,167.4
2014-09-12,148.3
2014-09-15,135.9
2014-09-16,147.8
2014-09-17,156.9
2014-09-18,168.1
2014-09-19,169.5
2014-09-22,178.3
2014-09-23,174.4
2014-09-24,162.3
2014-09-25,158.1
2014-09-26,173.0
2014-09-29,194.6
2014-09-30,300.0
2014-10-01,212.5
2014-10-02,179.0
2014-10-03,184.7
2014-10-06,185.5
2014-10-07,184.5
2014-10-08,182.5
2014-10-09,167.8
2014-10-10,161.6
