as_of,value
2001-01-01,28.3
2001-02-01,24.7
2001-03-01,29.8
2001-04-01,26.9
2001-05-01,30.3
2001-06-01,28.0
2001-07-01,26.5
2001-08-01,30.8
2001-09-01,17.5
2001-10-01,28.3
2001-11-01,31.1
2001-12-01,26.8
2002-01-01,31.5
2002-02-01,29.0
2002-03-01,32.2
2002-04-01,33.9
2002-05-01,35.9
2002-06-01,33.3
2002-07-01,37.8
2002-08-01,39.7
2002-09-01,37.7
2002-10-01,41.2
2002-11-01,35.9
2002-12-01,33.8
2003-01-01,36.9
2003-02-01,34.6
2003-03-01,39.5
2003-04-01,35.0
2003-05-01,42.3
2003-06-01,44.0
2003-07-01,43.6
2003-08-01,40.0
2003-09-01,42.4
2003-10-01,45.2
2003-11-01,36.3
2003-12-01,42.5
2004-01-01,43.8
2004-02-01,41.2
2004-03-01,49.9
2004-04-01,48.6
2004-05-01,50.4
2004-06-01,52.6
2004-07-01,47.2
2004-08-01,52.5
2004-09-01,56.3
2004-10-01,49.2
2004-11-01,52.4
2004-12-01,54.7
2005-01-01,53.6
2005-02-01,53.8
2005-03-01,62.6
2005-04-01,57.3
2005-05-01,59.2
2005-06-01,62.7
2005-07-01,51.2
2005-08-01,59.9
2005-09-01,59.8
2005-10-01,52.9
2005-11-01,52.8
2005-12-01,53.1
2006-01-01,52.8
2006-02-01,52.1
2006-03-01,62.6
2006-04-01,47.0
2006-05-01,62.5
2006-06-01,60.5
2006-07-01,50.7
2006-08-01,62.6
2006-09-01,56.8
2006-10-01,57.2
2006-11-01,60.7
2006-12-01,56.3
2007-01-01,61.1
2007-02-01,57.5
2007-03-01,71.7
2007-04-01,60.2
2007-05-01,69.5
2007-06-01,72.5
2007-07-01,69.5
2007-08-01,86.3
2007-09-01,68.1
2007-10-01,75.8
2007-11-01,74.8
2007-12-01,69.4
2008-01-01,81.7
2008-02-01,81.4
2008-03-01,84.0
2008-04-01,79.0
2008-05-01,78.7
2008-06-01,78.8
2008-07-01,81.3
2008-08-01,76.6
2008-09-01,78.0
2008-10-01,72.9
2008-11-01,57.6
2008-12-01,57.4
2009-01-01,53.0
2009-02-01,53.9
2009-03-01,63.5
2009-04-01,56.7
2009-05-01,54.0
2009-06-01,63.0
2009-07-01,60.2
2009-08-01,57.1
2009-09-01,58.7
2009-10-01,57.3
2009-11-01,52.4
2009-12-01,59.0
2010-01-01,54.7
2010-02-01,54.6
2010-03-01,68.7
2010-04-01,62.7
2010-05-01,64.8
2010-06-01,68.0
2010-07-01,60.1
2010-08-01,69.1
2010-09-01,67.0
2010-10-01,67.3
2010-11-01,71.3
2010-12-01,70.8
2011-01-01,68.1
2011-02-01,68.0
2011-03-01,84.0
2011-04-01,65.9
2011-05-01,72.1
2011-06-01,78.7
2011-07-01,66.6
2011-08-01,80.0
2011-09-01,69.7
2011-10-01,63.7
2011-11-01,62.6
2011-12-01,59.4
2012-01-01,60.0
2012-02-01,63.6
2012-03-01,68.8
2012-04-01,63.1
2012-05-01,69.0
2012-06-01,62.7
2012-07-01,62.1
2012-08-01,68.7
2012-09-01,60.4
2012-10-01,64.8
2012-11-01,63.2
2012-12-01,60.7
2013-01-01,68.9
2013-02-01,64.2
2013-03-01,63.9
2013-04-01,69.1
2013-05-01,72.2
2013-06-01,66.9
2013-07-01,63.7
2013-08-01,63.9
2013-09-01,61.7
2013-10-01,66.9
2013-11-01,54.7
2013-12-01,58.4
2014-01-01,60.6
2014-02-01,55.2
2014-03-01,63.2
2014-04-01,59.8
2014-05-01,59.4
2014-06-01,61.9
2014-07-01,61.2
2014-08-01,59.3
2014-09-01,62.2
2014-10-01,67.9
2014-11-01,51.5
2014-12-01,63.7
2015-01-01,60.2
2015-02-01,57.5
2015-03-01,65.2
2015-04-01,60.7
2015-05-01,60.7
2015-06-01,65.4
2015-07-01,62.9
2015-08-01,61.7
2015-09-01,63.7
2015-10-01,61.6
2015-11-01,58.9
2015-12-01,64.1
2016-01-01,59.1
2016-02-01,63.3
2016-03-01,66.9
2016-04-01,61.6
2016-05-01,62.8
2016-06-01,66.2
2016-07-01,59.0
2016-08-01,66.1
2016-09-01,65.2
2016-10-01,62.1
2016-11-01,66.4
2016-12-01,62.8
2017-01-01,62.7
2017-02-01,59.7
2017-03-01,73.5
2017-04-01,61.5
2017-05-01,70.2
2017-06-01,72.0
2017-07-01,62.1
2017-08-01,71.6
2017-09-01,66.5
2017-10-01,71.5
2017-11-01,73.8
2017-12-01,70.6
2018-01-01,76.5
2018-02-01,72.8
2018-03-01,76.4
2018-04-01,71.5
2018-05-01,76.7
2018-06-01,72.5
2018-07-01,67.6
2018-08-01,73.7
2018-09-01,66.3
2018-10-01,82.4
2018-11-01,75.7
2018-12-01,82.2
2019-01-01,94.6
2019-02-01,80.1
2019-03-01,88.2
2019-04-01,87.2
2019-05-01,99.2
2019-06-01,97.0
2019-07-01,101.6
2019-08-01,110.5
2019-09-01,98.0
2019-10-01,98.3
2019-11-01,83.7
2019-12-01,95.1
2020-01-01,97.0
2020-02-01,93.3
2020-03-01,124.2
2020-04-01,101.0
2020-05-01,89.6
2020-06-01,96.9
2020-07-01,93.8
2020-08-01,87.4
2020-09-01,86.5
