as_of,value
2021-08-23,109.6
2021-08-24,108.9
2021-08-25,109.7
2021-08-26,105.5
2021-08-27,102.8
2021-08-30,100.5
2021-08-31,129.7
2021-09-01,110.1
2021-09-02,118.2
2021-09-03,102.8
2021-09-07,112.4
2021-09-08,106.2
2021-09-09,104.1
2021-09-10,97.1
2021-09-13,108.3
2021-09-14,102.0
2021-09-15,109.6
2021-09-16,100.1
2021-09-17,104.7
2021-09-20,109.1
2021-09-21,99.3
2021-09-22,102.2
2021-09-23,100.2
2021-09-24,99.1
2021-09-27,101.2
2021-09-28,96.6
2021-09-29,110.4
2021-09-30,127.7
2021-10-01,104.7
2021-10-04,97.9
2021-10-05,97.8
2021-10-06,96.0
2021-10-07,94.4
2021-10-08,89.8
2021-10-12,81.3
2021-10-13,98.5
2021-10-14,81.0
2021-10-15,89.2
2021-10-18,88.5
2021-10-19,86.5
2021-10-20,87.1
2021-10-21,86.0
2021-10-22,84.3
2021-10-25,84.5
2021-10-26,83.8
2021-10-27,83.2
2021-10-28,88.5
2021-10-29,84.6
2021-11-01,92.4
2021-11-02,87.7
2021-11-03,88.0
2021-11-04,84.3
2021-11-05,87.7
2021-11-08,88.2
2021-11-09,81.7
2021-11-10,93.8
2021-11-12,85.5
2021-11-15,87.4
2021-11-16,87.9
2021-11-17,86.7
2021-11-18,81.0
2021-11-19,83.6
2021-11-22,87.0
2021-11-23,89.6
2021-11-24,97.6
2021-11-26,96.6
2021-11-29,111.1
2021-11-30,128.6
2021-12-01,129.3
2021-12-02,122.2
2021-12-03,119.8
2021-12-06,122.0
2021-12-07,117.9
2021-12-08,126.0
2021-12-09,121.3
2021-12-10,119.7
2021-12-13,121.6
2021-12-14,123.1
2021-12-15,127.3
2021-12-16,125.2
2021-12-17,127.1
2021-12-20,127.3
2021-12-21,123.6
2021-12-22,118.3
2021-12-23,119.0
2021-12-27,116.3
2021-12-28,117.9
2021-12-29,130.6
2021-12-30,143.7
2021-12-31,170.7
2022-01-03,140.1
2022-01-04,137.6
2022-01-05,130.5
2022-01-06,124.2
2022-01-07,126.8
2022-01-10,121.5
2022-01-11,118.5
2022-01-12,117.3
2022-01-13,115.1
2022-01-14,111.2
2022-01-18,121.5
2022-01-19,120.5
2022-01-20,122.1
2022-01-21,111.2
2022-01-24,110.2
2022-01-25,108.9
2022-01-26,109.8
2022-01-27,107.4
2022-01-28,120.3
2022-01-31,130.4
2022-02-01,124.1
2022-02-02,113.4
2022-02-03,112.6
2022-02-04,105.3
2022-02-07,109.7
2022-02-08,105.8
2022-02-09,108.8
2022-02-10,108.2
2022-02-11,102.5
2022-02-14,110.8
2022-02-15,122.5
2022-02-16,120.4
2022-02-17,118.8
2022-02-18,109.3
2022-02-22,125.4
2022-02-23,114.6
2022-02-24,115.0
2022-02-25,134.1
2022-02-28,135.3
2022-03-01,148.2
2022-03-02,137.5
2022-03-03,137.1
