as_of,value
2021-08-23,152.8
2021-08-24,149.0
2021-08-25,158.9
2021-08-26,157.5
2021-08-27,159.6
2021-08-30,152.4
2021-08-31,178.8
2021-09-01,180.0
2021-09-02,186.2
2021-09-03,172.9
2021-09-07,173.8
2021-09-08,170.1
2021-09-09,169.9
2021-09-10,175.6
2021-09-13,181.9
2021-09-14,171.7
2021-09-15,181.6
2021-09-16,172.6
2021-09-17,157.2
2021-09-20,151.9
2021-09-21,156.5
2021-09-22,155.8
2021-09-23,156.2
2021-09-24,160.8
2021-09-27,161.3
2021-09-28,151.6
2021-09-29,152.9
2021-09-30,185.9
2021-10-01,176.1
2021-10-04,170.8
2021-10-05,169.8
2021-10-06,161.1
2021-10-07,165.1
2021-10-08,163.5
2021-10-12,167.7
2021-10-13,159.5
2021-10-14,151.6
2021-10-15,148.6
2021-10-18,150.4
2021-10-19,149.3
2021-10-20,151.3
2021-10-21,144.2
2021-10-22,153.6
2021-10-25,154.5
2021-10-26,163.1
2021-10-27,165.6
2021-10-28,169.5
2021-10-29,156.1
2021-11-01,177.9
2021-11-02,174.6
2021-11-03,176.3
2021-11-04,179.2
2021-11-05,181.9
2021-11-08,181.6
2021-11-09,182.2
2021-11-10,175.2
2021-11-12,172.1
2021-11-15,196.0
2021-11-16,183.9
2021-11-17,174.5
2021-11-18,169.5
2021-11-19,175.6
2021-11-22,185.0
2021-11-23,194.2
2021-11-24,183.4
2021-11-26,193.7
2021-11-29,196.5
2021-11-30,247.4
2021-12-01,242.0
2021-12-02,237.8
2021-12-03,214.5
2021-12-06,213.2
2021-12-07,209.3
2021-12-08,209.5
2021-12-09,206.4
2021-12-10,200.6
2021-12-13,186.3
2021-12-14,182.4
2021-12-15,185.7
2021-12-16,188.2
2021-12-17,188.7
2021-12-20,182.6
2021-12-21,173.0
2021-12-22,180.1
2021-12-23,180.9
2021-12-27,179.9
2021-12-28,182.4
2021-12-29,193.8
2021-12-30,205.6
2021-12-31,245.1
2022-01-03,213.0
2022-01-04,230.0
2022-01-05,216.2
2022-01-06,209.5
2022-01-07,202.1
2022-01-10,195.2
2022-01-11,190.4
2022-01-12,186.0
2022-01-13,188.5
2022-01-14,187.5
2022-01-18,196.6
2022-01-19,187.2
2022-01-20,188.8
2022-01-21,180.3
2022-01-24,184.7
2022-01-25,185.7
2022-01-26,185.2
2022-01-27,183.7
2022-01-28,186.4
2022-01-31,206.3
2022-02-01,210.9
2022-02-02,194.1
2022-02-03,200.7
2022-02-04,188.7
2022-02-07,189.8
2022-02-08,191.2
2022-02-09,192.0
2022-02-10,200.2
2022-02-11,200.8
2022-02-14,202.1
2022-02-15,211.6
2022-02-16,205.4
2022-02-17,206.1
2022-02-18,210.1
2022-02-22,206.6
2022-02-23,200.1
2022-02-24,204.9
2022-02-25,211.8
2022-02-28,253.2
2022-03-01,252.6
2022-03-02,237.2
2022-03-03,229.7
2022-03-04,218.8
2022-03-07,231.5
2022-03-08,208.6
2022-03-09,215.0
2022-03-10,211.3
2022-03-11,216.0
2022-03-14,208.1
2022-03-15,216.7
2022-03-16,219.1
2022-03-17,215.3
2022-03-18,211.6
2022-03-21,199.3
2022-03-22,193.4
2022-03-23,188.1
2022-03-24,197.1
2022-03-25,194.3
2022-03-28,183.2
2022-03-29,193.3
2022-03-30,199.3
2022-03-31,231.2
2022-04-01,209.0
2022-04-04,200.1
2022-04-05,198.1
2022-04-06,197.7
2022-04-07,188.1
2022-04-08,189.7
2022-04-11,187.3
2022-04-12,187.0
2022-04-13,194.0
2022-04-14,189.0
2022-04-18,194.7
2022-04-19,195.9
2022-04-20,201.5
2022-04-21,190.1
2022-04-22,185.1
2022-04-25,188.3
2022-04-26,188.0
2022-04-27,184.6
2022-04-28,188.0
2022-04-29,195.9
2022-05-02,207.4
2022-05-03,186.2
2022-05-04,183.2
2022-05-05,191.7
2022-05-06,185.3
2022-05-09,180.3
2022-05-10,177.4
2022-05-11,177.0
2022-05-12,173.7
2022-05-13,175.8
2022-05-16,208.0
2022-05-17,181.2
2022-05-18,182.5
2022-05-19,190.8
2022-05-20,195.0
2022-05-23,193.6
2022-05-24,195.6
2022-05-25,193.0
2022-05-26,193.6
2022-05-27,188.2
2022-05-31,207.6
2022-06-01,199.1
2022-06-02,203.7
2022-06-03,202.7
2022-06-06,210.6
2022-06-07,202.0
2022-06-08,194.1
2022-06-09,193.3
2022-06-10,189.2
2022-06-13,178.6
2022-06-14,159.6
2022-06-15,161.2
2022-06-16,163.0
2022-06-17,171.5
2022-06-21,177.1
2022-06-22,172.0
2022-06-23,180.3
2022-06-24,181.7
2022-06-27,185.6
2022-06-28,183.1
2022-06-29,174.7
2022-06-30,186.6
2022-07-01,172.1
2022-07-05,190.1
2022-07-06,161.4
2022-07-07,167.1
2022-07-08,163.3
2022-07-11,168.0
2022-07-12,160.9
2022-07-13,158.9
2022-07-14,160.3
2022-07-15,169.9
2022-07-18,160.7
2022-07-19,160.3
2022-07-20,160.6
2022-07-21,160.3
2022-07-22,155.4
2022-07-25,169.5
2022-07-26,180.5
2022-07-27,172.2
2022-07-28,160.4
2022-07-29,155.9
2022-08-01,187.2
2022-08-02,194.4
2022-08-03,158.9
2022-08-04,161.4
2022-08-05,161.5
2022-08-08,161.1
2022-08-09,165.5
2022-08-10,159.1
2022-08-11,161.4
2022-08-12,154.6
2022-08-15,168.9
2022-08-16,162.7
2022-08-17,158.2
2022-08-18,163.4
2022-08-19,164.5
2022-08-22,167.7
2022-08-23,164.6
2022-08-24,163.6
2022-08-25,172.1
2022-08-26,164.2
2022-08-29,165.9
2022-08-30,169.4
2022-08-31,169.0
2022-09-01,163.3
2022-09-02,159.3
2022-09-06,163.9
2022-09-07,158.4
2022-09-08,161.7
2022-09-09,152.6
2022-09-12,152.3
2022-09-13,149.9
2022-09-14,147.6
2022-09-15,154.6
2022-09-16,150.4
2022-09-19,149.6
2022-09-20,148.8
2022-09-21,146.0
2022-09-22,163.1
2022-09-23,153.8
2022-09-26,157.8
2022-09-27,162.4
2022-09-28,158.3
2022-09-29,156.3
2022-09-30,189.2
2022-10-03,179.9
2022-10-04,185.6
2022-10-05,178.2
2022-10-06,185.7
2022-10-07,183.9
2022-10-11,183.8
2022-10-12,170.7
2022-10-13,177.7
2022-10-14,153.1
2022-10-17,179.9
2022-10-18,162.3
2022-10-19,158.6
2022-10-20,160.8
2022-10-21,150.6
2022-10-24,149.4
2022-10-25,172.2
2022-10-26,169.9
2022-10-27,176.0
2022-10-28,168.6
2022-10-31,198.9
2022-11-01,206.1
2022-11-02,182.5
2022-11-03,189.0
2022-11-04,174.6
2022-11-07,170.3
2022-11-08,176.3
2022-11-09,174.1
2022-11-10,183.6
2022-11-14,193.2
2022-11-15,247.9
2022-11-16,237.3
2022-11-17,220.8
2022-11-18,202.2
2022-11-21,195.5
2022-11-22,203.8
2022-11-23,196.8
2022-11-25,213.8
2022-11-28,222.5
2022-11-29,231.9
2022-11-30,249.1
2022-12-01,267.1
2022-12-02,271.9
2022-12-05,256.8
2022-12-06,245.0
2022-12-07,237.4
2022-12-08,239.2
2022-12-09,238.9
2022-12-12,241.1
2022-12-13,250.6
2022-12-14,246.7
2022-12-15,282.3
2022-12-16,268.5
2022-12-19,251.5
2022-12-20,233.5
2022-12-21,225.4
2022-12-22,231.9
2022-12-23,234.7
2022-12-27,254.5
2022-12-28,250.1
2022-12-29,263.4
2022-12-30,273.0
2023-01-03,313.4
2023-01-04,289.2
2023-01-05,281.8
2023-01-06,278.8
2023-01-09,275.6
2023-01-10,277.6
2023-01-11,274.9
2023-01-12,283.3
2023-01-13,277.7
2023-01-17,321.3
2023-01-18,283.1
2023-01-19,305.9
2023-01-20,297.4
2023-01-23,284.1
2023-01-24,299.5
2023-01-25,295.8
2023-01-26,306.4
2023-01-27,293.9
2023-01-30,290.8
2023-01-31,329.9
2023-02-01,324.7
2023-02-02,330.9
2023-02-03,328.8
2023-02-06,308.0
2023-02-07,319.9
2023-02-08,313.0
2023-02-09,324.9
2023-02-10,315.2
2023-02-13,306.5
2023-02-14,315.5
2023-02-15,322.6
2023-02-16,327.8
2023-02-17,297.7
2023-02-21,297.6
2023-02-22,282.1
2023-02-23,283.6
2023-02-24,273.5
2023-02-27,269.7
2023-02-28,325.5
2023-03-01,304.4
2023-03-02,296.4
2023-03-03,278.2
2023-03-06,272.8
2023-03-07,292.6
2023-03-08,277.4
2023-03-09,277.2
2023-03-10,280.9
2023-03-13,291.8
2023-03-14,325.4
2023-03-15,345.4
2023-03-16,368.3
2023-03-17,341.8
2023-03-20,332.7
2023-03-21,311.3
2023-03-22,323.3
2023-03-23,364.9
2023-03-24,376.6
2023-03-27,376.4
2023-03-28,384.7
2023-03-29,358.5
2023-03-30,372.2
2023-03-31,400.6
2023-04-03,385.9
2023-04-04,398.2
2023-04-05,390.9
2023-04-06,391.0
2023-04-10,375.1
2023-04-11,363.3
2023-04-12,347.8
2023-04-13,353.9
2023-04-14,362.0
2023-04-17,367.7
2023-04-18,367.5
2023-04-19,338.0
2023-04-20,339.3
2023-04-21,332.5
2023-04-24,325.2
2023-04-25,348.4
2023-04-26,348.9
2023-04-27,373.3
2023-04-28,378.8
2023-05-01,412.6
2023-05-02,410.7
2023-05-03,420.5
2023-05-04,423.9
2023-05-05,424.1
2023-05-08,407.8
2023-05-09,411.1
2023-05-10,404.9
2023-05-11,371.2
2023-05-12,374.5
2023-05-15,400.2
2023-05-16,408.8
2023-05-17,392.5
2023-05-18,393.9
2023-05-19,378.3
2023-05-22,377.5
2023-05-23,392.3
2023-05-24,401.7
2023-05-25,419.2
2023-05-26,406.2
2023-05-30,412.8
2023-05-31,463.8
2023-06-01,448.5
2023-06-02,431.4
2023-06-05,406.4
2023-06-06,401.1
2023-06-07,376.3
2023-06-08,379.5
2023-06-09,373.6
2023-06-12,370.4
2023-06-13,376.7
2023-06-14,358.9
2023-06-15,411.1
2023-06-16,384.4
2023-06-20,407.0
2023-06-21,376.9
2023-06-22,393.9
2023-06-23,386.3
2023-06-26,399.5
2023-06-27,415.8
2023-06-28,408.6
2023-06-29,421.9
2023-06-30,463.9
2023-07-03,423.2
2023-07-05,429.9
2023-07-06,427.4
2023-07-07,420.4
2023-07-10,423.2
2023-07-11,437.1
2023-07-12,416.5
2023-07-13,448.4
2023-07-14,449.5
2023-07-17,457.4
2023-07-18,442.4
2023-07-19,443.4
2023-07-20,432.2
2023-07-21,411.6
2023-07-24,410.7
2023-07-25,446.9
2023-07-26,433.4
2023-07-27,435.0
2023-07-28,418.9
2023-07-31,455.3
2023-08-01,441.5
2023-08-02,441.6
2023-08-03,416.2
2023-08-04,403.6
2023-08-07,385.4
2023-08-08,412.1
2023-08-09,396.0
2023-08-10,426.2
2023-08-11,408.3
2023-08-14,401.5
2023-08-15,443.7
2023-08-16,418.8
2023-08-17,410.1
2023-08-18,386.3
2023-08-21,371.6
2023-08-22,392.3
2023-08-23,393.2
2023-08-24,432.6
2023-08-25,437.0
2023-08-28,425.5
2023-08-29,419.6
2023-08-30,411.2
2023-08-31,487.6
2023-09-01,465.9
2023-09-05,463.7
2023-09-06,438.3
2023-09-07,467.3
2023-09-08,467.8
2023-09-11,441.2
2023-09-12,471.2
2023-09-13,436.5
2023-09-14,462.9
2023-09-15,498.1
2023-09-18,474.7
2023-09-19,486.1
2023-09-20,468.0
2023-09-21,487.9
2023-09-22,477.4
2023-09-25,482.5
2023-09-26,484.3
2023-09-27,458.4
2023-09-28,467.9
2023-09-29,503.3
2023-10-02,515.8
2023-10-03,504.4
2023-10-04,490.4
2023-10-05,527.4
2023-10-06,491.0
2023-10-10,525.9
2023-10-11,499.6
2023-10-12,505.3
2023-10-13,494.4
2023-10-16,497.1
2023-10-17,503.2
2023-10-18,461.6
2023-10-19,457.0
2023-10-20,436.5
2023-10-23,433.5
2023-10-24,446.8
2023-10-25,466.1
2023-10-26,474.9
2023-10-27,464.7
2023-10-30,451.5
2023-10-31,513.1
2023-11-01,512.5
2023-11-02,506.0
2023-11-03,491.0
2023-11-06,510.9
2023-11-07,519.1
2023-11-08,493.4
2023-11-09,512.7
2023-11-10,476.9
2023-11-13,477.2
2023-11-14,490.6
2023-11-15,522.0
2023-11-16,526.7
2023-11-17,506.0
2023-11-20,490.6
2023-11-21,502.2
2023-11-22,506.5
2023-11-24,525.1
2023-11-27,531.0
2023-11-28,521.3
2023-11-29,497.6
2023-11-30,564.7
2023-12-01,577.2
2023-12-04,566.6
2023-12-05,555.9
2023-12-06,558.1
2023-12-07,551.9
2023-12-08,557.4
2023-12-11,547.9
2023-12-12,555.1
2023-12-13,542.1
2023-12-14,575.4
2023-12-15,599.8
2023-12-18,579.3
2023-12-19,570.7
2023-12-20,575.2
2023-12-21,588.5
2023-12-22,605.0
2023-12-26,599.0
2023-12-27,605.3
2023-12-28,634.1
2023-12-29,638.3
2024-01-02,638.2
2024-01-03,624.6
2024-01-04,641.3
2024-01-05,622.0
2024-01-08,601.9
2024-01-09,617.7
2024-01-10,588.3
2024-01-11,599.1
2024-01-12,583.6
2024-01-16,599.3
2024-01-17,587.5
2024-01-18,551.8
2024-01-19,522.1
2024-01-22,514.9
2024-01-23,523.6
2024-01-24,543.1
2024-01-25,577.5
