as_of,value
2021-08-23,262.4
2021-08-24,257.8
2021-08-25,268.6
2021-08-26,263.0
2021-08-27,262.4
2021-08-30,252.8
2021-08-31,308.5
2021-09-01,290.0
2021-09-02,304.4
2021-09-03,275.7
2021-09-07,286.2
2021-09-08,276.3
2021-09-09,274.1
2021-09-10,272.7
2021-09-13,290.2
2021-09-14,273.8
2021-09-15,291.2
2021-09-16,272.7
2021-09-17,261.8
2021-09-20,261.1
2021-09-21,255.8
2021-09-22,258.0
2021-09-23,256.4
2021-09-24,259.9
2021-09-27,262.5
2021-09-28,248.2
2021-09-29,263.3
2021-09-30,313.7
2021-10-01,280.9
2021-10-04,268.6
2021-10-05,267.7
2021-10-06,257.1
2021-10-07,259.5
2021-10-08,253.3
2021-10-12,249.0
2021-10-13,258.1
2021-10-14,232.6
2021-10-15,237.8
2021-10-18,238.9
2021-10-19,235.8
2021-10-20,238.4
2021-10-21,230.2
2021-10-22,237.9
2021-10-25,239.0
2021-10-26,246.9
2021-10-27,248.8
2021-10-28,258.0
2021-10-29,240.7
2021-11-01,270.3
2021-11-02,262.3
2021-11-03,264.3
2021-11-04,263.6
2021-11-05,269.6
2021-11-08,269.8
2021-11-09,263.9
2021-11-10,269.1
2021-11-12,257.7
2021-11-15,283.4
2021-11-16,271.8
2021-11-17,261.3
2021-11-18,250.5
2021-11-19,259.2
2021-11-22,272.0
2021-11-23,283.8
2021-11-24,280.9
2021-11-26,290.3
2021-11-29,307.6
2021-11-30,376.0
2021-12-01,371.3
2021-12-02,360.0
2021-12-03,334.3
2021-12-06,335.2
2021-12-07,327.2
2021-12-08,335.6
2021-12-09,327.7
2021-12-10,320.3
2021-12-13,307.9
2021-12-14,305.4
2021-12-15,313.0
2021-12-16,313.4
2021-12-17,315.8
2021-12-20,309.9
2021-12-21,296.6
2021-12-22,298.4
2021-12-23,300.0
2021-12-27,296.2
2021-12-28,300.3
2021-12-29,324.4
2021-12-30,349.3
2021-12-31,415.8
2022-01-03,353.1
2022-01-04,367.6
2022-01-05,346.6
2022-01-06,333.7
2022-01-07,328.9
2022-01-10,316.7
2022-01-11,308.9
2022-01-12,303.3
2022-01-13,303.6
2022-01-14,298.8
2022-01-18,318.1
2022-01-19,307.7
2022-01-20,310.8
2022-01-21,291.5
2022-01-24,294.9
2022-01-25,294.6
2022-01-26,295.0
2022-01-27,291.1
2022-01-28,306.6
2022-01-31,336.6
2022-02-01,335.1
2022-02-02,307.5
2022-02-03,313.2
2022-02-04,294.1
2022-02-07,299.5
2022-02-08,297.0
2022-02-09,300.9
2022-02-10,308.4
2022-02-11,303.3
2022-02-14,312.9
2022-02-15,334.1
2022-02-16,325.8
2022-02-17,324.9
2022-02-18,319.4
2022-02-22,332.0
2022-02-23,314.7
2022-02-24,319.9
2022-02-25,345.9
2022-02-28,388.5
2022-03-01,400.8
2022-03-02,374.7
2022-03-03,366.8
2022-03-04,346.0
2022-03-07,368.6
2022-03-08,338.8
2022-03-09,347.0
2022-03-10,334.5
2022-03-11,338.8
2022-03-14,332.1
2022-03-15,344.3
2022-03-16,349.7
2022-03-17,340.0
2022-03-18,338.1
2022-03-21,326.2
2022-03-22,310.0
2022-03-23,301.2
2022-03-24,312.7
2022-03-25,315.0
2022-03-28,305.4
2022-03-29,312.2
2022-03-30,338.7
2022-03-31,400.8
2022-04-01,345.7
2022-04-04,338.9
2022-04-05,325.7
2022-04-06,324.2
2022-04-07,310.1
2022-04-08,301.6
2022-04-11,306.4
2022-04-12,301.0
2022-04-13,311.8
2022-04-14,303.5
2022-04-18,308.4
2022-04-19,318.4
2022-04-20,318.1
2022-04-21,311.7
2022-04-22,305.7
2022-04-25,304.8
2022-04-26,301.2
2022-04-27,300.3
2022-04-28,308.0
2022-04-29,328.2
2022-05-02,341.1
