as_of,value
2001-01-03,685.8
2001-01-10,656.2
2001-01-17,656.0
2001-01-24,658.9
2001-01-31,659.2
2001-02-07,658.7
2001-02-14,658.1
2001-02-21,655.3
2001-02-28,646.3
2001-03-07,639.9
2001-03-14,639.6
2001-03-21,641.5
2001-03-28,647.7
2001-04-04,663.4
2001-04-11,670.7
2001-04-18,661.9
2001-04-25,669.0
2001-05-02,674.1
2001-05-09,670.5
2001-05-16,662.9
2001-05-23,647.5
2001-05-30,633.6
2001-06-06,628.2
2001-06-13,640.9
2001-06-20,646.4
2001-06-27,653.4
2001-07-04,657.9
2001-07-11,646.6
2001-07-18,644.2
2001-07-25,635.8
2001-08-01,627.1
2001-08-08,614.4
2001-08-15,595.5
2001-08-22,580.5
2001-08-29,576.3
2001-09-05,564.2
2001-09-12,539.8
2001-09-19,577.6
2001-09-26,589.8
2001-10-03,575.2
2001-10-10,573.2
2001-10-17,563.7
2001-10-24,552.1
2001-10-31,566.6
2001-11-07,560.9
2001-11-14,558.1
2001-11-21,557.0
2001-11-28,555.9
2001-12-05,549.6
2001-12-12,549.1
2001-12-19,556.4
2001-12-26,564.7
2002-01-02,563.1
2002-01-09,556.6
2002-01-16,559.8
2002-01-23,554.7
2002-01-30,547.9
2002-02-06,545.4
2002-02-13,546.8
2002-02-20,548.9
2002-02-27,552.7
2002-03-06,556.7
2002-03-13,556.3
2002-03-20,557.0
2002-03-27,539.6
2002-04-03,539.6
2002-04-10,540.5
2002-04-17,543.2
2002-04-24,543.3
2002-05-01,537.3
2002-05-08,537.4
2002-05-15,537.5
2002-05-22,536.8
2002-05-29,536.8
2002-06-05,536.7
2002-06-12,541.3
2002-06-19,531.6
2002-06-26,530.5
2002-07-03,531.0
2002-07-10,530.0
2002-07-17,526.1
2002-07-24,527.9
2002-07-31,526.2
2002-08-07,526.1
2002-08-14,526.7
2002-08-21,528.8
2002-08-28,526.7
2002-09-04,524.4
2002-09-11,525.3
2002-09-18,529.2
2002-09-25,521.5
2002-10-02,518.4
2002-10-09,523.3
2002-10-16,524.2
2002-10-23,524.6
2002-10-30,520.7
2002-11-06,525.0
2002-11-13,526.3
2002-11-20,525.5
2002-11-27,528.2
2002-12-04,534.3
2002-12-11,530.6
2002-12-18,530.1
2002-12-25,526.9
2003-01-01,529.3
2003-01-08,538.8
2003-01-15,538.7
2003-01-22,539.1
2003-01-29,544.9
2003-02-05,552.3
2003-02-12,536.4
2003-02-19,528.2
2003-02-26,525.9
2003-03-05,518.2
2003-03-12,521.1
2003-03-19,516.9
2003-03-26,538.4
2003-04-02,538.4
2003-04-09,543.4
2003-04-16,547.1
2003-04-23,542.5
2003-04-30,539.3
2003-05-07,539.2
2003-05-14,537.7
2003-05-21,532.1
2003-05-28,536.3
2003-06-04,542.4
2003-06-11,543.3
2003-06-18,546.9
2003-06-25,544.8
2003-07-02,553.9
2003-07-09,561.2
2003-07-16,551.9
2003-07-23,543.4
2003-07-30,526.6
2003-08-06,516.2
2003-08-13,523.8
2003-08-20,518.2
2003-08-27,512.6
2003-09-03,503.4
2003-09-10,505.7
2003-09-17,507.8
2003-09-24,510.4
2003-10-01,501.1
2003-10-08,509.5
2003-10-15,516.6
2003-10-22,517.6
2003-10-29,526.2
2003-11-05,533.8
2003-11-12,530.5
2003-11-19,521.5
2003-11-26,515.6
2003-12-03,512.7
2003-12-10,511.9
2003-12-17,514.1
2003-12-24,506.4
2003-12-31,508.2
2004-01-07,524.4
2004-01-14,533.6
2004-01-21,531.1
2004-01-28,538.1
2004-02-04,539.2
2004-02-11,540.5
2004-02-18,542.1
2004-02-25,537.5
2004-03-03,538.0
2004-03-10,538.7
2004-03-17,539.4
2004-03-24,539.2
2004-03-31,538.6
2004-04-07,535.7
2004-04-14,532.4
2004-04-21,533.1
2004-04-28,541.0
2004-05-05,542.0
2004-05-12,543.9
2004-05-19,544.7
2004-05-26,543.6
2004-06-02,544.7
2004-06-09,549.3
2004-06-16,539.3
2004-06-23,546.8
2004-06-30,543.6
2004-07-07,550.4
2004-07-14,551.8
2004-07-21,552.5
2004-07-28,556.5
2004-08-04,549.7
2004-08-11,550.9
2004-08-18,548.7
2004-08-25,554.4
2004-09-01,556.9
2004-09-08,554.9
2004-09-15,553.0
2004-09-22,555.7
2004-09-29,565.4
2004-10-06,562.5
2004-10-13,563.5
2004-10-20,562.3
2004-10-27,570.0
2004-11-03,567.4
