as_of,value
1997-01-01,68.9
1997-02-01,67.1
1997-03-01,69.6
1997-04-01,64.8
1997-05-01,66.9
1997-06-01,72.4
1997-07-01,73.7
1997-08-01,71.2
1997-09-01,73.1
1997-10-01,80.3
1997-11-01,77.3
1997-12-01,88.6
1998-01-01,83.4
1998-02-01,81.9
1998-03-01,85.6
1998-04-01,85.8
1998-05-01,80.2
1998-06-01,87.9
1998-07-01,92.7
1998-08-01,100.1
1998-09-01,103.9
1998-10-01,108.2
1998-11-01,108.0
1998-12-01,111.5
1999-01-01,107.2
1999-02-01,109.5
1999-03-01,109.9
1999-04-01,112.3
1999-05-01,114.3
1999-06-01,117.0
1999-07-01,115.0
1999-08-01,117.1
1999-09-01,121.2
1999-10-01,123.5
1999-11-01,131.8
1999-12-01,146.6
2000-01-01,148.6
2000-02-01,153.5
2000-03-01,168.0
2000-04-01,156.9
2000-05-01,153.8
2000-06-01,153.1
2000-07-01,163.1
2000-08-01,156.8
2000-09-01,161.0
2000-10-01,172.7
2000-11-01,186.5
2000-12-01,198.2
2001-01-01,187.2
2001-02-01,193.3
2001-03-01,198.6
2001-04-01,191.1
2001-05-01,183.5
2001-06-01,187.6
2001-07-01,185.1
2001-08-01,191.2
2001-09-01,211.3
2001-10-01,187.0
2001-11-01,188.4
2001-12-01,197.4
2002-01-01,189.8
2002-02-01,186.9
2002-03-01,180.6
2002-04-01,175.7
2002-05-01,173.4
2002-06-01,178.7
2002-07-01,183.3
2002-08-01,175.0
2002-09-01,181.0
2002-10-01,181.1
2002-11-01,176.1
2002-12-01,184.7
2003-01-01,179.5
2003-02-01,179.9
2003-03-01,177.0
2003-04-01,168.8
2003-05-01,178.9
2003-06-01,190.0
2003-07-01,200.0
2003-08-01,188.1
2003-09-01,189.8
2003-10-01,191.6
2003-11-01,184.9
2003-12-01,199.3
2004-01-01,198.6
2004-02-01,200.3
2004-03-01,204.0
2004-04-01,218.0
2004-05-01,219.6
2004-06-01,220.8
2004-07-01,220.2
2004-08-01,217.9
2004-09-01,220.9
2004-10-01,218.1
2004-11-01,223.9
2004-12-01,238.2
2005-01-01,230.6
2005-02-01,224.4
2005-03-01,234.5
2005-04-01,223.8
2005-05-01,224.9
2005-06-01,234.4
2005-07-01,224.2
2005-08-01,225.4
2005-09-01,238.9
2005-10-01,243.2
2005-11-01,241.7
2005-12-01,263.2
2006-01-01,255.8
2006-02-01,257.6
2006-03-01,258.9
2006-04-01,259.3
2006-05-01,264.3
2006-06-01,280.3
2006-07-01,269.4
2006-08-01,269.4
2006-09-01,268.6
2006-10-01,267.5
2006-11-01,290.9
2006-12-01,299.0
2007-01-01,292.5
2007-02-01,300.1
2007-03-01,305.5
2007-04-01,314.7
2007-05-01,334.4
2007-06-01,347.6
2007-07-01,381.0
2007-08-01,381.6
2007-09-01,377.4
2007-10-01,392.5
2007-11-01,426.7
2007-12-01,456.4
2008-01-01,474.5
2008-02-01,454.8
2008-03-01,488.8
2008-04-01,472.4
2008-05-01,470.2
2008-06-01,499.6
2008-07-01,519.2
2008-08-01,530.0
2008-09-01,381.7
2008-10-01,383.4
2008-11-01,364.2
2008-12-01,345.7
2009-01-01,316.8
2009-02-01,310.5
2009-03-01,291.9
2009-04-01,285.7
2009-05-01,275.3
2009-06-01,283.9
2009-07-01,277.1
2009-08-01,282.0
2009-09-01,287.2
2009-10-01,299.9
2009-11-01,284.1
2009-12-01,281.0
2010-01-01,281.0
2010-02-01,106.1
2010-03-01,108.9
2010-04-01,111.2
2010-05-01,114.1
2010-06-01,114.3
2010-07-01,106.3
2010-08-01,106.9
2010-09-01,114.3
2010-10-01,114.8
2010-11-01,119.3
2010-12-01,126.1
2011-01-01,130.9
2011-02-01,135.8
2011-03-01,133.4
2011-04-01,133.1
2011-05-01,133.7
2011-06-01,139.6
2011-07-01,138.3
2011-08-01,135.5
2011-09-01,141.8
2011-10-01,133.6
2011-11-01,132.9
2011-12-01,142.5
2012-01-01,137.3
2012-02-01,139.6
2012-03-01,142.3
2012-04-01,138.9
2012-05-01,139.1
2012-06-01,138.9
