as_of,value
2010-02-01,164.6
2010-03-01,162.2
2010-04-01,160.6
2010-05-01,166.7
2010-06-01,172.9
2010-07-01,172.2
2010-08-01,174.2
2010-09-01,173.5
2010-10-01,176.6
2010-11-01,176.8
2010-12-01,182.4
2011-01-01,173.5
2011-02-01,179.1
2011-03-01,170.1
2011-04-01,175.4
2011-05-01,175.5
2011-06-01,183.5
2011-07-01,183.0
2011-08-01,193.5
2011-09-01,204.3
2011-10-01,188.1
2011-11-01,188.3
2011-12-01,189.1
2012-01-01,174.9
2012-02-01,177.6
2012-03-01,182.8
2012-04-01,182.0
2012-05-01,187.9
2012-06-01,192.1
2012-07-01,194.7
2012-08-01,196.8
2012-09-01,205.2
2012-10-01,200.4
2012-11-01,202.4
2012-12-01,211.6
2013-01-01,199.7
2013-02-01,208.7
2013-03-01,197.9
2013-04-01,191.7
2013-05-01,199.8
2013-06-01,200.3
2013-07-01,194.8
2013-08-01,195.2
2013-09-01,197.8
2013-10-01,199.9
2013-11-01,199.2
2013-12-01,197.5
2014-01-01,195.9
2014-02-01,190.3
2014-03-01,194.5
2014-04-01,194.7
2014-05-01,188.6
2014-06-01,184.7
2014-07-01,178.0
2014-08-01,180.8
2014-09-01,183.2
2014-10-01,185.2
2014-11-01,184.2
2014-12-01,181.2
2015-01-01,178.3
2015-02-01,170.9
2015-03-01,170.1
2015-04-01,167.1
2015-05-01,169.1
2015-06-01,168.4
2015-07-01,169.1
2015-08-01,168.7
2015-09-01,167.1
2015-10-01,163.2
2015-11-01,165.6
2015-12-01,159.7
2016-01-01,162.8
2016-02-01,168.3
2016-03-01,172.5
2016-04-01,187.0
2016-05-01,187.5
2016-06-01,189.6
2016-07-01,188.2
2016-08-01,185.7
2016-09-01,182.8
2016-10-01,183.0
2016-11-01,187.1
2016-12-01,190.0
2017-01-01,186.0
2017-02-01,184.6
2017-03-01,185.0
2017-04-01,184.9
2017-05-01,185.5
2017-06-01,187.5
2017-07-01,184.2
2017-08-01,183.7
2017-09-01,183.6
2017-10-01,184.0
2017-11-01,185.3
2017-12-01,182.8
2018-01-01,181.8
2018-02-01,183.3
2018-03-01,180.8
2018-04-01,179.4
2018-05-01,181.9
2018-06-01,179.4
2018-07-01,178.3
2018-08-01,178.6
2018-09-01,188.2
2018-10-01,183.4
2018-11-01,178.8
2018-12-01,190.7
2019-01-01,186.1
2019-02-01,182.0
2019-03-01,180.8
2019-04-01,178.5
2019-05-01,179.0
2019-06-01,179.5
2019-07-01,182.6
2019-08-01,181.5
2019-09-01,187.9
2019-10-01,184.0
2019-11-01,186.9
2019-12-01,186.3
2020-01-01,186.8
2020-02-01,197.7
2020-03-01,226.2
2020-04-01,217.2
2020-05-01,210.9
2020-06-01,229.1
2020-07-01,223.8
2020-08-01,215.0
2020-09-01,211.5
2020-10-01,217.7
2020-11-01,221.6
2020-12-01,227.1
2021-01-01,241.2
2021-02-01,240.5
2021-03-01,237.2
2021-04-01,233.1
2021-05-01,235.0
2021-06-01,239.3
2021-07-01,195.8
2021-08-01,198.9
2021-09-01,205.6
2021-10-01,200.5
2021-11-01,211.6
2021-12-01,215.1
2022-01-01,194.5
2022-02-01,195.3
2022-03-01,196.0
2022-04-01,188.7
2022-05-01,184.2
2022-06-01,186.9
2022-07-01,177.1
2022-08-01,176.0
2022-09-01,173.1
2022-10-01,173.0
2022-11-01,165.4
2022-12-01,164.1
2023-01-01,161.2
2023-02-01,159.1
2023-03-01,152.0
2023-04-01,145.6
2023-05-01,147.4
2023-06-01,145.2
2023-07-01,147.9
2023-08-01,146.0
2023-09-01,141.8
2023-10-01,142.1
2023-11-01,146.3
2023-12-01,147.0
2024-01-01,144.9
2024-02-01,150.6
2024-03-01,151.3
2024-04-01,149.9
2024-05-01,145.1
2024-06-01,149.7
2024-07-01,150.7
2024-08-01,152.1
2024-09-01,158.4
2024-10-01,164.8
2024-11-01,167.2
2024-12-01,175.8
2025-01-01,166.3
2025-02-01,176.1
2025-03-01,176.2
2025-04-01,175.8
2025-05-01,176.7
2025-06-01,185.6
2025-07-01,186.7
2025-08-01,181.6
2025-09-01,194.9
2025-10-01,195.4
2025-11-01,194.4
2025-12-01,199.8
2026-01-01,196.9
2026-02-01,200.0
2026-03-01,205.6
2026-04-01,215.4
2026-05-01,217.3
2026-06-01,223.4
2026-07-01,217.3
2026-08-01,217.5
