as_of,value
1997-01-01,103.3
1997-02-01,103.9
1997-03-01,104.8
1997-04-01,102.8
1997-05-01,111.1
1997-06-01,118.8
1997-07-01,121.1
1997-08-01,124.4
1997-09-01,132.0
1997-10-01,134.5
1997-11-01,132.7
1997-12-01,131.6
1998-01-01,132.9
1998-02-01,141.3
1998-03-01,146.5
1998-04-01,146.6
1998-05-01,150.3
1998-06-01,154.4
1998-07-01,161.0
1998-08-01,155.9
1998-09-01,144.5
1998-10-01,138.4
1998-11-01,148.7
1998-12-01,148.7
1999-01-01,162.3
1999-02-01,162.9
1999-03-01,166.2
1999-04-01,184.3
1999-05-01,189.9
1999-06-01,187.7
1999-07-01,189.5
1999-08-01,187.6
1999-09-01,189.7
1999-10-01,194.3
1999-11-01,218.3
1999-12-01,242.0
2000-01-01,260.4
2000-02-01,284.2
2000-03-01,299.9
2000-04-01,268.7
2000-05-01,256.9
2000-06-01,264.5
2000-07-01,263.7
2000-08-01,265.2
2000-09-01,270.2
2000-10-01,251.0
2000-11-01,237.9
2000-12-01,210.4
2001-01-01,208.7
2001-02-01,198.9
2001-03-01,174.8
2001-04-01,176.1
2001-05-01,183.0
2001-06-01,179.6
2001-07-01,173.7
2001-08-01,169.3
2001-09-01,157.9
2001-10-01,152.4
2001-11-01,159.4
2001-12-01,160.5
2002-01-01,160.9
2002-02-01,154.9
2002-03-01,160.1
2002-04-01,159.1
2002-05-01,157.8
2002-06-01,154.0
2002-07-01,143.9
2002-08-01,139.1
2002-09-01,136.1
2002-10-01,138.6
2002-11-01,139.5
2002-12-01,139.5
2003-01-01,141.4
2003-02-01,140.5
2003-03-01,144.3
2003-04-01,143.2
2003-05-01,153.7
2003-06-01,168.3
2003-07-01,174.4
2003-08-01,167.2
2003-09-01,171.2
2003-10-01,175.4
2003-11-01,182.6
2003-12-01,181.5
2004-01-01,189.4
2004-02-01,190.4
2004-03-01,191.5
2004-04-01,198.8
2004-05-01,193.8
2004-06-01,194.0
2004-07-01,187.8
2004-08-01,187.8
2004-09-01,193.7
2004-10-01,198.0
2004-11-01,211.0
2004-12-01,217.6
2005-01-01,220.1
2005-02-01,223.2
2005-03-01,226.9
2005-04-01,217.4
2005-05-01,219.4
2005-06-01,224.2
2005-07-01,233.6
2005-08-01,231.4
2005-09-01,244.7
2005-10-01,239.9
2005-11-01,242.9
2005-12-01,244.1
2006-01-01,255.8
2006-02-01,249.6
2006-03-01,259.4
2006-04-01,265.2
2006-05-01,255.6
2006-06-01,251.5
2006-07-01,256.0
2006-08-01,249.4
2006-09-01,261.8
2006-10-01,267.7
2006-11-01,294.9
2006-12-01,303.3
2007-01-01,311.5
2007-02-01,321.2
2007-03-01,317.7
2007-04-01,342.1
2007-05-01,382.3
2007-06-01,408.4
2007-07-01,416.4
2007-08-01,362.5
2007-09-01,359.1
2007-10-01,377.0
2007-11-01,379.6
2007-12-01,355.3
2008-01-01,365.6
2008-02-01,377.1
2008-03-01,349.4
2008-04-01,332.3
2008-05-01,341.6
2008-06-01,346.9
2008-07-01,343.3
2008-08-01,324.8
2008-09-01,345.7
2008-10-01,277.6
2008-11-01,227.3
2008-12-01,210.2
2009-01-01,205.0
2009-02-01,199.7
2009-03-01,204.0
2009-04-01,208.0
2009-05-01,214.4
2009-06-01,217.1
2009-07-01,228.7
2009-08-01,236.3
2009-09-01,254.1
2009-10-01,265.4
2009-11-01,251.0
2009-12-01,262.4
2010-01-01,266.5
2010-02-01,263.7
2010-03-01,277.8
2010-04-01,295.6
2010-05-01,268.6
2010-06-01,263.2
2010-07-01,267.5
2010-08-01,268.4
2010-09-01,288.5
2010-10-01,303.4
2010-11-01,309.3
2010-12-01,313.7
2011-01-01,326.9
2011-02-01,349.0
2011-03-01,355.4
2011-04-01,360.9
2011-05-01,355.7
2011-06-01,345.3
2011-07-01,344.6
2011-08-01,308.9
2011-09-01,298.3
2011-10-01,317.0
2011-11-01,303.9
2011-12-01,301.6
2012-01-01,309.8
2012-02-01,323.0
2012-03-01,330.8
2012-04-01,335.2
2012-05-01,315.1
2012-06-01,321.0
2012-07-01,313.5
2012-08-01,320.4
2012-09-01,339.2
2012-10-01,342.3
2012-11-01,351.4
2012-12-01,355.0
2013-01-01,388.1
2013-02-01,390.4
2013-03-01,403.9
2013-04-01,408.7
2013-05-01,401.6
2013-06-01,407.7
2013-07-01,412.1
2013-08-01,414.4
2013-09-01,432.9
2013-10-01,445.0
2013-11-01,456.4
2013-12-01,478.5
2014-01-01,487.5
2014-02-01,502.1
2014-03-01,487.9
2014-04-01,475.2
2014-05-01,475.4
2014-06-01,502.3
2014-07-01,498.7
2014-08-01,501.0
2014-09-01,503.9
2014-10-01,492.9
2014-11-01,496.3
2014-12-01,495.8
2015-01-01,485.9
2015-02-01,504.9
2015-03-01,518.1
2015-04-01,550.0
2015-05-01,541.7
2015-06-01,548.0
2015-07-01,530.7
2015-08-01,516.0
