as_of,value
2002-12-18,21.9
2002-12-25,20.4
2003-01-01,21.1
2003-01-08,18.7
2003-01-15,17.8
2003-01-22,18.5
2003-01-29,18.5
2003-02-05,18.0
2003-02-12,17.6
2003-02-19,17.9
2003-02-26,17.4
2003-03-05,18.0
2003-03-12,17.9
2003-03-19,17.2
2003-03-26,18.2
2003-04-02,19.7
2003-04-09,20.3
2003-04-16,19.8
2003-04-23,20.0
2003-04-30,20.8
2003-05-07,20.7
2003-05-14,21.1
2003-05-21,20.7
2003-05-28,21.9
2003-06-04,20.4
2003-06-11,21.2
2003-06-18,20.7
2003-06-25,21.6
2003-07-02,21.0
2003-07-09,20.3
2003-07-16,20.3
2003-07-23,19.7
2003-07-30,19.3
2003-08-06,19.1
2003-08-13,19.1
2003-08-20,20.3
2003-08-27,19.1
2003-09-03,18.8
2003-09-10,19.7
2003-09-17,19.0
2003-09-24,18.8
2003-10-01,22.1
2003-10-08,19.0
2003-10-15,18.6
2003-10-22,18.1
2003-10-29,19.3
2003-11-05,18.3
2003-11-12,17.4
2003-11-19,17.9
2003-11-26,18.0
2003-12-03,18.7
2003-12-10,19.0
2003-12-17,17.7
2003-12-24,19.8
2003-12-31,25.7
2004-01-07,19.6
2004-01-14,20.7
2004-01-21,19.7
2004-01-28,20.7
2004-02-04,20.4
2004-02-11,20.1
2004-02-18,20.0
2004-02-25,18.9
2004-03-03,18.9
2004-03-10,19.2
2004-03-17,18.8
2004-03-24,20.0
2004-03-31,21.7
2004-04-07,19.1
2004-04-14,19.5
2004-04-21,19.3
2004-04-28,19.7
2004-05-05,20.7
2004-05-12,18.7
2004-05-19,18.3
2004-05-26,19.3
2004-06-02,20.3
2004-06-09,19.9
2004-06-16,18.0
2004-06-23,17.5
2004-06-30,19.2
2004-07-07,19.8
2004-07-14,19.8
2004-07-21,19.9
2004-07-28,19.4
2004-08-04,20.6
2004-08-11,20.6
2004-08-18,21.4
2004-08-25,20.9
2004-09-01,23.2
2004-09-08,23.9
2004-09-15,24.3
2004-09-22,24.6
2004-09-29,24.3
2004-10-06,24.7
2004-10-13,25.0
2004-10-20,25.8
2004-10-27,25.8
2004-11-03,26.5
2004-11-10,27.5
2004-11-17,27.7
2004-11-24,28.1
2004-12-01,27.5
2004-12-08,28.2
2004-12-15,27.8
2004-12-22,28.1
2004-12-29,29.9
2005-01-05,28.6
2005-01-12,27.2
2005-01-19,27.6
2005-01-26,31.1
2005-02-02,27.9
2005-02-09,28.4
2005-02-16,23.3
2005-02-23,23.5
2005-03-02,25.4
2005-03-09,25.4
2005-03-16,24.9
2005-03-23,24.5
2005-03-30,23.7
2005-04-06,23.0
2005-04-13,22.8
2005-04-20,25.1
2005-04-27,25.1
2005-05-04,26.1
2005-05-11,25.3
2005-05-18,26.2
2005-05-25,25.2
2005-06-01,24.7
2005-06-08,24.0
2005-06-15,23.1
2005-06-22,23.4
2005-06-29,24.2
2005-07-06,24.5
2005-07-13,25.6
2005-07-20,28.2
2005-07-27,27.3
2005-08-03,22.6
2005-08-10,23.6
2005-08-17,23.5
2005-08-24,24.1
2005-08-31,26.5
2005-09-07,25.2
2005-09-14,26.0
2005-09-21,24.0
2005-09-28,23.8
2005-10-05,25.9
2005-10-12,26.3
2005-10-19,25.1
2005-10-26,23.7
2005-11-02,24.9
2005-11-09,25.0
2005-11-16,25.3
2005-11-23,24.5
2005-11-30,30.1
2005-12-07,27.8
2005-12-14,26.6
2005-12-21,26.8
2005-12-28,30.4
2006-01-04,27.6
2006-01-11,25.0
2006-01-18,24.7
2006-01-25,21.7
2006-02-01,23.2
2006-02-08,22.7
2006-02-15,22.7
2006-02-22,24.5
2006-03-01,24.7
2006-03-08,23.8
2006-03-15,24.3
2006-03-22,24.2
2006-03-29,22.4
2006-04-05,23.5
2006-04-12,24.0
2006-04-19,24.7
2006-04-26,22.9
2006-05-03,24.5
2006-05-10,24.5
2006-05-17,22.6
2006-05-24,22.8
2006-05-31,24.6
2006-06-07,23.8
2006-06-14,26.0
2006-06-21,25.7
2006-06-28,30.4
2006-07-05,29.1
2006-07-12,28.5
2006-07-19,29.6
2006-07-26,28.5
2006-08-02,28.8
2006-08-09,27.9
2006-08-16,27.5
2006-08-23,26.6
2006-08-30,26.1
2006-09-06,26.9
2006-09-13,26.9
2006-09-20,28.5
2006-09-27,31.5
2006-10-04,29.2
2006-10-11,30.6
2006-10-18,32.9
2006-10-25,31.2
2006-11-01,31.2
2006-11-08,31.5
2006-11-15,32.8
2006-11-22,29.3
2006-11-29,30.7
2006-12-06,29.0
2006-12-13,28.3
2006-12-20,29.9
2006-12-27,32.1
2007-01-03,29.7
2007-01-10,28.9
2007-01-17,31.1
2007-01-24,29.4
2007-01-31,32.4
2007-02-07,33.6
2007-02-14,37.3
2007-02-21,38.1
2007-02-28,39.6
2007-03-07,37.8
2007-03-14,39.7
2007-03-21,38.5
2007-03-28,37.6
2007-04-04,35.5
2007-04-11,34.1
2007-04-18,34.0
2007-04-25,34.0
2007-05-02,35.7
2007-05-09,35.4
2007-05-16,32.4
2007-05-23,32.6
2007-05-30,34.9
2007-06-06,32.1
2007-06-13,31.6
2007-06-20,30.4
2007-06-27,30.1
2007-07-04,32.2
2007-07-11,31.3
2007-07-18,32.5
2007-07-25,31.1
2007-08-01,31.5
2007-08-08,30.1
2007-08-15,31.9
2007-08-22,30.0
2007-08-29,31.2
2007-09-05,35.1
2007-09-12,33.5
2007-09-19,36.2
2007-09-26,35.3
2007-10-03,34.5
2007-10-10,34.4
2007-10-17,35.1
2007-10-24,37.4
2007-10-31,38.1
2007-11-07,36.4
2007-11-14,34.7
2007-11-21,35.4
2007-11-28,34.3
2007-12-05,36.6
2007-12-12,37.8
2007-12-19,36.4
2007-12-26,40.5
2008-01-02,40.9
2008-01-09,37.8
2008-01-16,41.1
2008-01-23,37.5
2008-01-30,39.5
2008-02-06,36.6
2008-02-13,38.6
2008-02-20,38.6
2008-02-27,42.6
2008-03-05,40.8
2008-03-12,40.2
2008-03-19,38.9
2008-03-26,40.8
2008-04-02,37.3
2008-04-09,38.8
2008-04-16,40.7
2008-04-23,39.9
2008-04-30,40.7
2008-05-07,39.0
2008-05-14,39.1
2008-05-21,37.0
2008-05-28,38.4
2008-06-04,42.1
2008-06-11,39.8
2008-06-18,41.8
2008-06-25,42.0
2008-07-02,41.1
2008-07-09,41.3
2008-07-16,43.0
2008-07-23,42.1
2008-07-30,44.5
2008-08-06,43.2
2008-08-13,44.2
2008-08-20,43.6
2008-08-27,43.8
2008-09-03,41.8
2008-09-10,44.3
2008-09-17,46.6
2008-09-24,65.7
2008-10-01,73.1
2008-10-08,77.3
2008-10-15,82.8
2008-10-22,71.0
2008-10-29,69.7
2008-11-05,71.7
2008-11-12,77.3
2008-11-19,77.9
2008-11-26,74.8
2008-12-03,67.0
2008-12-10,67.1
2008-12-17,71.9
2008-12-24,88.3
2008-12-31,88.4
2009-01-07,88.9
2009-01-14,78.8
2009-01-21,75.0
2009-01-28,72.2
2009-02-04,74.3
2009-02-11,73.3
2009-02-18,70.8
2009-02-25,67.7
2009-03-04,71.3
2009-03-11,66.4
2009-03-18,65.0
2009-03-25,66.4
2009-04-01,67.9
2009-04-08,67.0
2009-04-15,70.6
2009-04-22,64.7
2009-04-29,67.3
2009-05-06,65.1
2009-05-13,70.9
2009-05-20,67.8
2009-05-27,65.9
2009-06-03,67.4
2009-06-10,67.0
2009-06-17,70.2
2009-06-24,71.9
2009-07-01,72.3
2009-07-08,67.8
2009-07-15,66.3
2009-07-22,66.8
2009-07-29,66.0
2009-08-05,66.8
2009-08-12,67.7
2009-08-19,68.4
2009-08-26,68.1
2009-09-02,68.7
2009-09-09,65.9
2009-09-16,68.9
2009-09-23,70.8
2009-09-30,68.9
2009-10-07,62.9
2009-10-14,61.8
2009-10-21,63.6
2009-10-28,64.4
2009-11-04,60.7
2009-11-11,60.4
2009-11-18,59.9
2009-11-25,58.5
2009-12-02,57.6
2009-12-09,56.3
2009-12-16,57.4
2009-12-23,60.7
2009-12-30,70.5
2010-01-06,67.6
2010-01-13,64.4
2010-01-20,62.9
2010-01-27,57.8
2010-02-03,53.7
2010-02-10,53.1
2010-02-17,54.9
2010-02-24,56.6
2010-03-03,55.2
2010-03-10,55.9
2010-03-17,55.7
2010-03-24,54.7
2010-03-31,57.8
2010-04-07,56.1
2010-04-14,55.2
2010-04-21,52.1
2010-04-28,54.1
2010-05-05,53.5
2010-05-12,56.6
2010-05-19,55.8
2010-05-26,58.2
2010-06-02,59.1
2010-06-09,60.8
2010-06-16,59.4
2010-06-23,60.3
2010-06-30,67.2
2010-07-07,62.9
2010-07-14,62.3
2010-07-21,61.5
2010-07-28,60.6
2010-08-04,60.9
2010-08-11,58.0
2010-08-18,60.2
2010-08-25,61.1
2010-09-01,58.3
2010-09-08,58.8
2010-09-15,59.9
2010-09-22,60.1
2010-09-29,67.4
2010-10-06,64.4
2010-10-13,60.0
2010-10-20,56.5
2010-10-27,55.6
2010-11-03,54.6
2010-11-10,55.1
2010-11-17,54.2
2010-11-24,54.7
2010-12-01,52.9
2010-12-08,50.0
2010-12-15,50.8
2010-12-22,51.1
2010-12-29,59.2
2011-01-05,57.6
2011-01-12,53.3
2011-01-19,52.9
2011-01-26,52.6
2011-02-02,57.9
2011-02-09,56.0
2011-02-16,57.8
2011-02-23,59.5
