as_of,value
2013-03-31,634.0
2013-06-30,632.0
2013-09-30,616.0
2013-12-31,633.0
2014-03-31,671.0
2014-06-30,645.0
2014-09-30,693.0
2014-12-31,685.0
2015-03-31,726.0
2015-06-30,739.0
2015-09-30,730.0
2015-12-31,707.0
2016-03-31,702.0
2016-06-30,725.0
2016-09-30,755.0
2016-12-31,856.0
2017-03-31,913.0
2017-06-30,958.0
2017-09-30,937.0
2017-12-31,930.0
2018-03-31,947.0
2018-06-30,1069.0
2018-09-30,1041.0
2018-12-31,1116.0
2019-03-31,1208.0
2019-06-30,1304.0
2019-09-30,1235.0
2019-12-31,1220.0
2020-03-31,1208.0
2020-06-30,1108.0
2020-09-30,1155.0
2020-12-31,1144.0
2021-03-31,1184.0
2021-06-30,1338.0
2021-09-30,1409.0
2021-12-31,1442.0
2022-03-31,1344.0
2022-06-30,1211.0
2022-09-30,1211.0
2022-12-31,1346.0
2023-03-31,1416.0
2023-06-30,1553.0
2023-09-30,1577.0
2023-12-31,1711.0
2024-03-31,1781.0
2024-06-30,1792.0
2024-09-30,2094.0
2024-12-31,2169.0
2025-03-31,2417.0
2025-06-30,2590.0
2025-09-30,2742.0
2025-12-31,2872.0
2026-03-31,2921.0
