as_of,value
2013-03-31,23.0
2013-06-30,21.0
2013-09-30,36.0
2013-12-31,34.0
2014-03-31,27.0
2014-06-30,28.0
2014-09-30,36.0
2014-12-31,41.0
2015-03-31,43.0
2015-06-30,40.0
2015-09-30,47.0
2015-12-31,59.0
2016-03-31,50.0
2016-06-30,51.0
2016-09-30,49.0
2016-12-31,60.0
2017-03-31,79.0
2017-06-30,75.0
2017-09-30,84.0
2017-12-31,74.0
2018-03-31,76.0
2018-06-30,100.0
2018-09-30,96.0
2018-12-31,93.0
2019-03-31,104.0
2019-06-30,114.0
2019-09-30,120.0
2019-12-31,118.0
2020-03-31,131.0
2020-06-30,130.0
2020-09-30,148.0
2020-12-31,169.0
2021-03-31,177.0
2021-06-30,209.0
2021-09-30,242.0
2021-12-31,254.0
2022-03-31,248.0
2022-06-30,239.0
2022-09-30,251.0
2022-12-31,230.0
2023-03-31,237.0
2023-06-30,250.0
2023-09-30,252.0
2023-12-31,240.0
2024-03-31,253.0
2024-06-30,289.0
2024-09-30,300.0
2024-12-31,301.0
2025-03-31,324.0
2025-06-30,316.0
2025-09-30,321.0
2025-12-31,325.0
2026-03-31,366.0
